Item Id,SKU,Type,Brand,Room,Style,Sensor Type,Material,Color,Number of Settings,Cord Color,Lighting Technology,Power Source,Shade Shape,Finish,Theme,Features,Character Family,Pattern,Character,Manufacturer,Control Style,Energy Star,Department,Country/Region of Manufacture,Voltage,Amperage,Item Diameter,Year Manufactured,Personalize,Personalized,Output Voltage,Assembly Required,Labels & Certifications,Era,Color Temperature,Lumens,IP Rating,Light Color,MPN,EC Range,Bulb Life Hours,Bulb Shape Code,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Manufacturer Warranty,Model,Number of Speeds,Power Consumption,Product Line,Personalization Instructions,
"255476782279","DRL030","Lamps","Dorel","","","","Brass","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ORE6962G","","","","","","","","","","","","","","","","",
"255476792078","DRL031","Lamps","Dorel","","","","Nickel","","5","","","","","Satin","","","","","","","","","","","","","","","","","","","","","","","","","00ORE6962SN","","","","","","","","","","","","","","","","",
"255471777421","DRL039","Lamps","Dorel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ORE9000","","","","","","","","","","","","","","","","",
"255684622734","DRL501","Lamps","Dorel","","Antique","","","Gold","","Gold","","","","Antique Gold","Pineapple","","","","","","","","","","","","","","","","","","","","","","","","00ORE9001F","","","","","","","","","","","","","","","","",
"265634173647","ZX9JESC9857","Wall Lamps","GorgeousGlow","","","Light","Metal","Silver","1","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1581669","","","","","","","","","","","","","","","","",
"265629921372","ZX9JESC9892","Wall Lamps","GorgeousGlow","","","Light","Metal","Black","1","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1581670","","","","","","","","","","","","","","","","",
"265632730586","ZX9JESC9860","Wall Lamps","GorgeousGlow","","","Light","Metal","Black","1","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1642086","","","","","","","","","","","","","","","","",
"265621902044","ZX9LIVEX1744","Wall Lamps","lighting","","","Light","Bronze","Gold","1","Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI656091","","","","","","","","","","","","","","","","",
"255474978925","ZX9ORE2659","Lamps","YhiOr","","","","","Black","3","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH434136","","","","","","","","","","","","","","","","",
"255476828346","ZX9ORE2666","Lamps","YhiOr","","","","","White","3","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH425781","","","","","","","","","","","","","","","","",
"255463245826","ZX9ACSL7464","Wall Lamps","Or","","","Light","Steel","","2","","","","","Brushed","","","","","","","","","","","","","","","","","","","","","","","","","OR613684","","","","","","","","","","","","","","","","",
"265634133532","ZX9JESC9858","Wall Lamps","GorgeousGlow","","","Light","Metal","White","4","White","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO1586689","","","","","","","","","","","","","","","","",
"255474978152","ZX9ORE054","Lamps","Cling","","","","","Black","5","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL26760","","","","","","","","","","","","","","","","",
"265632715636","ZX9ORE503","Lamps","Cling","","Modern","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL106146","","","","","","","","","","","","","","","","",
"255476833096","ZX9ORE2552","Lamps","YhiOr","","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH417604","","","","","","","","","","","","","","","","",
"255476828183","ZX9ORE2543","Lamps","YhiOr","","","","Crystal","Silver","","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH837437","","","","","","","","","","","","","","","","",
"255471762254","ZX9ORE2747","Lamps","YhiOr","","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH1862925","","","","","","","","","","","","","","","","",
"255471813888","ZX9ORE2749","Lamps","YhiOr","","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH2144842","","","","","","","","","","","","","","","","",
"255476799638","ZX9ORE2103","Lamps","YhiOr","","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH1854455","","","","","","","","","","","","","","","","",
"255471811725","ZX9ORE2547","Lamps","YhiOr","","","","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH434129","","","","","","","","","","","","","","","","",
