Item Id,SKU,Type,Brand,Power Source,Material,Design,Manufacturer,Style,Antique,Cord Color,Blade Color,Light Color,Sensor Type,Color,Shade Shape,Finish,Number of Lights,Pattern,Number of Blades,Mounting,Time Period Manufactured,Number of Settings,Features,Size,Number of Speeds,Era,Original/Reproduction,Theme,Energy Star,Lighting Technology,Year Manufactured,Country/Region of Manufacture,Character,Franchise,Room,Vintage,Bulb Shape Code,Occasion,Personalized,Handmade,Signed,Amperage,Control Style,Assembly Required,Installation Area,Item Diameter,Department,Signed by,Power Consumption,Voltage,Output Voltage,IP Rating,Required Tools,LED Chip Code,Autograph Authentication,EC Range,Fan Width,LED String/Strip Type,MPN,Autograph Authentication Number,Autograph Format,Bulb Life Hours,Bundle Description,California Prop 65 Warning,Color Temperature,Convention/Event,Custom Bundle,Item Height,Item Length,Item Weight,Item Width,Labels & Certifications,Light Direction,Lumens,Manufacturer Warranty,Model,Product Line,
"255476825379","ZX9JESC5786","Lamps","GorgeousGlow","","","","","","","","","","Light","","","","1","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GO769035","","","","","","","","","","","","","","","","","","",
"265634117188","ZX9ORE2869","Lamps","YhiOr","","","","","","","","","","","","","","","","","","","","","","","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH779171","","","","","","","","","","","","","","","","","","",
"265632693043","ZX9ORE2867","Lamps","YhiOr","","","","Globe","","","","","","","","Globe","","","","","","","","","","","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH434138","","","","","","","","","","","","","","","","","","",
"255476773346","ZX9ORE2454","Lamps","YhiOr","","","","","","","","","","Light","","","","","","","","","","","","","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH425766","","","","","","","","","","","","","","","","","","",
"265629946221","ZX9ORE879","Lamps","Cling","","Ceramic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL1401753","","","","","","","","","","","","","","","","","","",
"265629881385","ZX9ORE504","Lamps","Cling","","","","","Modern","","","","","","","","","","","","Floating","","","Floating","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL106147","","","","","","","","","","","","","","","","","","",
"265632732603","ZX9ORE497","Lamps","Cling","","","","","","","","","","","","Oval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL1605640","","","","","","","","","","","","","","","","","","",
"255476814261","ZX9ORE812","Lamps","Cling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL1609669","","","","","","","","","","","","","","","","","","",
"255471814531","ZX9ORE231","Lamps","Cling","","Ceramic","","","","","Green","Green","Green","","Green","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL417590","","","","","","","","","","","","","","","","","","",
"265632718688","ZX9ORE171","Lamps","Cling","","Crystal","Crystal","","","","Black","Black","Black","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL106070","","","","","","","","","","","","","","","","","","",
"265634202008","ZX9ORE770","Lamps","Cling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL1610948","","","","","","","","","","","","","","","","","","",
"255474903273","ZX9ORE2525","Lamps","YhiOr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH417600","","","","","","","","","","","","","","","","","","",
"255474939741","ZX9ORE412","Lamps","Cling","","Ceramic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL413974","","","","","","","","","","","","","","","","","","",
"265634177165","ZX9ORE413","Lamps","Cling","","Ceramic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL413975","","","","","","","","","","","","","","","","","","",
"265632688599","ZX9ORE1019","Lamps","Cling","","Bamboo","","","","","Brown","Brown","Brown","","Brown","","","","Weave","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL1611194","","","","","","","","","","","","","","","","","","",
"255476835372","ZX9ORE2528","Lamps","YhiOr","","Crystal","Crystal","","","","Silver","Silver","Silver","","Silver","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH425771","","","","","","","","","","","","","","","","","","",
"255474909038","ZX9ORE158","Lamps","Cling","","Gold","","","","","Gold","Gold","Gold","","Gold","","Antique Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CL106066","","","","","","","","","","","","","","","","","","",
"265629887360","ZX9ORE2846","Lamps","YhiOr","","Crystal","Crystal","","","","Gold","Gold","Gold","","Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH910097","","","","","","","","","","","","","","","","","","",
"255474921112","ZX9ORE2745","Lamps","YhiOr","","Crystal","Crystal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","YH1607456","","","","","","","","","","","","","","","","","","",
