Item Id,SKU,Bulb Shape Code,Type,Lighting Technology,Bulb Shape,Brand,Features,Bulb Wattage,Output Voltage,Voltage,Light Color,Color Temperature,Finish,Connectors,Indoor/Outdoor,Energy Star,Material,Amperage,Number of Bulbs,Style,LED Chip Code,Model,Year Manufactured,Country/Region of Manufacture,Lumens,Labels & Certifications,IP Rating,Bulb Life Hours,Beam Angle,Manufacturer Warranty,LED String/Strip Type,Item Length,MPN,EC Range,Bundle Description,California Prop 65 Warning,Custom Bundle,Item Height,Item Width,Product Line,Switching Cycle,
"255471727934","ZX9TRVAL55001","T8","Bulbs","","","PerfectTwinkle","","","","","","","","","","","","","","","","","","","","","","","","","","","PE2015503","","","","","","","","",
"255471798322","ZX9TRVAL89391_1","T8","Bulbs","LED","","GlowFlow","Dimmable","","","","","","","","","","","","","","","","","","","","","","","","","","GL584429","","","","","","","","",
"265629872371","ZX9TRVAL116449","ED28","Bulbs","LED","","PerfectTwinkle","","","","","","","Clear","","","","","","","","","","","","","","","","","","","","PE2053460","","","","","","","","",
"265629915886","ZX9TRVAL55027","T12","Bulbs","","","PerfectTwinkle","","","","","","","","","","","","","","","","","","","","","","","","","","","PE2009411","","","","","","","","",
"265632677236","TRVAL55001","T8","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","133425","","","","","","","","",
"265629944982","TRVAL116449","ED28","Bulbs","LED","","GE Lighting","","","","","","","Clear","","","","","","","","","","","","","","","","","","","","234625","","","","","","","","",
"265632741022","TRVAL114070","T8","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","236776","","","","","","","","",
"265634138248","TRVAL115393","","Bulbs","LED","","GE Lighting","","","","","","","Clear","","","","","","","","","","","","","","","","","","","","236781","","","","","","","","",
"265634131357","TRVAL124050","","Bulbs","LED","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","254201","","","","","","","","",
"265632691418","TRVAL124049","","Bulbs","LED","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","254202","","","","","","","","",
"265634168619","TRVAL54978","","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","846881","","","","","","","","",
"265634170909","TRVAL55035","T5","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","746302","","","","","","","","",
"265632745317","TRVAL55027","T12","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","154863","","","","","","","","",
"255474865784","TRVAL54924","T5","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","172119","","","","","","","","",
"255476834408","TRVAL54976","T5","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","172121","","","","","","","","",
"265629952729","TRVAL54925","T5","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","172122","","","","","","","","",
"265629885071","TRVAL54919","","Bulbs","","","GE Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","147897","","","","","","","","",
"255475404183","HTNB19652","","Bulbs","LED","","NCE","","","","","","","","","","","","","","","","","","","","","","","","","","","NCE0176","","","","","","","","",
"265634167415","ZX9ORGL148653","","Bulbs","","Classic","Sirius A","","","","","","","","","","","","","","","","","","","","","","","","","","","SI1601871","","","","","","","","",
"265634156188","ACHR156846","T8","Bulbs","","","Philips","","","","","","","","","","","","","","","","","","","","","","","","","","","3003552","","","","","","","","",
"265629871073","ORGL148653","","Bulbs","","Classic","Santas Forest","","","","","","","","","","","","","","","","","","","","","","","","","","","4689832","","","","","","","","",
"265634180847","ACHR153459","A19","Bulbs","LED","","Satco","","","","","Warm White","","","","","","","","","","","","","","","","","","","","","","3006716","","","","","","","","",
"265629899802","TRVAL89391_1","T8","Bulbs","LED","","True Value","Dimmable","","","","","","","","","","","","","","","","","","","","","","","","","","210023","","","","","","","","",
