Item Id,SKU,Control Style,Mounting,Brand,Type,Lighting Technology,Bulb Shape Code,Number in Pack,Number of Speeds,Material,Color,Smart Home Compatibility,Character Family,Connectors,Energy Star,Power Source,LED String/Strip Type,Current Type,Character,Theme,Installation Area,Bulb Wattage,Voltage,Personalize,LED Chip Code,Year Manufactured,Finish,Personalized,Power Consumption,Country/Region of Manufacture,Features,IP Rating,Compatible Product,Assembly Required,EC Range,MPN,Manufacturer,Product Line,Model,Smart Home Protocol,Compatible Brand,Compatible Model,Item Length,Item Height,Item Width,Item Weight,Labels & Certifications,Manufacturer Warranty,California Prop 65 Warning,Bundle Description,Custom Bundle,Personalization Instructions,
"255474885351","ZX9CLFD1916","","Ceiling","LightitUp","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI2085606","","","","","","","","","","","","","","","","",
"265634169189","ZX9CLFD1917","","Ceiling","LightitUp","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI2085607","","","","","","","","","","","","","","","","",
"266031326261","JNSN93348","","","Broan","Fans","","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","","A110L","","","","","","","","","","","","","","","","",
"265621858482","CLFD607","","Ceiling","Ceiling Fan Designers","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-ANI-DBDH","","","","","","","","","","","","","","","","",
"265634203637","CLFD608","","Ceiling","Ceiling Fan Designers","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-ANI-HORS","","","","","","","","","","","","","","","","",
"265621865625","CLFD612","","Ceiling","Ceiling Fan Designers","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-ANI-ZS","","","","","","","","","","","","","","","","",
"265632724734","CLFD139","","Ceiling","Ceiling Fan Designers","Fans","","","","","","","","Disney","","","","","","","","","","","","","","","","","","","","","","","52FAN-DIS-PPD","","","","","","","","","","","","","","","","",
"255476785783","CLFD372","","Ceiling","Ceiling Fan Designers","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-IMA-SS","","","","","","","","","","","","","","","","",
"255471755492","CLFD150","","Ceiling","Ceiling Fan Designers","Fans","","","","","","Green","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-KIDS-CAMOG","","","","","","","","","","","","","","","","",
"255471805076","CLFD159","","Ceiling","Ceiling Fan Designers","Fans","","","","","","","","Hello Kitty","","","","","","","","","","","","","","","","","","","","","","","52FAN-KIDS-HKSDK","","","","","","","","","","","","","","","","",
"255471738266","CLFD161","","Ceiling","Ceiling Fan Designers","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-KIDS-HW","","","","","","","","","","","","","","","","",
"265629869601","CLFD1916","","Ceiling","Ceiling Fan Designers","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-KIDS-MIN","","","","","","","","","","","","","","","","",
"255474860452","CLFD1917","","Ceiling","Ceiling Fan Designers","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52FAN-KIDS-RSS2","","","","","","","","","","","","","","","","",
"265632731762","ZX9CLFD134","","Ceiling","LightitUp","Fans","","","","","","","","Disney","","","","","","Ariel","","","","","","","","","","","","","","","","","LI51864","","","","","","","","","","","","","","","","",
"265629864189","ZX9CLFD135","","Ceiling","LightitUp","Fans","","","","","","","","Disney","","","","","","Mickey Mouse","","","","","","","","","","","","","","","","","LI51865","","","","","","","","","","","","","","","","",
"255471792431","BCNL234","","Ceiling","Fanaway","Ceiling Lights","","","","","Bronze","","","","","","","","","","","","","","","","","","","","","","","","","","21292101","","","","","","","","","","","","","","","","",
"265634205125","BCNL012","","","Fanaway","Ceiling Lights","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","","212927010","","","","","","","","","","","","","","","","",
"265634196085","BCNL230","","Ceiling","Fanaway","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51292801","","","","","","","","","","","","","","","","",
"265632742391","BCNL231","","Ceiling","Fanaway","Ceiling Lights","","","","","","Clear","","","","","","","","","","","","","","","","Clear","","","","","","","","","51292901","","","","","","","","","","","","","","","","",
"265632725584","ZX9CLFD376","","Ceiling","LightitUp","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI51876","","","","","","","","","","","","","","","","",
"265632747492","ZX9CLFD176","","Ceiling","LightitUp","Fans","","","","","","","","Sports","","","","","","","Sports","","","","","","","","","","","","","","","","LI51867","","","","","","","","","","","","","","","","",
"255471756171","ZX9CLFD378","","Ceiling","LightitUp","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI51877","","","","","","","","","","","","","","","","",
"255474977194","ZX9CLFD366","","Ceiling","LightitUp","Fans","","","","","","Purple","","","","","","","","","","","","","","","","","","","","","","","","","LI51874","","","","","","","","","","","","","","","","",
"265632721627","ZX9CLFD377","","Ceiling","LightitUp","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI715987","","","","","","","","","","","","","","","","",
"265629898959","BCNL006","","Ceiling","Lucci Air","Ceiling Lights","LED","","","","","Black","","","","A","","","","","","","","","","","","","","","","","","","","","51291001","","","","","","","","","","","","","","","","",
"255471776769","BCNL008","","Ceiling","Lucci Air","Ceiling Lights","LED","","","","","","","","","A","","","","","","","","","","","","","","","","","","","","","51291201","","","","","","","","","","","","","","","","",
"265635352815","BCNL108","","Ceiling","Lucci Air","Ceiling Lights","","","","","Brass","","","","","","","","DC","","","","","","","","","","","","","","","","","","210522010","","","","","","","","","","","","","","","","",
"265634173298","KSAO422264","","","Maxxair Vent","Fans","","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","","M1B-0005301K","","","","","","","","","","","","","","","","",
"265634125353","KSAO422382","","","Maxxair Vent","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M1B-0006401K","","","","","","","","","","","","","","","","",
"265621871816","ZX9CLFD607","","Ceiling","LightitUp","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI10110","","","","","","","","","","","","","","","","",
"265634153965","ZX9CLFD608","","Ceiling","LightitUp","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI51882","","","","","","","","","","","","","","","","",
"255463224850","ZX9CLFD609","","Ceiling","LightitUp","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI200105","","","","","","","","","","","","","","","","",
"255463211454","ZX9CLFD615","","Ceiling","LightitUp","Ceiling Lights","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","","LI51883","","","","","","","","","","","","","","","","",
"265621866107","ZX9CLFD617","","Ceiling","LightitUp","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI204803","","","","","","","","","","","","","","","","",
"265634195506","ORE876","","Ceiling","ORE INTERNATIONAL","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","K-5142H","","","","","","","","","","","","","","","","",
"255474927751","ZX9CLFD172","","Ceiling","LightitUp","Fans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LI51866","","","","","","","","","","","","","","","","",
"265857826479","WTFHM2289","","","Warehouse of Tiffany","Ceiling Lights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CFL-8477S-IGW","","","","","","","","","","","","","","","","",
