Item Id,SKU,Type,Lighting Technology,Brand,Number in Pack,Connectors,Current Type,Voltage,Bulb Shape Code,Amperage,Output Voltage,Features,Power,Smart Home Protocol,Color,Material,Power Source,Bulb Wattage,LED Chip Code,Installation Area,Personalized,Smart Home Compatibility,Power Consumption,Pattern,IP Rating,Style,LED String/Strip Type,Country/Region of Manufacture,Year Manufactured,Labels & Certifications,Department,Manufacturer Warranty,Compatible Product,MPN,Model,Bundle Description,California Prop 65 Warning,Compatible Brand,Compatible Model,Custom Bundle,Item Diameter,Item Height,Item Length,Item Weight,Item Width,Product Line,
"255444457021","ZX9JESC11906","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","GO1081603","","","","","","","","","","","","",
"255444472382","ZX9JESC11890","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","GO1081593","","","","","","","","","","","","",
"265603473573","ZX9JESC11896","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","GO1081596","","","","","","","","","","","","",
"265612025974","ZX9JESC11864","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","GO1081574","","","","","","","","","","","","",
"265603540829","ZX9JESC11899","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","GO1081599","","","","","","","","","","","","",
"255444520759","ZX9JESC11901","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","GO1081600","","","","","","","","","","","","",
"255444471057","ZX9JESC11905","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","GO1081602","","","","","","","","","","","","",
"255444507999","ZX9JESC11907","Outdoor Lighting","LED","GorgeousGlow","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","GO1081604","","","","","","","","","","","","",
"255444528068","AUTHMD2155","Outdoor Lighting","","Authentic Models","","","","","","","","","","","","Aluminum","","","","","","","","","","","","","","","","","","SL072","","","","","","","","","","","","",
"255471755417","ZX9ACHR147403","Bulbs","LED","Brillantez Anuncio Esplendor","","","","","","","","","","","Silver","","","","","","","","","","","","","","","","","","","BR1679679","","","","","","","","","","","","",
"265634141517","ZX9ACHR147404","Bulbs","LED","Brillantez Anuncio Esplendor","","","","","","","","","","","Silver","","","","","","","","","","","","","","","","","","","BR1680260","","","","","","","","","","","","",
"255575505130","CW67654","Outdoor Lighting","","Dual Pro","","","","","","","","","","","","","Battery","","","","","","","Marine","","","","","","","","","","BFGWOM1524V/12V","","","","","","","","","","","","",
"255476844769","ORGL168993","Bulbs","","Feit Electric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3405628","","","","","","","","","","","","",
"255444365034","OCNTR49693","Outdoor Lighting","","HomeRoots","10","","","","","","","","","","","Chrome","","","","","","","","","","","","","","","","","","397960","","","","","","","","","","","","",
"255444432859","OCNTR49694","Outdoor Lighting","","HomeRoots","10","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397961","","","","","","","","","","","","",
"255444366249","OCNTR49700","Outdoor Lighting","","HomeRoots","12","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397967","","","","","","","","","","","","",
"265603494160","OCNTR49701","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397968","","","","","","","","","","","","",
"265603538347","OCNTR49702","Outdoor Lighting","","HomeRoots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397969","","","","","","","","","","","","",
"255444373584","OCNTR49703","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397970","","","","","","","","","","","","",
"265603557191","OCNTR49704","Outdoor Lighting","","HomeRoots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397971","","","","","","","","","","","","",
"265603604821","OCNTR49705","Outdoor Lighting","","HomeRoots","9","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397972","","","","","","","","","","","","",
"265603552186","OCNTR49707","Outdoor Lighting","","HomeRoots","","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397974","","","","","","","","","","","","",
"255444519302","OCNTR49708","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397975","","","","","","","","","","","","",
"265603581009","OCNTR49710","Outdoor Lighting","","HomeRoots","","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397977","","","","","","","","","","","","",
"265603624630","OCNTR49711","Outdoor Lighting","","HomeRoots","9","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397978","","","","","","","","","","","","",
"255444469681","OCNTR49712","Outdoor Lighting","","HomeRoots","9","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397979","","","","","","","","","","","","",
"255444364523","OCNTR49715","Outdoor Lighting","","HomeRoots","9","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397982","","","","","","","","","","","","",
"255444359728","OCNTR49716","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397983","","","","","","","","","","","","",
"255444508578","OCNTR49720","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","397987","","","","","","","","","","","","",
"255444429421","OCNTR49721","Outdoor Lighting","","HomeRoots","9","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397988","","","","","","","","","","","","",
"255444424356","OCNTR49722","Outdoor Lighting","","HomeRoots","9","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397989","","","","","","","","","","","","",
"255444426163","OCNTR49723","Outdoor Lighting","","HomeRoots","11","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397990","","","","","","","","","","","","",
"265603570363","OCNTR49724","Outdoor Lighting","","HomeRoots","11","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","397991","","","","","","","","","","","","",
"255444517439","OCNTR49738","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","398005","","","","","","","","","","","","",
"265603585918","OCNTR49747","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","398014","","","","","","","","","","","","",
"265603615951","OCNTR49749","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","398016","","","","","","","","","","","","",
"255444505260","OCNTR49753","Outdoor Lighting","","HomeRoots","","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","398020","","","","","","","","","","","","",
"255444489084","OCNTR49754","Outdoor Lighting","","HomeRoots","","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","398021","","","","","","","","","","","","",
"255444509383","OCNTR49760","Outdoor Lighting","","HomeRoots","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","398027","","","","","","","","","","","","",
"265603582099","OCNTR49762","Outdoor Lighting","","HomeRoots","","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","398029","","","","","","","","","","","","",
"265603548894","JESC11899","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","ML431LU104030B","","","","","","","","","","","","",
"265603602890","JESC11905","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","ML431LU104040B","","","","","","","","","","","","",
"265603543815","JESC11906","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","ML441LU101230W","","","","","","","","","","","","",
"255444482250","JESC11890","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","ML441LU101240W","","","","","","","","","","","","",
"255444363092","JESC11896","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","ML441LU102530W","","","","","","","","","","","","",
"265603591004","JESC11864","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","ML441LU102540B","","","","","","","","","","","","",
"265603560644","JESC11901","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","ML441LU104030W","","","","","","","","","","","","",
"255444408267","JESC11907","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","Black","","","","","","","","","Linear","","","","","","","","","","ML441LU104040B","","","","","","","","","","","","",
"265603540999","JESC11360","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","White","","","","","","","","","Linear","","","","","","","","","","WW2S18NW30BK","","","","","","","","","","","","",
"255453119132","JESC11398","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","","","","","","Outdoor","","","","","","","","","","","","","","WWB1436PP30W50A","","","","","","","","","","","","",
"255444485126","JESC11369","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","","","","","","Outdoor","","","","","","","","","","","","","","WWS1612PP30W50Z","","","","","","","","","","","","",
"265603576109","JESC11400","Outdoor Lighting","LED","Jesco Lighting","","","","","","","","","","","","","","","","Outdoor","","","","","","","","","","","","","","WWT1512HW30RGBA","","","","","","","","","","","","",
"265612024839","LIEB2872","Outdoor Lighting","","Livex","","","","","","","","","","","","Bronze","","","","Outdoor","","","","","","","","","","","","","","2195-07","","","","","","","","","","","","",
"265603591442","LIEB2876","Outdoor Lighting","","Livex","","","","","","","","","","","","Brass","","","","Outdoor","","","","","","","","","","","","","","2255-02","","","","","","","","","","","","",
"255444384029","LIEB2879","Outdoor Lighting","","Livex","","","","","","","","","","","","Bronze","","","","Outdoor","","","","","","","","","","","","","","2255-07","","","","","","","","","","","","",
"255444468599","LIEB2887","Outdoor Lighting","","Livex","","","","","","","","","","","","Brass","","","","Outdoor","","","","","","","","","","","","","","2355-02","","","","","","","","","","","","",
"255444504742","LIVEX1863","Outdoor Lighting","","Livex","2","","","","","","","","","","","Nickel","","","","","","","","","","","","","","","","","","4222-91","","","","","","","","","","","","",
"265603630285","LIVEX2076","Outdoor Lighting","","Livex","3","","","","","","","","","","","Nickel","","","","","","","","","","","","","","","","","","4224-91","","","","","","","","","","","","",
"255444523981","LIVEX1773","Outdoor Lighting","","Livex","3","","","","","","","","","","","Nickel","","","","","","","","","","","","","","","","","","4226-91","","","","","","","","","","","","",
"265603551885","LIVEX2022","Outdoor Lighting","","Livex","5","","","","","","","","","","","Nickel","","","","","","","","","","","","","","","","","","4227-91","","","","","","","","","","","","",
"265612037156","LIVEX2406","Outdoor Lighting","","Livex","8","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","6437-71","","","","","","","","","","","","",
"255444506155","LIEB2856","Outdoor Lighting","","Livex","","","","","","","","","","","","Bronze","","","","","","","","","","","","","","","","","","7658-58","","","","","","","","","","","","",
"255476754140","ACHR147403","Bulbs","LED","Lumark","","","","","","","","","","","Silver","","","","","","","","","","","","","","","","","","","3003321","","","","","","","","","","","","",
"265629895296","ACHR147404","Bulbs","LED","Lumark","","","","","","","","","","","Silver","","","","","","","","","","","","","","","","","","","3003322","","","","","","","","","","","","",
"255474884130","ACHR147400","Bulbs","LED","Lumark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3003334","","","","","","","","","","","","",
"265632698553","ACHR147398","Bulbs","LED","Lumark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3003335","","","","","","","","","","","","",
"255474978846","ACHR147399","Bulbs","LED","Lumark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3003336","","","","","","","","","","","","",
"255444471749","ZX9ZLD339","Outdoor Lighting","","lighting","","","","","","","","","","","","Bronze","","","","Outdoor","","","","","","","","","","","","","","LI146543","","","","","","","","","","","","",
"255444520663","ZX9LIEB2887","Outdoor Lighting","","lighting","","","","","","","","","","","","Brass","","","","Outdoor","","","","","","","","","","","","","","LI366528","","","","","","","","","","","","",
"265603581079","ZX9ZLD1157","Outdoor Lighting","LED","Lucent","","","","","","","","","","","Black","","","","","Outdoor","","","","","","","","","","","","","","LU592013","","","","","","","","","","","","",
"265603533707","SPIHM3543","Outdoor Lighting","","SPI Home","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53033","","","","","","","","","","","","",
"255444468809","SPIHM3546","Outdoor Lighting","","SPI Home","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53037","","","","","","","","","","","","",
