Item Id,SKU,Form Factor,Type,Brand,Number of Modules,Bus Speed,Total Capacity,Capacity per Module,Number of Pins,Memory Features,Country/Region of Manufacture,Model,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"264161239104","101547","","Does Not Apply","Generic","","PC-100","","","168","","","","Does Not Apply","","","","","","","",
"264662519916","103415","","Does Not Apply","Generic","","","128 MB","128 MB","184","","","","FSB266","","","","","","","",
"264161239505","101605","","Does Not Apply","Generic","4","PC-800","","","184","","","","Does Not Apply","","","","","","","",
"254606409067","103501","DIMM","Does Not Apply","Generic","","","","","168","","","","Does Not Apply","","","","","","","",
"264161248701","103651","","Does Not Apply","Generic","","","","","72","","","","72-Pin-SIMMS","","","","","","","",
"254606882665","103645","","Does Not Apply","Generic","","","","","72","","","","72-Pin-SIMMS","","","","","","","",
"264741185257","103642","","Does Not Apply","Generic","","","","","30","","","","16MB-30-Pin-SIMMs","","","","","","","",
"254536724429","100054","","Does Not Apply","Generic","","","","","184","","","","FSB266-ECC","","","","","","","",
"264662518221","100227","","Does Not Apply","Generic","","","","","184","","","","FSB333","","","","","","","",
"254093282323","103649","","Does Not Apply","Generic","","","","","72","","","","Does Not Apply","","","","","","","",
"254606409137","103637","","Does Not Apply","Generic","","","","","30","","","","30-Pin-SIMMs","","","","","","","",
"254610383534","272519","","1MB-30-Pin-SIMMs","Generic","","","","","30","","","","1MB-30-Pin-SIMMs","","","","","","","",
"264161247963","103531","DIMM","Does Not Apply","Generic","1","PC-100","256 MB","256 MB","168","","","","Does Not Apply","","","","","","","",
"254528491902","109189","DIMM","Does Not Apply","Generic","","","","","200","","","","Does Not Apply","","","","","","","",
"264161238277","101172","","Does Not Apply","Generic","","","256 MB","256 MB","184","","","","FSB400","","","","","","","",
"264663438995","107705","","Does Not Apply","Generic","","PC-800","","","184","","","","ECC","","","","","","","",
"254602184953","184525","","Does Not Apply","Generic","","","","","","","","","256x16-60","","","","","","","",
"264663535583","111454","","Does Not Apply","Generic","","","","","240","","","","2GB-DDR3","","","","","","","",
"254610383502","272377","","32Kx8-15 15ns 3.3v SOJ 28 pin Memory","Generic","","","","","","","","","32Kx8-15","","","","","","","",
"264736731069","188648","","SRAM","Generic","","","","","","","","","32Kx8-15","","","","","","","",
"254606409077","103502","DIMM","Does Not Apply","Generic","","","","","168","","","","Does Not Apply","","","","","","","",
"254606409089","103506","","Does Not Apply","Generic","","","","","168","","","","Does Not Apply","","","","","","","",
"254606409051","100308","DIMM","SDR SDRAM","Generic","1","PC-100","32MB","32 MB","168","","","32MB PC-100","Does Not Apply","","","","","","","",
"254093281427","103526","","Does Not Apply","Generic","","PC-66","","","168","","","","Does Not Apply","","","","","","","",
"264662520135","103655","SIMM","EDO RAM","Generic","1","","4 MB","4 MB","72","","","","72-Pin-SIMMS","","","","","","","",
"254093282652","103657","","Does Not Apply","Generic","","","","","72","","","","Does Not Apply","","","","","","","",
"264741185212","103634","","Does Not Apply","Generic","","","","","30","","","","MAC-SIMMS","","","","","","","",
"264741684723","103640","","Does Not Apply","Generic","3","","","","30","","","","4MB-30-Pin-SIMMs","","","","","","","",
"254093282289","103641","","Does Not Apply","Generic","9","","","","30","","","","4MB-30-Pin-SIMMs","","","","","","","",
"254093322584","115398","","Does Not Apply","Generic","","","","","","","","","512MB-DDR2-PC2-4200U","","","","","","","",
"254536742328","103426","","Does Not Apply","Generic","","","512 MB","512 MB","184","Registered","","","FSB266-ECC-Registered","","","","","","","",
"264161249305","103801","","Does Not Apply","Generic","","","512 MB","512 MB","184","","","","FSB333","","","","","","","",
"264653294862","115448","","Does Not Apply","Generic","","","","","184","ECC Memory","","","512MB-PC3200-FSB400-ECC","","","","","","","",
"264662520038","103507","","Does Not Apply","Generic","","","","","168","","","","Does Not Apply","","","","","","","",
