Item Id,SKU,Fragrance Name,Type,Brand,Formulation,Size Type,Features,Scent,Volume,Country/Region of Manufacture,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Expiration Date,
"265731527474","FN309943","Portrayal","Eau de Parfum","Amouage","Spray","Regular Size","Long Lasting,Concentrated","","3.4 oz","","546497","","","","",
"255463038463","FN309025","Mississippi Medicine","Eau de Parfum","D.S. & Durga","Spray","Regular Size","Long Lasting","Woody","3.4 oz","","542283","","","","",
"265731449114","FN310256","Vetiver","Eau de Parfum","Frederic Malle","Spray","Regular Size","Long Lasting","","3.4 fl oz","","542136","","","","",
"265621704024","FRG30723","Armani Code","Eau de Toilette","Giorgio Armani","Spray","","","","","","149315","","","","",
"255463056691","FX464289","Jean Paul Gaultier","Eau de Toilette","Jean Paul Gaultier","Spray","","","","","","464289","","","","",
"265621701642","FN312207","Herod","Eau de Parfum","Parfums de Marly","Spray","","Sealed","","2.5 oz","","549769","","","","",
"255576656852","FN312521","Layton","Eau de Parfum","Parfums de Marly","Spray","Regular Size","100% Original","Bergamot","4.2 oz","","551332","","","","",
"265731451447","FN312259","Roja Enigma","Perfume","Roja Parfums","Spray","Regular Size","All Natural Ingredients,Long Lasting,Cruelty-Free/No Animal Testing,Concentrated","","3.4 fl oz","","550324","","","","",
"255576701273","FN312060","Beau De Jour","Eau de Parfum","Tom Ford","Spray","","","","3.4 oz","","023647998005,549364","","","","",
"255463053977","FN293209","Valentino Uomo Intense","Eau de Parfum","valentino","Spray","","","","3.4oz.","","534683","","","","",
