Item Id,SKU,Type,Compatible Port,Brand,Standards,External Interfaces,Maximum Data Rate,Internal Interfaces,MPN,Model,Number of ports,Form Factor,Custom Bundle,Bundle Description,California Prop 65 Warning,Country/Region of Manufacture,Compatible Brand,Compatible Product Line,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254093304422","109461","Modem","ISA","Generic","","","","","Does Not Apply","","","","","","","","","","","","","",
"254537470516","109460","Modem","PCI","3COM","","","","","3CP263595A","","","","","","","","","","","","","",
"264663536931","115693","Modem","ISA","Atech","V.90","","","","ATS-127A","","","","","","","","","","","","","",
"254537469107","108287","Modem","ISA","Best Data","","","","","2834F","","","","","","","","","","","","","",
"254537470461","109241","Modem","ISA","Cirrus Logic","","","","","336IFX(C)3420","","","","","","","","","","","","","",
"264663441749","110540","Modem","PCI","Compaq","","","","","245-05630-50","","","","","","","","","","","","","",
"254528492132","109541","Modem","PCI","Diamond","","","","","23540020-001","","","","","","","","","","","","","",
"254537469315","108401","Modem","ISA","Hayes","","","","","5202AM","","","","","","","","","","","","","",
"264663440211","108967","Modem","","IBM","","","","","05K3179","","","","","","","","For IBM","","","","","",
"254528492331","110594","Modem","ISA","IBM","","","","","Does Not Apply","","","","","","","","","","","","","",
"264663439823","108807","Modem","ISA","US Robotics","","","","","0481","","","","","","","","","","","","","",
"254537549450","108398","Modem","ISA","Generic","","","","","M561","","","","","","","","","","","","","",
"254528492393","110654","Modem","PCI","Microstar / MSI","","","","","MS-6946","","","","","","","","","","","","","",
"264663439083","108189","Modem","","Motorola","","","","","Does Not Apply","","","","","","","","","","","","","",
"264663536874","115680","Modem","ISA","PCtel","Bell 103","","","","Modem-Master-6000","","","","","","","","","","","","","",
"264663439219","108400","Modem","ISA","PCtel","","","","","J-Mark","","","","","","","","","","","","","",
"264663439186","108388","Modem","ISA","Generic","","","","","Does Not Apply","","","","","","","","","","","","","",
"264663440279","108974","Modem","","Toshiba","","","","","Does Not Apply","","","","","","","","For Toshiba","","","","","",
"255121500464","162049","Network / Modem Combo","","Black Box","","","","","MD630A-FST","Synchronous Fiber Optic","","","","","","","","","","","","",
"254528491617","108892","Modem","ISA","US Robotics","","","","","0297","","","","","","","","","","","","","",
"254093304339","109458","Modem","PCI","US Robotics","V.34","","","","0726","","","","","","","Canada","","","","","","",
"254537551419","115679","Modem","ISA","US Robotics","","","","","1.012.0411-A","","","","","","","","","","","","","",
"254528492256","110508","Modem","ISA","US Robotics","","","","","Does Not Apply","","","","","","","","","","","","","",
"264161267781","108632","Modem","ISA","US Robotics","","DSL/Phone (RJ-11)","56 KBps","","Sportster-0584","0584","1 Port","ISA Card","","","","","Universal","Universal","","","","",
