Item Id,SKU,Type,Connection Split/Duplication,Connector(s) B,Connector A,Brand,Cable Length,Color,Features,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"255093855058","107922","","","RCA Male","RCA Male","Generic","","","","Does Not Apply","","","","","","","",
"254190041476","107741","","","","","Generic","","","","Does Not Apply","","","","","","","",
"264161284795","111137","","","","","Generic","","","","Does Not Apply","","","","","","","",
"264161263060","107364","","","","","Generic","","Gold","","3.5mm-Stereo-Male-to-2-RCA-Female","","","","","","","",
"255121496926","138947","","","","","3M","","","","HC238W9B","","","","","","","",
"254093281074","103492","","","","","Generic","","","","Does Not Apply","","","","","","","",
"264161288491","112714","","","","","Generic","","","","Audio-&-MIDI-Port-Extension","","","","","","","",
"264653294471","111134","","","RCA Male","RCA Male","Compaq","","","","6ft-RCA-Male-to-RCA-Male","","","","","","","",
"254093274200","100713","","","","","Generic","","","","Does Not Apply","","","","","","","",
"264161252632","104900","","","RCA Female","RCA Female","Generic","","","","Does Not Apply","","","","","","","",
"264653290190","104902","","","","","Generic","","","","4-Pin-Female-+-RCA","","","","","","","",
"254531798270","101628","","","","","Generic","","","","Does Not Apply","","","","","","","",
