Item Id,SKU,Type,Color,Brand,Features,Country/Region of Manufacture,Number in Pack,Watering,Soil Type,Climate,Common Name,Season of Interest,Sunlight,Item Weight,Foliage,Genus,Growth Stage,Indoor/Outdoor,MPN,Safety,Custom Bundle,Soil pH,Bundle Description,California Prop 65 Warning,Growth Habit,Growth Rate,Item Height,Item Length,Item Width,Plant Form,Room,Set Includes,
"255575100339","ZX9DLMP2417","Flower Arrangements","","Work-of-Art","","","10","","","","","","","","","","","","WO1575902","","","","","","","","","","","","","",
"265730022640","ZX9DLMP2418","Flower Arrangements","","Work-of-Art","","","10","","","","","","","","","","","","WO1527006","","","","","","","","","","","","","",
"255518022653","ZX9VCK17645","Flower Arrangements","","Dare2Decor","","","","","","","","","","","","","","","DA1236026","","","","","","","","","","","","","",
"265680084227","ZX9VCK17801","Flower Arrangements","Green","Dare2Decor","","","","","","","","","","","","","","","DA1236114","","","","","","","","","","","","","",
"265897088403","ZX9VCK17772","Flower Arrangements","Green","Dare2Decor","Potted","","7","","","","","","","","","","","","DA2484837","","","","","","","","","","","","","",
"255575073654","DLMP2417","Flower Arrangements","","Family Maid","","","10","","","","","","","","","","","","27426","","","","","","","","","","","","","",
"265729937813","DLMP2525","Flower Arrangements","","Familymaid","","","10","","","","","","","","","","","","27425","","","","","","","","","","","","","",
"265730049266","DLMP2418","Flower Arrangements","","Familymaid","","","10","","","","","","","","","","","","27427","","","","","","","","","","","","","",
"255509735976","JECO6170","Flower Arrangements","White","Jeco","","","","","","","","","","","","","","","HD-BT145","","","","","","","","","","","","","",
"265674039529","ZX9VCK16475","Flower Arrangements","","Dare2Decor","","","","","","","","","","","","","","","DA599023","","","","","","","","","","","","","",
"255513254384","ZX9VCK16341","Flower Arrangements","","Dare2Decor","","","","","","","","","","","","","","","DA592629","","","","","","","","","","","","","",
"265669363820","ZX9VCK16451","Flower Arrangements","","Dare2Decor","","","","","","","","","","","","","","","DA608031","","","","","","","","","","","","","",
