Item Id,SKU,Socket Type,Brand,Form Factor,Compatible CPU Brand,Most Suitable For,Number of Memory Slots,Memory Type,Model,Expansion Slots,Input/Output Ports,Features,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"264662518208","100208","Socket 478","Abit","","Intel","","","","","","","","","IT7","","","","","","","",
"254539538595","100617","","Abit","","AMD","","","","","","","","","VA-10","","","","","","","",
"264663441591","110482","","Amptron / Eurone","","AMD","","","","","","","","","M810LR","","","","","","","",
"254537550272","111329","","Amptron / Eurone","","","","1","","","AGP","","","","M925LR","","","","","","","",
"254536740638","100189","Socket 370","Amptron / Eurone","","","","","","","","","","","PIII-3758LMRT","","","","","","","",
"264161276028","109706","Socket 7","AOpen","AT","","","4","","","ISA","","","","AP5C/P","","","","","","","",
"254537469187","108361","Slot 1","AOpen","","","","1","","","ISA","","","","AX6F","","","","","","","",
"264161274690","109326","","asRock","","","","","","","","","","","K7S41GX","","","","","","","",
"264662518581","100626","","Asus","","AMD","","2","","","","","","","A7N8X-VM","","","","","","","",
"254093274688","100784","Socket 370","Asus","Flex ATX","Intel","","2","SDR SDRAM","Asus CUSI-FX flex","AMR","USB 2.0","On-Board Audio,On-Board Video Chipset","","CUSI-FX","","","","","","","",
"254093274707","100787","","Asus","","Intel","","","","","","","","","CUSL2-C","","","","","","","",
"264161234012","100799","","Asus","","Intel","","","","","","","","","CUSL2-M","","","","","","","",
"254536740982","100582","Socket 370","Asus","","","","3","","","","","","","5185-1576","","","","","","","",
"255305433078","100804","Socket 370","ASUS","Baby AT","Intel","","3","SDR SDRAM","ME-99B","","","","","","","","","","","","",
"254536742493","103757","Socket 370","Asus","","","","","","","","","","","Does Not Apply","","","","","","","",
"254093274865","100806","Socket 370","Asus","NLX","","","2","","","","","","","MES-N","","","","","","","",
"264791637272","100777","Socket 7","Asus","AT","","","2","","","","","","","P/I-P55T2P4","","","","","","","",
"254093273755","100616","Socket 7","Asus","AT","","","4","","","","","","","P/I-P55TP4XE","","","","","","","",
"264925510899","100745","Slot 1","Asus","AT","","","1","","","","","","","P2-99B","","","","","","","",
"254093274147","100712","Slot 1","Asus","","","","1","","","ISA","","","","P2B","","","","","","","",
"264899583485","100725","Slot 1","Asus","AT","Intel","","1","","","ISA","","","","P2B-B","","","","","","","",
"254093274558","100739","Slot 1","Asus","","Intel","","1","","","","","","","P2B-D","","","","","","","",
"264161232752","100733","Slot 1","Asus","ATX","Intel","","4","SDR SDRAM","Asus P2B-LS","AGP","Fast-Wide SCSI,PATA/IDE/EIDE","","","P2B-LS","","","","","","","",
"264161232771","100734","","Asus","","Intel","","","","","AGP","","","","P2B-N","","","","","","","",
"264161232216","100618","Slot 1","Asus","","Intel","","1","","","AGP","","","","P2B-VT","","","","","","","",
"254536740909","100561","Slot 1","Asus","NLX","Intel","","1","","","","","","","P2E-N","","","","","","","",
"264161233347","100762","","Asus","","","","2","","","","","","","P2L97-S","","","","","","","",
"254093274043","100703","","Asus","","Intel","","","","","","","","","P3C2000","","","","","","","",
"264662518647","100704","Slot 1","Asus","ATX","","","1","SDR SDRAM","","PCI","","","","P3W","","","","","","","",
"254093298193","107842","Socket 478","Asus","ATX","","","1","","","CNR","","","","P4B-M","","","","","","","",
