Item Id,SKU,Type,Style,Theme,Brand,Secondary Stone,Metal,Color,Main Stone,Shape,Main Stone Color,Material,Pendant/Locket Type,Base Metal,Number of Gemstones,Main Stone Creation,Main Stone Shape,Chain Type,Metal Purity,Closure,Vintage,Country of Origin,Item Length,Occasion,Country/Region of Manufacture,Main Stone Treatment,Setting Style,Main Stone Width,Main Stone Length,Main Stone Depth,Antique,Features,Cut Grade,Personalize,Wholesale,Seller Warranty,Sizable,Handmade,Signed,Customized,Era,Gemstone Clarity Grade,California Prop 65 Warning,MPN,Personalization Instructions,
"255518508567","308149","Necklace","Pendant","Religious","Julio Designs","","","Gold","","Cross","Gold","","Charm","","30","","","","","","","United States","30 in","Anniversary,Birthday,Christening,Christmas,Confirmation/Communion,Graduation,Mother's Day,Valentine's Day,Wedding","United States","","","","","","","","","","","","","Yes","","","","","","","",
"265674514545","308151","Necklace","Beaded","Beach","Julio Designs","Pearl","","Gold","Pearl","Round","White","","","","","Natural","Round","","","","Yes","United States","16 in","Anniversary,Birthday,Christening,Christmas,Confirmation/Communion,Graduation,Mother's Day,Valentine's Day,Wedding","United States","","Cluster","","","","","","","","","","","Yes","","","","","","","",
"265643078797","308120","Necklace","Pendant","Celtic","Unbranded","","Sterling Silver","Silver","","Teardrop","Silver","Metal","locket","","6","Not Applicable","Teardrop","Metal","","Ball","","","15 in","","","Felt Balls","","","","","","","","","","","","","","","","","","","",
"265669564567","308144","Necklace","Chain,Pendant","Roman Coin","Julio Designs","Crystal","","Gold","Crystal","","Blush","Crystal","Coin","","","","Briolette","","","","","USA","24 in","","United States","","","","","","","","","","","","","Yes","","","","","","","",
"265674470172","308150","Necklace","Beaded","Beach","Julio Designs","Pearl","","Gold","Pearl","Round","White","","","","","Natural","Round","","","","Yes","United States","17 in","Anniversary,Birthday,Christening,Christmas,Confirmation/Communion,Graduation,Mother's Day,Valentine's Day,Wedding","United States","","","","","","","","","","","","","Yes","","","","","","","",
"255441297690","308034","Necklace","Chain","Beauty","Unbranded","","Lodium","Gold","","Round","Gold","","","Lodium","2","","Round","Double Link","","Hook","","China","","Anniversary,Birthday,Christmas,Engagement,Graduation,Mother's Day,Valentine's Day","China","","","","","","","","Ideal","","","Yes","","","","","","","","","",
"255442931495","308036","Necklace","Beaded","Beauty","Unbranded","Unknown","Unknown","Green","Unknown","Round","Green","Plastic","","Unknown","36","Unknown","Round","","Unknown","Hook","","China","36 in","Anniversary,Graduation,Mother's Day,Valentine's Day","Unknown","Unknown","","","","","","","","","","","","","","","","","","","",
"255514690400","308145","Necklace","Chain,Pendant","Large hammered ring","Julio Designs","Crystal","","Gold","Crystal","Star","Mint","Crystal","Large hammered ring","","30","","Briolette","Cable","","","","USA","30 in","","United States","","","","","","","","","","","","","Yes","","","","","","","",
"265670663633","308146","Necklace","Chain,Pendant","Hammered Ring","Julio Designs","Crystal","","Gold","Crystal","Star","Mint","Gemstone","Hammered Ring","","","","Briolette","Textured Cable","","","","USA","16 in","","United States","","","","","","","","","","","","","Yes","","","","","","","",
"255442884883","308035","Necklace","Beaded","Beauty","Unbranded","Unknown","Unknown","Orange","Unknown","Round","Orange","Plastic","","Unknown","36","Unknown","Round","","Unknown","Hook","","China","36 in","Anniversary,Graduation,Mother's Day,Valentine's Day","Unknown","Unknown","","","","","","","","","","","","","","","","","","","",
"255513411593","308143","Necklace","Chain,Pendant","Roman Coin","Julio Designs","Crystal","","Gold","Crystal","","Blush","Crystal","Coin","","","","Briolette","","","","","USA","16 in","","United States","","","","","","","","","","","","","Yes","","","","","","","",
"255487277314","308121","Necklace","Pendant","Viking","Viking","Not Applicable","Stainless Steel","Black Gun Plated","Not Applicable","","Silver","Stainless Steel","Thor Hammer","Stainless Steel","","Not Applicable","not applicable","King Chain","Stainless Steel","Lobster","No","","","Anniversary,Birthday,Christmas,Engagement,Father's Day,Graduation,Valentine's Day,Wedding","","","","","","","No","Viking","","","","","","","","","","","","","",
