Item Id,SKU,Brand,Type,Compatible Port,External Interfaces,Internal Interfaces,Maximum Data Rate,Number of ports,Compatible Brand,Compatible Product Line,Form Factor,Standards,Country/Region of Manufacture,Manufacturer Warranty,Model,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,
"264653294024","109339","Generic","Does Not Apply","PCI","RJ-45","","","","","","","","","","","10/100-NIC","","","","","","",
"254694002271","107555","3COM","Does Not Apply","","","","","","","","","","","","","3CSOHO100-TX","","","","","","",
"264161271577","108816","Generic","Does Not Apply","PCI","","","","","","","","","","","","Asound-AL100-R2","","","","","","",
"264663537072","115706","Coretek","Does Not Apply","PCI","","","","","","","","","","","","00-FNIC-TP-B2","","","","","","",
"264653291064","106778","Edimax","Does Not Apply","PCI","","","","","","","","","","","","9130TX","","","","","","",
"264662518729","100860","Generic","Does Not Apply","PCI","","","","","","","","","","","","EN5038","","","","","","",
"254536741232","100857","IBM","Does Not Apply","PCI","","","","","","","","","","","","34L1109","","","","","","",
"254594926197","161099","IBM","Lan Card","PCI","","","","","","","","","","","","34L1109","","","","","","",
"254528490282","107443","Generic","Does Not Apply","ISA","","","","","","","","","","","","22-00","","","","","","",
"265517909007","156253","Mellanox","Lan Card","PCI","Ethernet/ Network Cards","SFP","10 Gbps","2 Ports","","","2","","","","MCX312B-XCCT","","","","","","","",
"254536741411","101060","Netgear","Does Not Apply","PCI","Cable","","","","","","","","","","","FA311","","","","","","",
"254528491582","108824","Netgear","Does Not Apply","PCI","Wireless","","","","","","","","","","","MA301-802.11b","","","","","","",
"264307956859","236278","Network Everywhere","Lan Card","PCI","","","100 Mbps","","","","","","","","","NC100","","","","","","",
"264653294148","110031","Generic","Does Not Apply","PCI","","","","","","","","","","","","SFA110A","","","","","","",
