Item Id,SKU,Shape,Type,Subject,Material,Theme,Pattern,Size,Area of Use,Indoor/Outdoor,Brand,Style,Color,Features,Power Source,Occasion,Character Family,Character,Country/Region of Manufacture,Item Height,Personalize,Customized,Item Width,Finish,Item Length,Item Weight,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Care Instructions,Personalization Instructions,
"265639680948","ALPN2916","Stake","Furniture & Decor","","","","","","","","Alpine","","","LED","Solar","","","","","","","","","","","","SOT866BB","","","","","",
"255483968650","ZX9SPIHM125","Bull","Furniture & Decor","Bull","","","","","","","GRANDOLDGARDEN","","","","","","","","","","","","","","","","GR509794","","","","","",
"265634253093","ZX9SPIHM111","","Furniture & Decor","Elephant","","","","","","","GRANDOLDGARDEN","","","","","","","","","","","","","","","","GR126644","","","","","",
"255488723750","ZX9SPIHM059","","Furniture & Decor","","","","","","","","GRANDOLDGARDEN","","Blue","","","","","Blue","","","","","","","","","GR521082","","","","","",
"265639723317","ZX9SPIHM147","","Furniture & Decor","","","","","","","","GRANDOLDGARDEN","","","","","","","","","","","","","","","","GR516994","","","","","",
"255554526143","MSHMCL4619","","Furniture & Decor","","","","","Small","","","Moes","","Silver","","","","","","","","","","","","","","LA-1059-30","","","","","",
"255483746035","OMHC1554","Horse","Furniture & Decor","Horse","","","","","","","Old Modern Handicrafts","Modern","","","","","","","","","","","","","","","AT017","","","","","",
"255739414757","ZX9SPIHM301","Flamingo","Furniture & Decor","Flamingo","","","Flamingo","","","","GRANDOLDGARDEN","","Pink","","","","","","","","","","","","","","GR789298","","","","","",
"265639624615","GC29091","","Furniture & Decor","","Bronze","","","","","","Regal Art & Gift","","","","","","","","","","","","","","","","REGAL11517","","","","","",
"255483844603","ZX9ZGTN091","Lion","Furniture & Decor","Lion","","","Lion","","","","LAWNITATOR","","","","","","","","","","","","","","","","LA146445","","","","","",
"255483964128","SPIHM3250","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","21006","","","","","",
"255672636410","SPIHM118","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","30299","","","","","",
"265644517353","SPIHM184","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","30817","","","","","",
"265639792596","SPIHM125","Bull","Furniture & Decor","Bull","","","","","","","SPI Home","","","","","","","","","","","","","","","","30821","","","","","",
"265644596564","SPIHM168","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","31551","","","","","",
"255739415126","SPIHM162","Fish","Furniture & Decor","","","Fish","Fish","","","","SPI Home","","","","","","","","","","","","","","","","31618","","","","","",
"265796260747","SPIHM2732","","Furniture & Decor","","","","Octopus","","","","SPI Home","","","","","","","","","","","","","","","","34632","","","","","",
"265639721405","SPIHM2742","Deer","Furniture & Decor","Deer","","","","","","","SPI Home","","","","","","","","","","","","","","","","34642","","","","","",
"265639723877","SPIHM2744","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","34644","","","","","",
"255488836582","SPIHM2745","","Furniture & Decor","Bird","","","","","","","SPI Home","","","","","","","","","","","","","","","","34645","","","","","",
"255483730073","SPIHM2757","Butterfly","Furniture & Decor","Butterfly","","","","","","","SPI Home","","","","","","","","","","","","","","","","34660","","","","","",
"255483779922","SPIHM2769","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","34731","","","","","",
"265644634446","SPIHM2797","","Furniture & Decor","","","","Octopus","","","","SPI Home","","","","","","","","","","","","","","","","34762","","","","","",
"255476966928","SPIHM3402","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","41048","","","","","",
"255483837160","SPIHM3516","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","53003","","","","","",
"255488747027","SPIHM3530","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","53019","","","","","",
"265644635641","SPIHM059","","Furniture & Decor","","","","","","","","SPI Home","","Blue","","","","","Blue","","","","","","","","","80091","","","","","",
"265639552090","SPIHM111","","Furniture & Decor","Elephant","","","","","","","SPI Home","","","","","","","","","","","","","","","","80163","","","","","",
"255483702888","SPIHM166","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","80235","","","","","",
"255488737227","SPIHM147","","Furniture & Decor","","","","","","","","SPI Home","","","","","","","","","","","","","","","","80256","","","","","",
"255488696014","SPIHM2899","Horse","Furniture & Decor","Horse","","","","","","","SPI Home","","","","","","","","","","","","","","","","80348","","","","","",
"255488725649","SPIHM2905","Bull","Furniture & Decor","Bull","","","","","","","SPI Home","","","","","","","","","","","","","","","","80357","","","","","",
"265639786532","SPIHM2911","","Furniture & Decor","","","","Octopus","","","","SPI Home","","","","","","","","","","","","","","","","80363","","","","","",
"265644614917","SPIHM2527","Lantern","Furniture & Decor","Lantern","","","","","","","SPI Home San Pacific","","","","","","","","","","","","","","","","34564","","","","","",
"265639721653","ZGTN091","Lion","Furniture & Decor","Lion","","","Lion","","","","Zingz & Thingz","","","","","","","","","","","","","","","","15158","","","","","",
