Item Id,SKU,Brand,Set Includes,Type,Type of Oven,Material,Color,Shape,Surface Coating,Features,Item Width,Item Height,Item Length,Country/Region of Manufacture,Capacity,Item Depth,Item Diameter,Number of Items in Set,MPN,Item Weight,Heat Resistance,Manufacturer Warranty,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,
"255437766562","ACHR112473","Home Plus","","Cookware","","","","","","","","","","","","","","","6392013","","","","","","","",
"255453055547","MYR4149","Rachael Ray","","Cookware","","","","","","","","","","","","","","","46683","","","","","","","",
"265619662868","MYR14452","Rachael Ray","","Cookware","","","Gray","","","","","","","","","","","","47020","","","","","","","",
"265597101698","MYR14452","Rachael Ray","","Cookware","","","Gray","","","","","","","","","","","","47020","","","","","","","",
"265611935121","MYR14453","Rachael Ray","","Cookware","","","Gray","","","","","","","","","","","","47021","","","","","","","",
"265611945804","MYR14455","Rachael Ray","","Cookware","","","Gray","","","","","","","","","","","","47025","","","","","","","",
"265611938814","MYR14653","Rachael Ray","","Cookware","","","","","","","","","","","","","","","47364","","","","","","","",
"255461405740","MYR14653","Rachael Ray","","Cookware","","","","","","","","","","","","","","","47364","","","","","","","",
"255453051165","MYR14655","Rachael Ray","","Cookware","","","Gray","","","","","","","","","","","","47425","","","","","","","",
"255453049978","MYR14691","Rachael Ray","","Cookware","","","Brown","Oval","","","","","","","","","","","47655","","","","","","","",
"265611936555","MYR14693","Rachael Ray","","Cookware","","","Brown","Oval","","","","","","","","","","","47657","","","","","","","",
"265611933796","MYR14695","Rachael Ray","","Cookware","","","Brown","Oval","","","","","","","","","","","47659","","","","","","","",
"255453056632","MYR14697","Rachael Ray","","Cookware","","","Blue","","","","","","","","","","","","47661","","","","","","","",
"265611935864","MYR14698","Rachael Ray","","Cookware","","","Red","","","","","","","","","","","","47662","","","","","","","",
"255453057354","MYR14713","Rachael Ray","","Cookware","","","Silver","","","","","","","","","","","","47681","","","","","","","",
"255453052798","MYR15034","Rachael Ray","","Cookware","","","Silver","","","","","","","","","","","","47767","","","","","","","",
"265611936739","MYR15036","Rachael Ray","","Cookware","","","Gray","Oval","","","","","","","","","","","47849","","","","","","","",
"255453057222","MYR15039","Rachael Ray","","Cookware","","","Red","Oval","","","","","","","","","","","47852","","","","","","","",
"265611943052","MYR15040","Rachael Ray","","Cookware","","","","Oval","","","","","","","","","","","47853","","","","","","","",
"265611942415","MYR15041","Rachael Ray","","Cookware","","","Blue","Oval","","","","","","","","","","","47854","","","","","","","",
"265611937100","MYR15042","Rachael Ray","","Cookware","","","Gray","Oval","","","","","","","","","","","47855","","","","","","","",
"265611944063","MYR15043","Rachael Ray","","Cookware","","","Red","","","","","","","","","","","","47856","","","","","","","",
"265611940972","MYR15044","Rachael Ray","","Cookware","","","","","","","","","","","","","","","47857","","","","","","","",
"255453057974","MYR15046","Rachael Ray","","Cookware","","","Gray","","","","","","","","","","","","47859","","","","","","","",
"255453066544","MYR15047","Rachael Ray","","Cookware","","","","","","","","","","","","","","","47860","","","","","","","",
"255453059221","MYR15079","Rachael Ray","","Cookware","","","","","","","","","","","","","","","47956","","","","","","","",
"255453059072","MYR15081","Rachael Ray","","Cookware","","","","Rectangle","","","","","","","","","","","47958","","","","","","","",
"255461405244","MYR15082","Rachael Ray","","Cookware","","","","Rectangle","","","","","","","","","","","47959","","","","","","","",
"255453054933","MYR15082","Rachael Ray","","Cookware","","","","Rectangle","","","","","","","","","","","47959","","","","","","","",
"255453055233","MYR15083","Rachael Ray","","Cookware","","","","","","","","","","","","","","","47960","","","","","","","",
"255453050907","MYR15087","Rachael Ray","","Cookware","","","Gray","","","","","","","","","","","","47964","","","","","","","",
"265611934705","MYR1758","Rachael Ray","Cake Pan","Cookware","","","Gray","Round","","","","","","","","","","","54073","","","","","","","",
"265611936234","MYR14476","Rachael Ray","","Cookware","","","","","","","","","","","","","","","87657","","","","","","","",
