Item Id,SKU,Brand,Form Factor,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"265316035699","279112","ACCELL","","B087B-006B-2","","","","","","","",
"265308928799","279230","ACCELL","","K172B-002B","","","","","","","",
"265131520075","276289","Chenbro","","84H331610-019","","","","","","","",
"265307502250","270352","Edgecore Networks","","FAN-1U-1X1C-B2","","","","","","","",
"254557160814","262871","Fellowes","","8030901","","","","","","","",
"264685987684","262000","Fellowes","","8080201","","","","","","","",
"264486075175","187820","HP","","647903-B21","","","","","","","",
"254189588721","187931","HPE","","581201-B21","","","","","","","",
"254557161245","200713","Plantronics","","209506-01","","","","","","","",
"265298811766","137770","Tripp Lite","","U280-004-WS3C1","","","","","","","",
