Item Id,SKU,Type,Brand,Handmade,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,
"265597115062","MRNS071","Arts & Crafts","American Easel","","AE0824-D","","","","","","","",
"255581126384","CCB1795","Arts & Crafts","Doc Com","","3000004EZ","","","","","","","",
"265735817887","CCB1796","Arts & Crafts","Doc Com","","3126061EZ","","","","","","","",
"265735924339","ZX9STDSGN149","Arts & Crafts","Tosafos","","TO130110","","","","","","","",
"265735704922","ZX9STDSGN151","Arts & Crafts","Tosafos","","TO130111","","","","","","","",
"255581227210","CCB2618","Arts & Crafts","GBC","","3125311EZ","","","","","","","",
"265735610883","CCB2619","Arts & Crafts","GBC","","3125702EZ","","","","","","","",
"265735952237","ZX9STDSGN214","Arts & Crafts","Tosafos","","TO688448","","","","","","","",
"255580942622","ZX9STDSGN294","Arts & Crafts","Tosafos","","TO524034","","","","","","","",
"255581104404","STDSGN149","Arts & Crafts","Studio Designs","","10070","","","","","","","",
"265735673526","STDSGN151","Arts & Crafts","Studio Designs","","10072","","","","","","","",
"255581217302","STDSGN214","Arts & Crafts","Studio Designs","","10210","","","","","","","",
"255580978594","STDSGN1383","Arts & Crafts","Studio Designs","","13308","","","","","","","",
"265674469063","STDSGN212","Arts & Crafts","Studio Designs","","13340","","","","","","","",
"255581072252","STDSGN1416","Arts & Crafts","Studio Designs","","13354","","","","","","","",
"265735949553","STDSGN1417","Arts & Crafts","Studio Designs","","13355","","","","","","","",
"255581248558","STDSGN1418","Arts & Crafts","Studio Designs","","13356","","","","","","","",
"265735833314","STDSGN1419","Arts & Crafts","Studio Designs","","13357","","","","","","","",
"265735913309","ZX9CCB1795","Arts & Crafts","OfficeSpace","","OF890472","","","","","","","",
"255581264893","ZX9CCB1796","Arts & Crafts","OfficeSpace","","OF890473","","","","","","","",
"255581240294","ZX9STDSGN212","Arts & Crafts","Tosafos","","TO6880","","","","","","","",
