Item Id,SKU,Type,Brand,Material,Making Method,Color,Country/Region of Manufacture,Item Height,Personalize,MPN,Bundle Description,Item Length,Item Weight,Item Width,Model,California Prop 65 Warning,Custom Bundle,Personalization Instructions,
"255120272849","287310","","Maxam","Marble","","Black","","","","Does Not Apply","","","","","","","","",
"254691978883","116393","","Maxam","","","","","","","Apple-Peeler/Corer/Slicer","","","","","","","","",
"255461414037","CNCKR004","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 001","","","","","","","","",
"255453067821","CNCKR004","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 001","","","","","","","","",
"265611946625","CNCKR005","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 002","","","","","","","","",
"255453067689","CNCKR006","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 003","","","","","","","","",
"255461413955","CNCKR006","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 003","","","","","","","","",
"255453067946","CNCKR007","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 004","","","","","","","","",
"255453068068","CNCKR008","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 005","","","","","","","","",
"255461414312","CNCKR009","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 006","","","","","","","","",
"265611946510","CNCKR009","Cook's Tools & Gadgets","Can Cooker","","","","","","","CS - 006","","","","","","","","",
"254646683775","116628","Tortilla Maker","Chef's Secret","","","","","","","8-Red-Tortilla-Press","","","","","","","","",
"265288540953","116459","","Maxam","","","","","","","French-Fry-and-Vegetable-Cutter","","","","","","","","",
"254559995680","116579","","Healthsmart","Porcelain","","","","","","HEALTHSMART-Porcelain-Mortar-and-Pestle","","","","","","","","",
"255453048387","MYR14670","Cook's Tools & Gadgets","Rachael Ray","","","Blue","","","","47553","","","","","","","","",
"255453048883","MYR14672","Cook's Tools & Gadgets","Rachael Ray","","","Blue","","","","47564","","","","","","","","",
"265611933564","MYR14699","Cook's Tools & Gadgets","Rachael Ray","","","Blue","","","","47665","","","","","","","","",
"255453047853","MYR14970","Cook's Tools & Gadgets","Rachael Ray","","","","","","","47762","","","","","","","","",
"265597114945","ACHR122072","Cook's Tools & Gadgets","Tablecraft","","","Clear","","","","6505580","","","","","","","","",
