Item Id,SKU,Material,Brand,Type,MPN,Coverage per Case,Features,Number in Pack,Custom Bundle,Bundle Description,Style,Country/Region of Manufacture,California Prop 65 Warning,Color,Finish,Item Height,Item Length,Item Weight,Item Width,Pattern,Year Manufactured,
"255476937284","ZX9ACHR139317","Metal","Heatwave","Lawn & Landscaping","HE1492308","","","4","","","","","","Brown","","","","","","","",
"265639549181","ORGL146560","","Black & Decker","Lawn & Landscaping","2309821","","","","","","","","","Black","","","","","","","",
"255483765238","ACHR139317","Metal","Bond","Lawn & Landscaping","7795446","","","4","","","","","","Brown","","","","","","","",
"255464892615","ACHR152268","","Bonide Product","Lawn & Landscaping","7013462","","","","","","","","","","","","","","","","",
"255464883896","WLLCH11816","","CONTROL SOLUTIONS","Lawn & Landscaping","82100100","","","","","","","","","","","","","","","","",
"255488763767","WLLCH19001","","CONTROL SOLUTIONS","Lawn & Landscaping","82210022","","","1","","","","","","","","","","","","","",
"255464903973","WLLCH19002","","CONTROL SOLUTIONS","Lawn & Landscaping","82210023","","","1","","","","","","","","","","","","","",
"255464873205","ACHR138848","","General Hydroponics","Lawn & Landscaping","7637853","","","1","","","","","","","","","","","","","",
"255476911293","WLLCH2760","","Meeco Manufacturing","Lawn & Landscaping","1352","","","","","","","","","Gray","","","","","","","",
"265639622023","ACHR162163","","O-ACE-SIS","Lawn & Landscaping","8191637","","","1","","","","","","","","","","","","","",
"265623528466","ACHR141968","","Rugg","Lawn & Landscaping","7690274","","","","","","","","","","","","","","","","",
"255464909769","ACHR141970","","Rugg","Lawn & Landscaping","7690308","","","","","","","","","","","","","","","","",
"265623502284","ACHR141997","","Rugg","Lawn & Landscaping","7690613","","","","","","","","","","","","","","","","",
"255464903675","ACHR141985","","Rugg","Lawn & Landscaping","7690670","","","","","","","","","","","","","","","","",
"255483752252","WLLCH5324","","Southern AG","Lawn & Landscaping","7662","","","1","","","","","","","","","","","","","",
"265644527716","WLLCH5325","","Southern AG","Lawn & Landscaping","8612","","","1","","","","","","","","","","","","","",
"255476952760","WLLCH5326","","Southern AG","Lawn & Landscaping","8722","","","1","","","","","","","","","","","","","",
"265639591596","ACHW13619","","Southwire","Lawn & Landscaping","3008521","","","8","","","","","","Black","","","","","","","",
