Item Id,SKU,Brand,Compatible Port,Type,MPN,Compatible Motherboard Brand,Custom Bundle,Bundle Description,California Prop 65 Warning,Country/Region of Manufacture,Compatible Socket Type,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254531799702","108128","AST","","Does Not Apply","FL6/V60R-WG2","","","","","","","","","","",
"264161266422","108100","Generic","","Does Not Apply","Does Not Apply","","","","","","","","","","",
"254093295576","107530","Generic","","Does Not Apply","Does Not Apply","","","","","","","","","","",
"254536740889","100501","Generic","","Does Not Apply","Does Not Apply","","","","","","","","","","",
"264161257454","106056","Generic","","Does Not Apply","Does Not Apply","","","","","","","","","","",
"254093291158","106631","Compaq","","Does Not Apply","BR1632-WC","","","","","","","","","","",
"264161266148","107852","Generic","","Does Not Apply","Does Not Apply","","","","","","","","","","",
"264161248514","103623","Generic","","Does Not Apply","Does Not Apply","For IBM","","","","","","","","","",
"264161268536","108693","Dell","","Does Not Apply","Does Not Apply","For Dell","","","","","","","","","",
"264161266392","108098","IBM","","Does Not Apply","44G3778","For IBM","","","","","","","","","",
"264656898549","108125","SAFT","","CMOS Battery","Does Not Apply","","","","","","","","","","",
