Item Id,SKU,Brand,Type,Personalize,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,Personalization Instructions,
"255581195570","ZX9SPRCH25591","Easy-to-Organize","Arts & Crafts","","EA1627486","","","","","","","","",
"255581231340","ZX9SPRCH25345","Easy-to-Organize","Arts & Crafts","","EA1625133","","","","","","","","",
"265735828855","ZX9SPRCH25584","Easy-to-Organize","Arts & Crafts","","EA1189955","","","","","","","","",
"265735624405","ZX9USPAC101202","Easy-to-Organize","Arts & Crafts","","EA580146","","","","","","","","",
"265735676029","DLMP3474","Family Maid","Arts & Crafts","","13423","","","","","","","","",
"265735844536","SPRCH25591","PACON CORPORATION","Arts & Crafts","","PAC67091","","","","","","","","",
"255581230179","SPRCH25584","PACON CORPORATION","Arts & Crafts","","PAC67101","","","","","","","","",
"255581235562","SPRCH25344","PACON CORPORATION","Arts & Crafts","","PAC67131","","","","","","","","",
"265735767673","SPRCH25345","PACON CORPORATION","Arts & Crafts","","PAC67171","","","","","","","","",
"265735904290","USPAC101202","Pacon","Arts & Crafts","","101202","","","","","","","","",
"255581114069","TGRDC122198","Universal","Arts & Crafts","","YYAZ-UNV20030","","","","","","","","",
"255581127633","TGRDC122207","Universal","Arts & Crafts","","YYAZ-UNV24200","","","","","","","","",
