Item Id,SKU,Type,Features,Material,Brand,Style,MPN,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"265634314767","ZX9ALKO2253","Furniture & Decor","Heavy Duty","Polyethylene","TePee Supplies","","TE705961","","","","","","",
"265639584094","ZX9SHLTL097","Furniture & Decor","","","PatioPlus","","PA17851","","","","","","",
"265639709055","ZX9SHLTL110","Furniture & Decor","","","PatioPlus","","PA125003","","","","","","",
"265639791646","ZX9ORGL24955","Furniture & Decor","","","Gan Eden","","GA1857182","","","","","","",
"255476979128","ALKO5964","Furniture & Decor","","","ALEKO","","AWCL10X8BK81-UNB","","","","","","",
"265639572888","ALKO5965","Furniture & Decor","","","ALEKO","","AWCL10X8BLUE30-UNB","","","","","","",
"255483895854","ALKO5968","Furniture & Decor","","","ALEKO","","AWCL10X8BURG37-UNB","","","","","","",
"255488654834","ALKO5971","Furniture & Decor","","","ALEKO","","AWCL10X8GRWT00-UNB","","","","","","",
"265634306154","ALKO5970","Furniture & Decor","","","ALEKO","","AWCL10X8GRYWHT-UNB","","","","","","",
"255488820939","ALKO5973","Furniture & Decor","","","ALEKO","","AWCL10X8IVOR29-UNB","","","","","","",
"255488751905","ALKO5975","Furniture & Decor","","","ALEKO","","AWCL10X8MSGR58-UNB","","","","","","",
"255488647631","ALKO5974","Furniture & Decor","","","ALEKO","","AWCL10X8MSRD19-UNB","","","","","","",
"255483673737","ALKO5976","Furniture & Decor","","","ALEKO","","AWCL10X8MSY315-UNB","","","","","","",
"265644550163","ALKO5977","Furniture & Decor","","","ALEKO","","AWCL10X8RDWT05-UNB","","","","","","",
"255488835649","ALKO5978","Furniture & Decor","","","ALEKO","","AWCL10X8SAND31-UNB","","","","","","",
"265639638972","ALKO5982","Furniture & Decor","","","ALEKO","","AWCL12X10BRN36-UNB","","","","","","",
"255476954301","ALKO5984","Furniture & Decor","","","ALEKO","","AWCL12X10GR39-UNB","","","","","","",
"265639614067","ALKO5989","Furniture & Decor","","","ALEKO","","AWCL12X10MSRD19-UNB","","","","","","",
"265639689162","ALKO5991","Furniture & Decor","","","ALEKO","","AWCL12X10MSY315-UNB","","","","","","",
"265634305193","ALKO3679","Furniture & Decor","Heavy Duty","","ALEKO","","CP1020BE-UNB","","","","","","",
"255483838120","ALKO2252","Furniture & Decor","Heavy Duty","","ALEKO","","CP1020NSKIT-UNB","","","","","","",
"255483962155","ALKO2253","Furniture & Decor","Heavy Duty","","ALEKO","","CP1020NS-UNB","","","","","","",
"255488747358","ALKO1821","Furniture & Decor","Heavy Duty","","ALEKO","","CP1020WH-UNB","","","","","","",
"265644502944","ALKO3681","Furniture & Decor","Heavy Duty","","ALEKO","","CPWT1020-UNB","","","","","","",
"255483746197","ALKO2100","Furniture & Decor","","","ALEKO","","PERGBURG-UNB","","","","","","",
"265639714731","ALKO2101","Furniture & Decor","","","ALEKO","","PERGSAND-UNB","","","","","","",
"255483718718","ALKO2099","Furniture & Decor","","","ALEKO","","PERGWT-UNB","","","","","","",
"255483836562","ORGL24955","Furniture & Decor","","","Easy Gardener","","7903610","","","","","","",
"255488800414","ZX9ALKO1821","Furniture & Decor","Heavy Duty","","TePee Supplies","","TE705955","","","","","","",
"255760754461","KTFB1116","Furniture & Decor","","","Keystone Fabrics","","O70.68.70","","","","","","",
"255760753125","KTFB1157","Furniture & Decor","","","Keystone Fabrics","","O70.78.70","","","","","","",
"265919915882","KTFB1140","Furniture & Decor","","","Keystone Fabrics","","O77.78.70","","","","","","",
"265919915981","KTFB1154","Furniture & Decor","","","Keystone Fabrics","","O77.78.90","","","","","","",
"265919916180","KTFB1198","Furniture & Decor","","","Keystone Fabrics","","UP70.68.55","","","","","","",
"265639702736","ZX9RVNI381","Furniture & Decor","","","Cerrar","","CE2114830","","","","","","",
"255488844740","ZX9PLYTX102","Furniture & Decor","","","GardenGear","","GA455179","","","","","","",
"265644484560","PLYTX102","Furniture & Decor","","","Palram","","HG9550","","","","","","",
"255483814981","PATIO547","Furniture & Decor","","","Patio Living","","08129","","","","","","",
"265639658804","RVNI1863","Furniture & Decor","","","Riverstone Industries","","B-SC1210-50","","","","","","",
"265634252181","RVNI1864","Furniture & Decor","","","Riverstone Industries","","B-SC1212-50","","","","","","",
"265639578550","RVNI1865","Furniture & Decor","","","Riverstone Industries","","B-SC1215-50","","","","","","",
"255488710954","RVNI1866","Furniture & Decor","","","Riverstone Industries","","B-SC1218-50","","","","","","",
"265639642384","RVNI1867","Furniture & Decor","","","Riverstone Industries","","B-SC1220-50","","","","","","",
"255483834506","RVNI1868","Furniture & Decor","","","Riverstone Industries","","B-SC1225-50","","","","","","",
"255488659297","RVNI1869","Furniture & Decor","","","Riverstone Industries","","B-SC1230-50","","","","","","",
"255488673507","RVNI1862","Furniture & Decor","","","Riverstone Industries","","B-SC128-50","","","","","","",
"265634295283","RVNI1861","Furniture & Decor","","","Riverstone Industries","","B-SC612-50","","","","","","",
"265644561507","RVNI1875","Furniture & Decor","","","Riverstone Industries","","G-SC1210-50","","","","","","",
"265639515980","RVNI1876","Furniture & Decor","","","Riverstone Industries","","G-SC1212-50","","","","","","",
"255483924278","RVNI1877","Furniture & Decor","","","Riverstone Industries","","G-SC1215-50","","","","","","",
"255483879554","RVNI1878","Furniture & Decor","","","Riverstone Industries","","G-SC1218-50","","","","","","",
"255476922115","RVNI1879","Furniture & Decor","","","Riverstone Industries","","G-SC1220-50","","","","","","",
"265639789390","RVNI1880","Furniture & Decor","","","Riverstone Industries","","G-SC1225-50","","","","","","",
"265639714885","RVNI1881","Furniture & Decor","","","Riverstone Industries","","G-SC1230-50","","","","","","",
"265639560692","RVNI1874","Furniture & Decor","","","Riverstone Industries","","G-SC128-50","","","","","","",
"255483955981","RVNI1873","Furniture & Decor","","","Riverstone Industries","","G-SC612-50","","","","","","",
"255488805189","RVNI338","Furniture & Decor","","","RSI","","K-SC1010-30","","","","","","",
"265644640692","RVNI339","Furniture & Decor","","","RSI","","K-SC1010-50","","","","","","",
"255483724288","RVNI340","Furniture & Decor","","","RSI","","K-SC1010-70","","","","","","",
"255488760733","RVNI341","Furniture & Decor","","","RSI","","K-SC1012-30","","","","","","",
"265644609595","RVNI342","Furniture & Decor","","","RSI","","K-SC1012-50","","","","","","",
"265644502500","RVNI343","Furniture & Decor","","","RSI","","K-SC1012-70","","","","","","",
"255488834667","RVNI344","Furniture & Decor","","","RSI","","K-SC1015-30","","","","","","",
"255488820099","RVNI345","Furniture & Decor","","","RSI","","K-SC1015-50","","","","","","",
"255488745893","RVNI346","Furniture & Decor","","","RSI","","K-SC1015-70","","","","","","",
"255488807836","RVNI347","Furniture & Decor","","","RSI","","K-SC1018-30","","","","","","",
"255483678712","RVNI348","Furniture & Decor","","","RSI","","K-SC1018-50","","","","","","",
"265639687771","RVNI349","Furniture & Decor","","","RSI","","K-SC1018-70","","","","","","",
"255488744303","RVNI350","Furniture & Decor","","","RSI","","K-SC1020-30","","","","","","",
"265634254200","RVNI351","Furniture & Decor","","","RSI","","K-SC1020-50","","","","","","",
"265639504298","RVNI353","Furniture & Decor","","","RSI","","K-SC1025-30","","","","","","",
"265639611694","RVNI354","Furniture & Decor","","","RSI","","K-SC1025-50","","","","","","",
"255488843619","RVNI356","Furniture & Decor","","","RSI","","K-SC1030-30","","","","","","",
"255488733625","RVNI357","Furniture & Decor","","","RSI","","K-SC1030-50","","","","","","",
"255488680950","RVNI362","Furniture & Decor","","","RSI","","K-SC1210-30","","","","","","",
"265639783208","RVNI363","Furniture & Decor","","","RSI","","K-SC1210-50","","","","","","",
"255483656621","RVNI365","Furniture & Decor","","","RSI","","K-SC1212-30","","","","","","",
"265639801531","RVNI366","Furniture & Decor","","","RSI","","K-SC1212-50","","","","","","",
"265644593666","RVNI368","Furniture & Decor","","","RSI","","K-SC1215-30","","","","","","",
"265644602472","RVNI369","Furniture & Decor","","","RSI","","K-SC1215-50","","","","","","",
"255476922618","RVNI371","Furniture & Decor","","","RSI","","K-SC1218-30","","","","","","",
"265639537953","RVNI372","Furniture & Decor","","","RSI","","K-SC1218-50","","","","","","",
"255488787973","RVNI374","Furniture & Decor","","","RSI","","K-SC1220-30","","","","","","",
"255476943267","RVNI375","Furniture & Decor","","","RSI","","K-SC1220-50","","","","","","",
"265639525850","RVNI377","Furniture & Decor","","","RSI","","K-SC1225-30","","","","","","",
"265644484296","RVNI378","Furniture & Decor","","","RSI","","K-SC1225-50","","","","","","",
"265639563440","RVNI380","Furniture & Decor","","","RSI","","K-SC1230-30","","","","","","",
"265644577093","RVNI381","Furniture & Decor","","","RSI","","K-SC1230-50","","","","","","",
"265644528496","RVNI395","Furniture & Decor","","","RSI","","K-SC518-30","","","","","","",
"265644571232","RVNI396","Furniture & Decor","","","RSI","","K-SC518-50","","","","","","",
"255483918497","RVNI398","Furniture & Decor","","","RSI","","K-SC520-30","","","","","","",
"255483894993","RVNI399","Furniture & Decor","","","RSI","","K-SC520-50","","","","","","",
"255488707247","RVNI401","Furniture & Decor","","","RSI","","K-SC525-30","","","","","","",
"265639758839","RVNI402","Furniture & Decor","","","RSI","","K-SC525-50","","","","","","",
"265639535208","RVNI404","Furniture & Decor","","","RSI","","K-SC530-30","","","","","","",
"255488817931","RVNI405","Furniture & Decor","","","RSI","","K-SC530-50","","","","","","",
"265639691920","RVNI419","Furniture & Decor","","","RSI","","K-SC618-30","","","","","","",
"265639536980","RVNI420","Furniture & Decor","","","RSI","","K-SC618-50","","","","","","",
"265639651625","RVNI422","Furniture & Decor","","","RSI","","K-SC620-30","","","","","","",
"255483664804","RVNI423","Furniture & Decor","","","RSI","","K-SC620-50","","","","","","",
"265634304787","RVNI425","Furniture & Decor","","","RSI","","K-SC625-30","","","","","","",
"265639708581","RVNI426","Furniture & Decor","","","RSI","","K-SC625-50","","","","","","",
"255488711596","RVNI428","Furniture & Decor","","","RSI","","K-SC630-30","","","","","","",
"265639713038","RVNI429","Furniture & Decor","","","RSI","","K-SC630-50","","","","","","",
"265639524443","RVNI328","Furniture & Decor","","","RSI","","W-SC1210-50","","","","","","",
"265634279093","RVNI329","Furniture & Decor","","","RSI","","W-SC1212-50","","","","","","",
"255476982997","RVNI330","Furniture & Decor","","","RSI","","W-SC1215-50","","","","","","",
"265639746570","RVNI331","Furniture & Decor","","","RSI","","W-SC1218-50","","","","","","",
"265639629373","RVNI332","Furniture & Decor","","","RSI","","W-SC1220-50","","","","","","",
"265639807668","RVNI333","Furniture & Decor","","","RSI","","W-SC1225-50","","","","","","",
"265639663649","RVNI334","Furniture & Decor","","","RSI","","W-SC1230-50","","","","","","",
"265639647694","RVNI327","Furniture & Decor","","","RSI","","W-SC128-50","","","","","","",
"255483845518","RVNI318","Furniture & Decor","","","RSI","","W-SC612-50","","","","","","",
