Item Id,SKU,Power Source,Type,Water Type,Material,Theme,Set Includes,Brand,Mounting,Lining Material,Item Height,Color,Number of Items in Set,Shape,Waterfall Width,Water Fill Height,Item Depth,Style,Item Width,Liner Surface,Country/Region of Manufacture,Voltage,Finish,Maximum Head Lift,Features,Power,Item Weight,MPN,Model,Custom Bundle,California Prop 65 Warning,Bundle Description,Labels & Certifications,Manufacturer Warranty,Maximum Flow Rate,
"255483794414","TRDMR57926","","Furniture & Decor","","","","","Goyard","","","","","","","","","","","","","","","","","","","","50-0001-GYW","","","","","","","",
"255476952557","TRDMR57930","","Furniture & Decor","","","Lion","","Goyard","","","","","","","","","","","","","","","","","","","","50-0005-GYW","","","","","","","",
"255488761107","TRDMR57931","","Furniture & Decor","","Stone","","Waterfall","Goyard","","","","","","","","","","","","","","","","","","","","50-0006-GYW","","","","","","","",
"255483666864","JECO936","","Furniture & Decor","","","","","Jeco","","","","","","","","","","","","","","","","","","","","FCL048","","","","","","","",
"255483904086","JECO942","","Furniture & Decor","","","Bird","","Jeco","","","","","","","","","","","","","","","","","","","","FCL054","","","","","","","",
"255483720062","JECO943","","Furniture & Decor","","","","","Jeco","","","","","","","","","","","","","","","","","","","","FCL055","","","","","","","",
"265639529343","JECO945","","Furniture & Decor","","","Bird","","Jeco","","","","","","","","","","","","","","","","","","","","FCL057","","","","","","","",
"265644588348","JECO1541","","Furniture & Decor","","","","","Jeco","","","","","","","","","","","","","","","","","","","","FCL082","","","","","","","",
"255637873920","JECO2267","","Furniture & Decor","","Wood","","","Jeco","","","","","","","","","","","","","","","","","","","","FCL126","","","","","","","",
"255483886371","JECO2203","","Furniture & Decor","","","","","Jeco","","","","","","","","","","","","","","","","","","","","FCL104","","","","","","","",
"265634261871","JECO2206","","Furniture & Decor","","","","","Jeco","","","","","","","","","","","","","","","","","","","","FCL107","","","","","","","",
"255483802271","WNSMH1931","","Furniture & Decor","","","","","Luxen Home","","","","","","","","","","","","","","","","","","","","WHF905","","","","","","","",
"255488750234","WNSMH1924","","Furniture & Decor","","","","Pump","Luxen Home","","","","","","","","","","","","","","","","","","","","WHF834","","","","","","","",
"255753139324","WNSMH2242","","Furniture & Decor","","Resin","","Waterfall","LuxenHöme","","Resin","","Gray","","","","","","","","","","","","","","","","WHF1016","","","","","","","",
"265639559536","WNSMH2156","","Furniture & Decor","","","Garden","","LuxenHöme","","","","Gray","","","","","","Modern","","","","","","","","","","WHF1022","","","","","","","",
"255483712523","WNSMH1615","","Furniture & Decor","","Resin","","","Luxen Home","","Resin","","","","","","","","","","","","","","","","","","WHF723","","","","","","","",
"255483924166","ORE2791","","Furniture & Decor","","","","","Ore Furniture","","","","","","","","","","","","","","","","","","","","FT-1218","","","","","","","",
"265644518299","ORE362","","Furniture & Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","","","","","","","","K336","","","","","","","",
"255483831043","ORE452","","Furniture & Decor","","","","","ORE INTERNATIONAL","","","","","","","","","","","","","","","","","","","","K336","","","","","","","",
"265665261320","TRDMR57925","Corded","Outdoor Fountain","Fresh","Resin,Plastic","Garden","","Pure Garden","Freestanding","Plastic","23 in","Brown","1","","","","12.3 in","Modern","18.3 in","","","120 V","","","Weather Proof","","23.8 lb","50-0001","Cascade","","","","","","",
"255483970044","TRDMR52076","","Furniture & Decor","","","Garden","","Pure Garden","","","","","","","","","","","","","","","","","","","","50-0010","","","","","","","",
"265639785948","TRDMR327784","","Furniture & Decor","","","Garden","Waterfall","Pure Garden","","","","","","","","","","","","","","","","","","","","50-LG1215","","","","","","","",
"265634255470","TC50-0005","","Furniture & Decor","","","Garden","","Pure Garden","","","","","","","","","","","","","","","","","","","","50-0005","","","","","","","",
"265644594104","TC50-0006","Corded","Stone Fountain","Fresh,Pond","Resin,Stone","Garden","Waterfall","Pure Garden","Freestanding","Resin","19.4","Brown","1","Oval","","","19.4 in","Contemporary","7.50 in","","","120 V","Birch","","Weather Proof","","","500006","50-0006","","","","","","",
"255483928149","ZX9TRDMR327784","","Furniture & Decor","","","","","GrillGear","","","","","","","","","","","","","","","Painted","","","","","GR2046543","","","","","","","",
