Item Id,SKU,Brand,Type,Features,Installation Area,Number in Pack,Power Source,Lighting Technology,Smart Home Compatibility,Number of Speeds,Bulb Wattage,Control Style,Color,Material,Energy Star,Mounting,Bulb Shape Code,Current Type,Power Consumption,Connectors,Item Weight,Finish,Smart Home Protocol,Personalize,Voltage,Compatible Brand,Personalized,Year Manufactured,Assembly Required,IP Rating,Model,Item Width,Compatible Product,Country/Region of Manufacture,Item Height,Item Length,MPN,EC Range,California Prop 65 Warning,Custom Bundle,Bundle Description,Compatible Model,LED Chip Code,LED String/Strip Type,Labels & Certifications,Manufacturer Warranty,Theme,Personalization Instructions,
"265612015698","ZX9RTL95678","Lucent","Outdoor Lighting","","Outdoor","1","","","","1","","","Black","Glass","","","","","","","","","","","","","","","","","","","","","","","LU498004","","","","","","","","","","","",
"265612040147","ZX9ZLD10238","lighting","Outdoor Lighting","","Outdoor","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","LI949405","","","","","","","","","","","",
"265603621127","ZX9ZLD3539","Lucent","Outdoor Lighting","","Outdoor","11","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","LU592036","","","","","","","","","","","",
"255453128888","ZX9ZLD3540","Lucent","Outdoor Lighting","","Outdoor","11","","","","","","","","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","LU594978","","","","","","","","","","","",
"255444483311","ZX9ZLD3555","Lucent","Outdoor Lighting","","Outdoor","11","","","","","","","","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","LU704533","","","","","","","","","","","",
"265612042039","ZX9ZLD10252","lighting","Outdoor Lighting","","Outdoor","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","LI949314","","","","","","","","","","","",
"265603593670","ZX9ZLD10236","lighting","Outdoor Lighting","","Outdoor","3","","","","3","","","Black","","","","","","","","","","","","","","","","","","","","","","","","LI949313","","","","","","","","","","","",
"255444426260","ZX9ZLD10237","lighting","Outdoor Lighting","","Outdoor","3","","","","3","","","","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","LI949404","","","","","","","","","","","",
"265603476867","ZX9LIVEX1965","lighting","Outdoor Lighting","","Outdoor","3","","","","3","","","","Brass","","","","","","","","Brass","","","","","","","","","","","","","","","LI366581","","","","","","","","","","","",
"255453128190","ZX9LIVEX2337","lighting","Outdoor Lighting","","Outdoor","3","","","","3","","","","Pewter","","","","","","","","","","","","","","","","","","","","","","","LI367144","","","","","","","","","","","",
"265603573745","ZX9ZLD3161","Lucent","Outdoor Lighting","","Outdoor","17","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","","","","LU604676","","","","","","","","","","","",
"255444509688","ZX9ZLD3151","Lucent","Outdoor Lighting","","Outdoor","","","","","","","","","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","LU604875","","","","","","","","","","","",
"265603575516","ZX9ZLD3498","Lucent","Outdoor Lighting","","Outdoor","","","","","","","","","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","LU604683","","","","","","","","","","","",
"265603545927","ZX9PA263","BrilliantBulb","Outdoor Lighting","","","","","","","","","","Black","Bronze","","","","","","","","Bronze","","","","","","","","","","","","","","","BR451608","","","","","","","","","","","",
"265603484617","ZX9VXCL821","PerfectTwinkle","Outdoor Lighting","","Outdoor","","","","","","","","Black","","","","","","","","","Textured","","","","","","","","","","","","","","","PE584928","","","","","","","","","","","",
"255444505155","DBMRL9199","Dabmar Lighting","Outdoor Lighting","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D7000-LED16","","","","","","","","","","","",
"265600133219","DBMRL9200","Dabmar Lighting","Outdoor Lighting","","","13","","LED","","","","","Green","","","","","","","","","","","","","","","","","","","","","","","","D7000-LED16-VG","","","","","","","","","","","",
"255444461642","DBMRL9201","Dabmar Lighting","Outdoor Lighting","","","13","","LED","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","D7000-LED16-W","","","","","","","","","","","",
"255444423868","DBMRL9202","Dabmar Lighting","Outdoor Lighting","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D7016-LED16","","","","","","","","","","","",
"265603575926","DBMRL8724","Dabmar Lighting","Outdoor Lighting","","","16","","LED","","","","","Green","","","","","","","","","","","","","","","","","","","","","","","","D7016-LED16-VG","","","","","","","","","","","",
"255444497972","DBMRL8725","Dabmar Lighting","Outdoor Lighting","","","16","","LED","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","D7016-LED16-W","","","","","","","","","","","",
"255444535310","DBMRL9203","Dabmar Lighting","Outdoor Lighting","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D7018-LED30","","","","","","","","","","","",
"255444522899","DBMRL9204","Dabmar Lighting","Outdoor Lighting","","","18","","LED","","","","","Green","","","","","","","","","","","","","","","","","","","","","","","","D7018-LED30-VG","","","","","","","","","","","",
"265603601026","DBMRL9205","Dabmar Lighting","Outdoor Lighting","","","18","","LED","","","","","White","","","","","","","","","","","","","","","","","","","","","","","","D7018-LED30-W","","","","","","","","","","","",
"255444405702","DBMRL8979","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-13-B","","","","","","","","","","","",
"255440712495","DBMRL8980","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-13-VG","","","","","","","","","","","",
"255440702558","DBMRL8981","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-13-W","","","","","","","","","","","",
"255444526380","DBMRL8982","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-26-B","","","","","","","","","","","",
"265600135711","DBMRL8983","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-26-VG","","","","","","","","","","","",
"265603582904","DBMRL8984","Dabmar Lighting","Outdoor Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-26-W","","","","","","","","","","","",
"255444448043","DBMRL9166","Dabmar Lighting","Outdoor Lighting","","","","","Incandescent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-BZ","","","","","","","","","","","",
"265603647931","DBMRL9682","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-LED16-B","","","","","","","","","","","",
"255444409219","DBMRL9520","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-LED16-BZ","","","","","","","","","","","",
"265603619710","DBMRL9519","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-LED16-VG","","","","","","","","","","","",
"255444470552","DBMRL9518","Dabmar Lighting","Outdoor Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GM102-LED16-W","","","","","","","","","","","",
