Item Id,SKU,Brand,Type,Size,Style,Color,Fabric Type,Lining Material,Product Line,Theme,Outer Shell Material,Insulation Material,Model,Performance/Activity,Closure,Sleeve Length,Country/Region of Manufacture,Features,Character,Season,Character Family,Accents,Department,Fit,Pattern,Warmth Weight,Jacket/Coat Length,Collar Style,Occasion,Vintage,Personalize,MPN,Chest Size,Garment Care,Handmade,Year Manufactured,California Prop 65 Warning,Personalization Instructions,
"254706357308","301977","JERZEES","Jacket",,"Varsity Jacket","Gray","Fleece","100% Polyester","","Dance","100% Polyester","Polyester","","Baseball,Basketball,Cross Training,Cycling,Dance,Driving","Zip","Long Sleeve","","All Seasons,Pockets","Boys","Fall,Winter,Spring,Summer,","","","Unisex Kids","","","","Short","","Activewear,Casual,Travel","","","","","","","","","",
"254706357308","301980",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706357308","301979",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254706357308","301978",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254579490956","250403-3","Unbranded","Tube Face Masks Neck Gaiter","One Size","Bandana","Multi-Color","Blended Fabric","Polyester","","Biker","Polyester","Polyester","","","","","","All Seasons","Boy","Fall,Winter,Spring,Summer,","","","Unisex Kids","","","","","","Everyday","No","","","","","","","","",
"254580276981","250019-6","Unbranded","Tube Face Masks Neck Gaiter","One Size","Bandana","Multi-Color","Polyester","100% Cotton","","Colorful","100% Cotton","Polyester","","School","","","","","","Fall,Winter,Spring,Summer,","","","Unisex Kids","","Paisley","","","","Everyday","","","","","","","","","",
"254585563893","250403-8","Unbranded","Tube Mask","One Size","Bandana","Multi-Color","Tube Face Masks Neck Gaiter","100% Polyester","","Biker","Polyester","Polyester","","","","","","All Seasons","","Fall,Winter,Spring,Summer,","","","Women","","","","","","Everyday","No","","","","","","","","",
"265314701063","301977","Unbranded","Jacket",,"Varsity Jacket","Gray","Fleece","Cotton","","Dance","100% Polyester","Polyester","","Baseball,Basketball,Cross Training,Cycling,Dance,Driving","Zip","Long Sleeve","","All Seasons,Pockets","Boys","Fall,Winter,Spring,Summer,","","","Unisex Kids","","","","Short","","Activewear,Casual,Travel","","","","","","","","","",
"265314701063","301980",,,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314701063","301979",,,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265314701063","301978",,,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
