Item Id,SKU,Size,Brand,Size Type,Style,Type,Color,Leg Style,Material,Fabric Type,Features,Department,Closure,Theme,Accents,Pattern,Fit,Occasion,Inseam,Model,Rise,Front Type,Season,Waist Size,Personalize,Country/Region of Manufacture,Vintage,Handmade,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"254768238334","304931",,"Unbranded","Regular","Lounge Pants","Lounge Pants","Dark Burgundy","Wide-Leg","Polyester","Polyester Blend","Adjustable Waist,Elastic Waist,Pockets","Women","Drawstring","Loungewear","wide leg","Solid","Relaxed","Business,Casual,Formal,Party/Cocktail,Travel,Wedding","Variants","","Mid	(8.5 - 10.5 in)","Pleated","all season","Variants","","","No","","","","Women's-Lounge-Pants","",
"254768238334","304935","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768238334","304934","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768238334","304933","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254768238334","304932","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264942621633","304862",,"Unbranded","Regular","Skinny Leather Pants","Pants","Black","Skinny","Leather","Faux Leather","Adjustable Waist,Stretch","Women","Pull On","clubwear","Faux Leather","Solid","Slim","Casual,Party/Cocktail,Travel,Wedding","variable","","Mid (8.5-10.5 in)","","","variable","","","No","","","","","",
"264942621633","304866","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264942621633","304865","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264942621633","304864","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264942621633","304863","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264997768235","307151",,"High Waisted Lounge Pants","Regular","Lounge Pants Joggers","Pants","Blue","Tapered","Polyester Blend","Rayon","smocked waist","Women","Elastic","Tummy Control","High Waisted Lounge Pants","Solid","Relaxed","Casual,Travel,Workwear","Variable","","Mid	(8.5 - 10.5 in)","Pleated","All Seasons","Variable","","","No","","","","high-waisted-lounge-pants","",
"264997768235","307152","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264997768235","307153","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264997768235","307154","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264997768235","307155","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
