Item Id,SKU,Connector A,Type,Connector B,Brand,Cable Length,Features,Connection Split/Duplication,Color,Country/Region of Manufacture,Compatible Model,Compatible Brand,Output Voltage,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"264161283023","111001","","Does Not Apply","DB25","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093319386","113426","Parallel (IEEE 1284) Male","Parallel Port Connector","DB25","Generic","7 in","","","Gray","","Universal","Universal","","Does Not Apply","","","","","","","",
"254093319480","113428","","Connector","DB25","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161289051","112909","","Connector","DB25","Generic","","","","","","","","","25-Pin-Serial-port-on-an-extension-brac","","","","","","","",
"254093298422","108084","F Female","Gender Changer","F Male","Generic","","","","","","","","","External-Serial-Gender-Changer-Female-t","","","","","","","",
"254093294293","107222","PS/2","Cable","PS/2 Male","Generic","","","","","","","","","to-5-Pin-Din-AT-Female","","","","","","","",
"254093294356","107225","PS/2","Extension Cable","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093293763","107127","","Cable","","Generic","","","","","","","","","9-pin-Serial-Port-Adapter","","","","","","","",
"254093317093","112358","","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161287184","112298","","Adapter","DB25","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161262118","107125","","Cable","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254390494862","125516","USB","Adapter","","Tripp Lite","","","","","","","","","U209-000-R","","","","","","","",
