Item Id,SKU,Fuel Type,Indoor/Outdoor,Brand,Items included,Mounting,Type,Shape,Material,BTU Heating Rating,Color,Item Height,Features,Size,Finish,Assembly Required,Heat Range Diameter,Power,Model,Country/Region of Manufacture,Year Manufactured,Style,MPN,Item Weight,Item Width,Custom Bundle,California Prop 65 Warning,Bundle Description,Item Depth,Manufacturer Warranty,Required Tools,Voltage,
"255483950720","ZX9ALMO9333","Propane","","Veranda","","","Patio Heaters","Pyramid","","","Black","","","","","","","","","","","","VE159129","","","","","","","","","",
"255844712411","ZX9AZPOH033","","","GardenControl","","","Patio Heaters","","","","Silver","","","","","","","","","","","","GA40314","","","","","","","","","",
"265639651896","CGP1394198","Electric","Outdoor","Bromic","","","Patio Heaters","","","","Black","","","","","","","","","","","","BH0610003","","","","","","","","","",
"265699345951","CUIC542","Gas","","Bromic","","","Patio Heaters","","","","","","","","","","","","","","","","BH3030011","","","","","","","","","",
"255483700018","CUIC547","","","Bromic","","Ceiling","Patio Heaters","","","","","","","","","","","","","","","","BH3130017","","","","","","","","","",
"255863607639","ZX9AZPOH036","","","GardenControl","","","Patio Heaters","","Stainless Steel","","","","","","","","","","","","","","GA193453","","","","","","","","","",
"265634301709","DRHT1079","","","Dr. Heater USA","","","Patio Heaters","","","","Black","","","","","","","","","","","","DR-238","","","","","","","","","",
"265711252223","SSCH026","","","Esschert Design USA","","","Patio Heaters","","Metal","","Black","","","","","","","","","","","","FF122","","","","","","","","","",
"265644548741","ZX9BFFT3595","","","GrillsGoneWild","","","Patio Heaters","","Steel","","","","","","","","","","","","","","GR1691748","","","","","","","","","",
"265639715729","TRVAL71110","","Outdoor","Four Seasons","","","Patio Heaters","","","","","","","","","","","","","","","","143739","","","","","","","","","",
"265639709889","MYRD1952664","","","GHP Group","","","Patio Heaters","","","","","","","","Bronze","","","","","","","","DGLDGPH201BR","","","","","","","","","",
"255488830803","MYRD1952665","","","GHP Group","","","Patio Heaters","","Stainless Steel","","","","","","","","","","","","","","DGLDGPH202SS","","","","","","","","","",
"265639690678","ALMO12248","Propane","","Hanover","","","Patio Heaters","","Steel","","Black","","","","","","","","","","","","HAN004BLK","","","","","","","","","",
"255488649031","ALMO9330","Propane","Outdoor","Hanover Outdoor","","","Patio Heaters","","Steel","","","","","","","","","","","","","","HAN001BR","","","","","","","","","",
"255483823282","ALMO9332","Propane","Outdoor","Hanover Outdoor","","","Patio Heaters","","Steel","","","","","","","","","","","","","","HAN003SS","","","","","","","","","",
"255483880448","ALMO9333","Propane","Outdoor","Hanover Outdoor","","","Patio Heaters","Pyramid","","","","","","","","","","","","","","","HAN101BLK","","","","","","","","","",
"255483816463","ORSNO193028","Propane","","Heat Star","","","Patio Heaters","","","","","","","","","","","","","","","","373-HS200CVX","","","","","","","","","",
"255488697849","ACHR152199","Propane","","Living Accents","","Standing","Patio Heaters","","Stainless Steel","","","","","","","","","","","","","","4794079","","","","","","","","","",
"265634293143","PMST007","Electric","","Permasteel","","","Patio Heaters","","Stainless Steel","","","","","","","","","","","","","","PH-90202-SS","","","","","","","","","",
"255483869472","TRVAL115527","","Outdoor","Shinerich","","","Patio Heaters","","Stainless Steel","","","","","","","","","","","","","","242541","","","","","","","","","",
"265644485990","JNSN94198","Propane","","Shinerich","","","Patio Heaters","","Stainless Steel","","","","","","","","","","","","","","SRPH34","","","","","","","","","",
"255476912993","BFFT3595","","","Sportsman Series","","","Patio Heaters","","Steel","","","","","","","","","","","","","","FCAGE3520","","","","","","","","","",
"265644642735","NQBR1121","","Outdoor","Upland","","","Patio Heaters","Mushroom","","","","","","","","","","","","","","","UJN-IO07-HB","","","","","","","","","",
"255488692300","NQBR1122","","Outdoor","Upland","","","Patio Heaters","Mushroom","","","","","","","","","","","","","","","UJN-SN02-SS","","","","","","","","","",
"255483908390","JNSN47637","","","World Marketing","","","Patio Heaters","","","","","","","","","","","","","","","","DFA-45/50","","","","","","","","","",
"265639591711","JNSN47870","","","World Marketing","","","Patio Heaters","","","","","","","","","","","","","","","","DFA-70/75","","","","","","","","","",
