Item Id,SKU,Type,Year,Modified Item,Modification Description,Signed,California Prop 65 Warning,Country/Region of Manufacture,Organization,
"265731555049","SWTM23299","NHL Shop","","","","","","","",
"255576734674","SWTM23310","NHL Shop","","","","","","","",
"255576774998","SWTM25176","NHL Shop","","","","","","","",
"255576751181","SWTM26232","NBA Shop","","","","","","","",
"255576751779","SWTM26233","NBA Shop","","","","","","","",
"265731538390","SWTM26235","NBA Shop","","","","","","","",
"265731546582","SWTM25330","Major League Baseball Shop","","","","","","","",
"255576759049","SWTM25395","Major League Baseball Shop","","","","","","","",
"265731545065","SWTM20130","NHL Shop","","","","","","","",
"265731539813","SWTM25559","NBA Shop","","","","","","","",
"265731538551","SWTM25564","NBA Shop","","","","","","","",
"255576748210","SWTM25637","NBA Shop","","","","","","","",
"255576760788","SWTM26270","NBA Shop","","","","","","","",
"255576750620","SWTM25642","NBA Shop","","","","","","","",
"255576733997","SWTM26932","Major League Baseball Shop","","","","","","","",
"265731556391","SWTM26959","Major League Baseball Shop","","","","","","","",
