Item Id,SKU,Brand,MPN,Personalize,Custom Bundle,Bundle Description,Modified Item,Modification Description,Country/Region of Manufacture,California Prop 65 Warning,Personalization Instructions,
"255539174470","ZX9WYBN1118","Micasa","MI603807","","","","","","","","",
"265883894166","ZX9OCNTR13175","PalaceDesigns","PA1836668","","","","","","","","",
"265884171857","ZX9OCNTR12866","PalaceDesigns","PA2111755","","","","","","","","",
"255728723303","ZX9OCNTR12867","PalaceDesigns","PA1879475","","","","","","","","",
"255437764026","BTDR4160","Betsy Drake","SN13215B","","","","","","","","",
"265897128500","ZX9OCNTR28032","PalaceDesigns","PA2627143","","","","","","","","",
"255728713697","ZX9OCNTR22003","Homeric","HO2476017","","","","","","","","",
"255728787974","OCNTR22003","Home Roots Beddings","326001","","","","","","","","",
"255737931863","OCNTR23429","Home Roots Beddings","326015","","","","","","","","",
"265897092110","OCNTR23435","Home Roots Beddings","326021","","","","","","","","",
"265883823694","OCNTR23436","Home Roots Beddings","326022","","","","","","","","",
"255725172472","OCNTR23441","Home Roots Beddings","326028","","","","","","","","",
"265897238274","OCNTR24257","Home Roots Beddings","327685","","","","","","","","",
"265887745811","OCNTR24262","Home Roots Beddings","327690","","","","","","","","",
"265887715450","OCNTR24263","Home Roots Beddings","327691","","","","","","","","",
"265887717924","OCNTR12866","HomeRoots","316845","","","","","","","","",
"265896942146","OCNTR12867","HomeRoots","316846","","","","","","","","",
"265887519643","OCNTR13163","HomeRoots","316854","","","","","","","","",
"265896924900","OCNTR13164","HomeRoots","316855","","","","","","","","",
"255724984190","OCNTR13175","HomeRoots","316866","","","","","","","","",
"255728739849","OCNTR13180","HomeRoots","316871","","","","","","","","",
"265897090059","OCNTR27819","HomeRoots","334381","","","","","","","","",
"265897084322","OCNTR27828","HomeRoots","334384","","","","","","","","",
"265887511035","OCNTR28017","HomeRoots","334387","","","","","","","","",
"255728846441","OCNTR51363","HomeRoots","386273","","","","","","","","",
"255728600068","OCNTR52479","HomeRoots","400900","","","","","","","","",
"255737731830","OCNTR52493","HomeRoots","400914","","","","","","","","",
"265897215436","OCNTR52494","HomeRoots","400915","","","","","","","","",
"255528869895","TRVAL127502","J & J Global","270521","","","","","","","","",
"255539147868","TRVAL127503","J & J Global","270522","","","","","","","","",
"255513097823","TRVAL127504","J & J Global","270523","","","","","","","","",
"265684671619","TRVAL127505","J & J Global","270524","","","","","","","","",
"255724930929","ZX9OCNTR24257","Homeric","HO2479143","","","","","","","","",
"255528952549","MJHG9684","Majestic Home","85907226087","","","","","","Aruba","","",
"265679949813","MJHG9961","Majestic Home","85907250037","","","","","","","","",
"265680168219","MJHG9967","Majestic Home","85907250043","","","","","","","","",
"255489120555","MJHG9968","Majestic Home","85907250044","","","","","","","","",
"255524008345","MJHG9969","Majestic Home","85907250045","","","","","","","","",
"255541681888","MJHG9970","Majestic Home","85907250046","","","","","","","","",
"255539082481","MJHG9971","Majestic Home","85907250047","","","","","","","","",
"265669072280","MJHG9976","Majestic Home","85907250059","","","","","","","","",
"255524267908","MJHG9977","Majestic Home","85907250060","","","","","","","","",
"255541673842","MJHG9978","Majestic Home","85907250061","","","","","","","","",
"265665537419","MJHG9981","Majestic Home","85907250064","","","","","","","","",
"265674035103","MJHG9982","Majestic Home","85907250066","","","","","","","","",
"255725154974","MJHG234","Majestic Home","859072660076","","","","","","","","",
"255725034045","MJHG185","Majestic Home","859072660021","","","","","","","","",
"255728788520","MJHG197","Majestic Home","859072660038","","","","","","","","",
"255728635833","MJHG493","Majestic Home","859072660304","","","","","","","","",
"265887537919","MJHG517","Majestic Home","859072660335","","","","","","","","",
"255728944382","MJHG469","Majestic Home","859072660274","","","","","","","","",
"255737665066","MJHG421","Majestic Home","859072660236","","","","","","","","",
"255725275406","MJHG505","Majestic Home","859072660311","","","","","","","","",
"255737959909","MJHG481","Majestic Home","859072660298","","","","","","","","",
"265887754230","MJHG457","Majestic Home","859072660267","","","","","","","","",
"255728558246","MJHG445","Majestic Home","859072660250","","","","","","","","",
"265897216331","MSHMCL1208","Moes Home Collection","XU-1005-05","","","","","","","","",
"265887624454","MSHMCL1209","Moes Home Collection","XU-1005-24","","","","","","","","",
"265896922925","MSHMCL1210","Moes Home Collection","XU-1005-29","","","","","","","","",
"265896912302","MSHMCL1536","Moes Home Collection","XU-1006-45","","","","","","","","",
"265887524819","MSHMCL6239","Moes Home Collection","XU-1008-02","","","","","","","","",
"265896955290","ZX9SR5169","Homeric","HO2658196","","","","","","","","",
"255724915688","ZX9SR5164","Homeric","HO2658195","","","","","","","","",
"265668988269","SR5164","SARO Lifestyle","193.BK30SD","","","","","","","","",
"265644848783","SR5165","SARO Lifestyle","193.BK30SP","","","","","","","","",
"255488864477","SR5166","SARO Lifestyle","194.BK30SD","","","","","","","","",
"255539064472","SR5167","SARO Lifestyle","194.BK30SP","","","","","","","","",
"265669065284","SR5168","SARO Lifestyle","195.N30SD","","","","","","","","",
"255534599832","SR5169","SARO Lifestyle","195.N30SP","","","","","","","","",
"265706917712","SYRA152429","Surya","BAA001-2020","","","","","","","","",
"265706852242","SYRA152438","Surya","BAA004-2020","","","","","","","","",
"265706917445","SYRA158960","Surya","NBI007-2222D","","","","","","","","",
"265690524232","WYBN1118","WaybornHomeFurnishings","2302X","","","","","","","","",
"265644653266","WYBN1138","WaybornHomeFurnishings","4815W","","","","","","","","",
