Item Id,SKU,Type,Brand,Format,Calendar Year,Size,Material,Personalize,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,Personalization Instructions,
"265735887202","ZX9SPRCH89428","Office Accessories","Pen2Paper","","","","Leather","","PE1894949","","","","","","","","",
"265735753331","SPRCH89428","Office Accessories","At-A-Glance","","","","Leather","","038054005","","","","","","","","",
"265735859044","ZX9AZBOOR1602123F","Office Accessories","Nine2Five","","","","","","NI706623","","","","","","","","",
"255581203590","ZX9AZBOOR9-500-R","Office Accessories","Nine2Five","","","","","","NI719547","","","","","","","","",
"255437753283","SPRCH13942","Office Accessories","Dome Publishing Company Inc","Monthly","","","","","DOM612","","","","","","","","",
"265619662176","SPRCH13942","Office Accessories","Dome Publishing Company Inc","Monthly","","","","","DOM612","","","","","","","","",
"255437768520","HSODL160","Office Accessories","House Of Doolittle","","","","","","HOD5226","","","","","","","","",
"265735601670","ZX9AZWILS0396-11","Office Accessories","Tosafos","","","","","","TO731544","","","","","","","","",
"265735816814","PIEL416","Office Accessories","Piel","","","","","","2363-CHC","","","","","","","","",
"265735858970","PIEL427","Office Accessories","Piel","","","Pocket","","","2474-BLK","","","","","","","","",
"265735605433","PIEL446","Office Accessories","Piel","","","","Leather","","2565-BLK","","","","","","","","",
"265735926902","PIEL462","Office Accessories","Piel","","","","","","7603-CHC","","","","","","","","",
"265735743439","PIEL465","Office Accessories","Piel","","","","","","7629-CHC","","","","","","","","",
"265735713715","PIEL1405","Office Accessories","Piel Leather","","","","Leather","","2557","","","","","","","","",
"265735738017","PIEL1407","Office Accessories","Piel Leather","","","","Leather","","2565","","","","","","","","",
"265735617449","PIEL1399","Office Accessories","Piel Leather","","","","Leather","","7629","","","","","","","","",
"255580957369","AZWILS0396-11","Office Accessories","Wilson Jones","","","","","","0396-11","","","","","","","","",
