Item Id,SKU,Compatible Plant Type,Type,Material,Number in Pack,Brand,Color,Country/Region of Manufacture,Indoor/Outdoor,Features,Item Height,Item Width,Item Length,Suitable For,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Thickness,Item Weight,Shape,Weight Capacity,
"255488694985","ZX9GLSWRE090","","Lawn & Landscaping","","12","LAWNITATOR","","","","","","","","","LA23677","","","","","","","",
"255483889652","ZX9CDIS050","","Lawn & Landscaping","","","GardenControl","","","","","","","","","GA1520640","","","","","","","",
"255464905372","ZX9ACHR121974","","Lawn & Landscaping","","12","Heatwave","Green","","","","","","","","HE612095","","","","","","","",
"265623529654","ACHR121974","","Lawn & Landscaping","","12","Bond","Green","","","","","","","","7499676","","","","","","","",
"255488791748","CDIS042","","Lawn & Landscaping","","","Creative Display","","","","","","","","","Rack 071FB","","","","","","","",
"265639667020","CDIS049","","Lawn & Landscaping","","","Creative Display","","","","","","","","","Rack 1056","","","","","","","",
"255483798274","CDIS050","","Lawn & Landscaping","","","Creative Display","","","","","","","","","Rack 106-8FB","","","","","","","",
"265644584315","CDIS051","","Lawn & Landscaping","","","Creative Display","","","","","","","","","Rack 106FB","","","","","","","",
"255483761278","CDIS045","","Lawn & Landscaping","","","Creative Display","","","","","","","","","Rack-102-8WM","","","","","","","",
"255483854524","CDIS072","","Lawn & Landscaping","","8","Creative Display","","","","","","","","","Tray 4949","","","","","","","",
"265634318048","CDIS074","","Lawn & Landscaping","","7","Creative Display","","","","","","","","","Tray 6262","","","","","","","",
"255483744813","CDIS016","","Lawn & Landscaping","","","Creative Displays","","","","","","","","","071FB","","","","","","","",
"265639511905","CDIS017","","Lawn & Landscaping","","","Creative Displays","","","","","","","","","072W","","","","","","","",
"255483798701","CDIS020","","Lawn & Landscaping","","","Creative Displays","","","","","","","","","102WM","","","","","","","",
"255476970740","CDIS004","","Lawn & Landscaping","","","Creative Displays","","","","","","","","","1056","","","","","","","",
"255476931503","CDIS106","","Lawn & Landscaping","","2","Creative Displays","","","","","","","","","118WM","","","","","","","",
"265639719381","CDIS009","","Lawn & Landscaping","","","Creative Displays","","","","","","","","","4619","","","","","","","",
"255483788178","TRVAL125835","","Lawn & Landscaping","","","Exhart Environmental Systems","","","","","","","","","262560","","","","","","","",
"265639509268","GLSWRE090","","Lawn & Landscaping","","12","Glamos Wire","","","","","","","","","730009","","","","","","","",
"255483928493","GRNM007","","Lawn & Landscaping","","","Gronomics","","","","","","","","","MTK 48-80","","","","","","","",
"265639644740","GRNM053","","Lawn & Landscaping","","","Gronomics","","","","","","","","","TK 48-80","","","","","","","",
"255488656948","GRNM055","","Lawn & Landscaping","","","Gronomics","","","","","","","","","TK 95-80","","","","","","","",
"255464875503","TRVAL123895","Tomato","Lawn & Landscaping","","","Panacea Products","","","","","","","","","183138","","","","","","","",
"265639505366","TRVAL123900","Tomato","Lawn & Landscaping","","","Panacea Products","Red","","","","","","","","244182","","","","","","","",
"265639791425","TRVAL123902","Tomato","Lawn & Landscaping","","","Panacea Products","Black","","","","","","","","244184","","","","","","","",
"255483925126","TRVAL123899","Tomato","Lawn & Landscaping","","10","Panacea Products","Red","","","","","","","","259441","","","","","","","",
"255483862603","ZX9ZNPT1338","","Lawn & Landscaping","","10","GardenCare","","","","","","","","","GA2073451","","","","","","","",
"265644501330","ZX9TRVAL123899","Tomato","Lawn & Landscaping","","10","OpenSkies","Red","","","","","","","","OP1632970","","","","","","","",
"265639690263","ZNPT1338","","Lawn & Landscaping","","","Zenport Industries","","","","","","","","","P309-10PK","","","","","","","",
