Item Id,SKU,Type,Style,Theme,Material,Shape,Subject,Brand,Pattern,Room,Features,Personalize,Additional Parts Required,Mounting,Color,Engraved,Character,Vintage,Finish,Character Family,Handmade,Country/Region of Manufacture,Size,Orientation,Department,Item Height,Item Width,Item Length,Battery Type,MPN,Model,Customized,Custom Bundle,Personalization Instructions,Item Weight,Care Instructions,Bundle Description,California Prop 65 Warning,
"255513495914","DIYI268","Decor","","","","","","DIY Industries","","","","","","","White","","","","","","","","","","","","","","","15-1905-2448-601","","","","","","","","",
"265698005192","AZRDBL481423","Decor","","","","","","Durable","","","","","","","","","","","","","","","","","","","","","","481423","","","","","","","","",
"255737959556","ZX9AZRDBL481423","Decor","","","","","","Esteras Tikar","","","","","","","","","","","","","","","","","","","","","","ES2524474","","","","","","","","",
"265669433007","IWD8246","Decor","","","Cast Iron","","","IWGAC","","","","","","","","","","","Rust","","","","Small","","","","","","","0170J-01205Bulk","","","","","","","","",
"265684868628","AZRQRT3655","Decor","","","","","","Quartet","","","","","","","","","","","","","","","","","","","","","","3655","","","","","","","","",
"265668932998","AZRQRTAF32","Decor","","","Aluminum","","","Quartet","","","","","","","","","","","","","","","","","","","","","","AF32","","","","","","","","",
"255509970703","AZRQRTLCF2418","Decor","","","Aluminum","","","Quartet","","","","","","","","","","","","","","","","","","","","","","LCF2418","","","","","","","","",
"255534716601","TRVAL129628","Decor","","","","","","SIFFRON","","","","","","","","","","","","","","","","","","","","","","100611","","","","","","","","",
"255489092513","ZX9IWD8246","Decor","","","Cast Iron","","","Esteras Tikar","","","","","","","","","","","Rust","","","","Small","","","","","","","ES2136004","","","","","","","","",
"265896998168","SSN74543","Decor","","","","","","Tabbies","","","","","","","","","","","","","","","","","","","","","","29163","","","","","","","","",
