Item Id,SKU,Size,Brand,Type,Size Type,Performance/Activity,Color,Product Line,Fabric Wash,Sleeve Length,Fit,Theme,Department,Material,Character,Fabric Type,Pattern,Model,Accents,Features,Country/Region of Manufacture,Closure,Season,Neckline,Occasion,Vintage,Collar Style,Graphic Print,Personalize,Handmade,Garment Care,Chest Size,Shirt Length,MPN,California Prop 65 Warning,Personalization Instructions,
"265512781113","297869",,"Gildan","Polo","Big & Tall","Baseball,Basketball,Cycling,Driving,Golf",,"Gildan Dryblend","","Short Sleeve","Regular","Sports","Men","Cotton Blend","Sports Shirts","Blended Fabric","Solid","DryBlend","collared,Polo Shirts","Half Sleeve,Buttoned,Polo Shirts","","","Fall,Spring,Summer,Winter","Collared","Activewear,Business,Casual,Formal,Travel,Workwear","","","","","","","","","","","",
"265512781113","","4XL",,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265512781113","","5XL",,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265512781113","","4XL",,,,,"Navy Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265512781113","","5XL",,,,,"Navy Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265512781113","","4XL",,,,,"Maroon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265512781113","","5XL",,,,,"Maroon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307543",,"Unbranded","Polo","Regular","Formal",,"Polo Shirt","Light","Short Sleeve","Regular","Formal T-Shirt,Dress Shirt,Casual office wear,Sports,golf","Men","Cotton","Shirt for Men,Polo Shirt,Sports Shirt,golf shirt","Knit","Stripes","Collared Polo Shirt with Buttons","collar","All Seasons","Pakistan","Button","Fall,Spring,Summer,Winter","Collared","Activewear,Business,Casual,Christening,Formal,Party/Cocktail,Travel,Workwear","Yes","Button-Down","No","No","No","Machine Washable","","","","","",
"255019589683","307544","S",,,,,"Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307545","M",,,,,"Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307546","L",,,,,"Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307547","XL",,,,,"Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307549","S",,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307550","M",,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307551","L",,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307552","XL",,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307554","S",,,,,"Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307555","M",,,,,"Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307556","L",,,,,"Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307557","XL",,,,,"Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307559","S",,,,,"Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307560","M",,,,,"Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307561","L",,,,,"Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307562","XL",,,,,"Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307564","S",,,,,"Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307565","M",,,,,"Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307566","L",,,,,"Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307567","XL",,,,,"Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307569","S",,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307570","M",,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307571","L",,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255019589683","307572","XL",,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
