Item Id,SKU,Type,Manufacturer,Lighting Technology,Brand,Product Line,Voltage,Suitable For,Color,Control Style,Light Color,Power Source,Bulb Shape Code,Energy Star,Mounting,Material,Amperage,IP Rating,Power Consumption,Item Height,Item Width,Lumens,Item Diameter,Item Length,Country/Region of Manufacture,Smart Home Protocol,LED Chip Code,MPN,Model,EC Range,Custom Bundle,Bundle Description,Assembly Required,Bulb Life Hours,California Prop 65 Warning,Color Temperature,LED String/Strip Type,Labels & Certifications,Manufacturer Warranty,Required Tools,Smart Home Compatibility,
"255464831063","ZX9SPPRT14003","Outdoors","","","Bufonadas","","","","","","","","E10","","","","","","","","","","","","","","","BU1876678","","","","","","","","","","","","","",
"255464831816","ZX9SPPRT14011","Outdoors","","","SlugFest Supplies","","","","","","","","","","","","","","","","","","","","","","","SL1612836","","","","","","","","","","","","","",
"255464809047","ZX9PLFX4437","Outdoors","","","Go-for-Gold","","","","Black","","Black","","","","","","","","","","","","","","","","","GO1842048","","","","","","","","","","","","","",
"255464809524","ZX9CNDRL4986","Outdoors","","","GameOver","","230 V","","","","","","","","","","","","","","","","","","","","","GA985291","","","","","","","","","","","","","",
"255464811966","ZX9SPPRT15312","Outdoors","","","FastTackle","","","","","","","","","","","","","","","","","","","","","","","FA1894832","","","","","","","","","","","","","",
"255464831965","ZX9BAQP49053","Outdoors","","","SlugFest Supplies","","","","White","","White","","","","","","","","","","","","","","","","","SL974017","","","","","","","","","","","","","",
"265623463719","ZX9PLMT1151","Outdoors","","","Auto USA","","","","","","","","","","","","","","","","","","","","","","","AU1118634","","","","","","","","","","","","","",
"265623457978","ZX9PLMT1115","Outdoors","","","Auto USA","","","","","","","","","","","","","","","","","","","","","","","AU2145326","","","","","","","","","","","","","",
"255464845049","SPPRT13685","Outdoors","","LED","ACC","","","","","","","","","","","","","","","","","","","","","","","220-LX1000","","","","","","","","","","","","","",
"255464855039","SPPRT13918","Outdoors","","","ACC","","","","","","","","","","","","","","","","","","","","","","","KP-2105","","","","","","","","","","","","","",
"255464834882","BAQP43196","Outdoors","","","Advtis","","","","","","","","","","","","","","","","","","","","","","","LTHQ","","","","","","","","","","","","","",
"255464812208","BAQP43200","Outdoors","","","Advtis","","","","","","","","","","","","","","","","","","","","","","","LTO","","","","","","","","","","","","","",
"265623483728","BAQP43204","Outdoors","","","Advtis","","","","","","","","","","","","","","","","","","","","","","","LTPHB","","","","","","","","","","","","","",
"255464814612","BAQP126262","Outdoors","","","Air Supply of The Future","","","","","","","","","","","","","","","","","","","","","","","AS6310241","","","","","","","","","","","","","",
"255437780581","BAYST2263","Outdoors","","","APC","","","","","","","","","","","","","","","","","","","","","","","APCO2119","","","","","","","","","","","","","",
"255464841928","SPPRT11752","Outdoors","","","Balboa","","","","","","","","","","","","","","","","","","","","","","","52797","","","","","","","","","","","","","",
"255464857418","BAQP54260","Outdoors","","","Baystate","","","","Green","","Green","","","","","","","","","","","","","","","","","DIS2927","","","","","","","","","","","","","",
"255464847875","BAQP54681","Outdoors","","","Baystate","","","","","","","","","","","","","","","","","","","","","","","NC03215","","","","","","","","","","","","","",
"255464809752","BAQP54628","Outdoors","","","Baystate","","","","Clear","","Clear","","","","","","","","","","","","","","","","","DIS2927","","","","","","","","","","","","","",
"265623445219","BAQP54669","Outdoors","","","Baystate","","","","","","","","","","","","","","","","","","","","","","","NC03722","","","","","","","","","","","","","",
"265623469941","BAQP54643","Outdoors","","","Baystate","","","","","","","","","","","","","","","","","","","","","","","NC05131","","","","","","","","","","","","","",
"265623463331","BAQP54500","Outdoors","","","Baystate","","","","","","","","","","","","","","","","","","","","","","","NC05235","","","","","","","","","","","","","",
"265623474259","BAQP54673","Outdoors","","","Baystate","","","","","","","","","","","","","","","","","","","","","","","NC07511","","","","","","","","","","","","","",
"265623481467","BAQP56129","Outdoors","","","Baystate","","","","","","","","","","","","","","","","","","","","","","","W28145EACH","","","","","","","","","","","","","",
"255464855975","BAQP134298","Outdoors","","","Biolab","","","","","","","","","","","","","","","","","","","","","","","NC14223","","","","","","","","","","","","","",
"255464857930","BAQP134632","Outdoors","","","Biolab","","","","","","","","","","","","","","","","","","","","","","","NC14229","","","","","","","","","","","","","",
"265623458049","JTLNSR1913","Outdoors","","","Blue-White Industries","","","","","","","","","","","PVC","","","","","","","","","","","","F30600P","","","","","","","","","","","","","",
"265623479010","CNDRL4986","Outdoors","","","Bluffton Motor Works","","230 V","","","","","","","","","","","","","","","","","","","","","B1247","","","","","","","","","","","","","",
"255464849009","BAQP134878","Outdoors","","","Cardinal Systems","","","","","","","","","","","","","","","","","","","","","","","CRDG2RAD4","","","","","","","","","","","","","",
"255464848116","BAQP42868","Outdoors","","","Century","","","","","","","","","","","","","","","","","","","","","","","SQ1072","","","","","","","","","","","","","",
"255464841730","ZX9BAYST15981","Outdoors","","","PerfectPitch","","","","","","","","","","","","","","","","","","","","","","","PE1508156","","","","","","","","","","","","","",
"255464801714","BAYST15981","Outdoors","","","CHAMPLAIN PLASTICS Inc","","","","","","","","","","","","","","","","","","","","","","","R0357900","","","","","","","","","","","","","",
"255464806310","CNDRL10593","Outdoors","","","Cinderella","","","","","","","","","","","Vinyl","","","","","","","","","","","","CPBL120CS","","","","","","","","","","","","","",
"265623461894","SPPRT1403","Outdoors","","","Custom Molded Products","","","","Gold","","Gold","","","","","","","","","","","","","","","","","58328-000-000","","","","","","","","","","","","","",
"265623478923","PLMT027","Outdoors","","","Poolmats","","","","","","","","","","","","","","","","","","","","","","","67B00-00045","","","","","","","","","","","","","",
"265623448790","SPPRT3781","Outdoors","","","Dimension One Spa","","","","","","","","","","","","","","","","","","","","","","","01781-16-A","","","","","","","","","","","","","",
"265623481954","EZP10851","Outdoors","","","E-Z Patch","","","","","","","","","","","","","","","","","","","","","","","EZP-1261","","","","","","","","","","","","","",
"255464830616","EZP10856","Outdoors","","","E-Z Patch","","","","","","","","","","","","","","","","","","","","","","","EZP-1265","","","","","","","","","","","","","",
"265623477664","EZP10852","Outdoors","","","E-Z Patch","","","","Green","","Green","","","","","","","","","","","","","","","","","EZP-1269","","","","","","","","","","","","","",
"255464817706","EZP10858","Outdoors","","","E-Z Patch","","","","","","","","","","","","","","","","","","","","","","","EZP-1281","","","","","","","","","","","","","",
"265597107377","EZP528","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-015","","","","","","","","","","","","","",
"255464832511","EZP475","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-474","","","","","","","","","","","","","",
"255464825733","EZP750","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-641","","","","","","","","","","","","","",
"255464801977","EZP729","Outdoors","","","EZ Products","","","","","","","","","","","","","","","","","","","","","","","EZP-793","","","","","","","","","","","","","",
"265623448509","PLFX4437","Outdoors","","","GL INTERNATIONAL","","","","","","","","","","","","","","","","","","","","","","","70-1840OV-BLK-160","","","","","","","","","","","","","",
"255464810826","CNDRL8790","Outdoors","","","Go Main Access","","","","","","","","","","","Resin","","","","","","","","","","","","200750T","","","","","","","","","","","","","",
"255464848515","CNDRL9197","Outdoors","","","Go Main Access","","","","","","","","","","","","","","","","","","","","","","","444301","","","","","","","","","","","","","",
"265623463649","CNDRL9145","Outdoors","","","Hinspergers","","","","","","","","","","","","","","","","","","","","","","","AK2141OV4","","","","","","","","","","","","","",
"255464808076","SPPRT13795","Outdoors","","","HydroQuip","","","","","","","","","","","","","","","","","","","","","","","26-C63-050-0G00","","","","","","","","","","","","","",
"255464823706","BAQP78841","Outdoors","","","Intermatic USD","","","","","","","","","","","","","","","","","","","","","","","T21004R","","","","","","","","","","","","","",
"265623458915","ZX9SPPRT15295","Outdoors","","","Bufonadas","","","","Beige","","Beige","","","","","","","","","","","","","","","","","BU1887550","","","","","","","","","","","","","",
