Item Id,SKU,Type,Connector A,Brand,Cable Length,Connector B,Features,Gauge,Compatible Brand,Connection Split/Duplication,Compatible Model,Color,Output Voltage,Country/Region of Manufacture,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Fiber Type,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254093320358","114831","Power Cable","","Generic","","","","","","","","","","","18""-Fan-Power-Extension-Cable","","","","","","","","",
"254086553871","100350","Power Cable","20 Pin","Generic","","20 Pin","","","","","","","","","Does Not Apply","","","","","","","","",
"254093318402","113222","Splitter Converter","4 Pin","Generic","","","","","","","","","","","Does Not Apply","","","","","","","","",
"254093283013","103675","Splitter Y-Cable","4 Pin","Generic","6 in","4 Pin 12 V","Powered","","","1:2","","","12 V","","Power-Splitter-Y-Cable-6""","","","","","","","","",
"254093283445","103761","Power Cable","","Generic","","","","","","","","","","","Does Not Apply","","","","","","","","",
"254093282183","103624","Converter","","Generic","","","","","","","","","","","Does Not Apply","","","","","","","","",
"254093283260","103730","Splitter","4 Pin","Generic","","","","","","","","","","","Does Not Apply","","","","","","","","",
"254093283293","103731","Splitter Converter","","Generic","","","","","","","","","","","Does Not Apply","","","","","","","","",
"264656899658","115669","Splitter","","Generic","","","","","","","","","","","Power-Splitter-Y-6""","","","","","","","","",
"264653291611","107098","Converter","","Generic","","","","","","","","","","","Does Not Apply","","","","","","","","",
"254093302885","109276","Power Cable","","Generic","","","","","Universal","","Universal","","","","Does Not Apply","","","","","","","","",
