Item Id,SKU,Form Factor,Brand,Maximum Power,Number of Outlets,Color,Connectors,Modular,Maximum Wattage,Type,Voltage Compatibility,Compatible Brand,Cooling,Features,Maximum Input Current,Country/Region of Manufacture,MPN,Compatible Model,Model,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,Surge Energy Capacity,
"254524578684","101697","ATX","EMACS","400 W","","Silver","20+4 Pin","","","Redundant Power Supply","110 V","Universal","","","","","","","ARD-6400F","","","","","","","","",
"264663535941","115396","ATX","AcBel","230W","","Silver","20+4 Pin","","","Power Module","110 V","For IBM","","","","","","","74P4405 74P4300","","","","","","","","",
"264161272229","108917","AT","Bestec","60 W","","Silver","6+6 Pin","","","Power Module","110 V","Universal","","","","","BPS-603SB","","Bestec BPS-603SB","","","","","","","","",
"255305308779","307976","","Eaton","","10","","","","","Rack Mountable Power Supply","","","","","10 A","","","","TPC115-10A-LMR","","","","","","","","",
"264757096275","271365","","EVGA","850 W","","Gold","","Yes","","Power Module","","","1 Fan","","","","220G50850X1","","","","","","","","","","",
"264739310514","194319","ATX","EVGA","600 W","","","Floppy Drive,4 Pin Peripheral,24 Pin,6+6 Pin","No","600 W","Type","","","1 Fan","","","","100BR0600K1","","","","","","","","","","",
"264730782180","120469","ATX,EPS","EVGA","750 W","1","Black","Floppy Drive,8 Pin PCI Express,6+2 Pin PCI Express,24 Pin,SATA I","Yes","","Cable","12 V,230 V,120 V","","1 Fan","","10 A","","210GQ0750V1","","210-GQ-0750-V1","","","","3.3""","","","","",
"255051066814","196238","","EVGA","700W","","","Floppy Drive,4+4 CPU,4 Pin Peripheral,24 Pin,6+6 Pin","","","Power Supply","120 V","","","700W","","","100BR0700K1","","700 BR","","","","","","","","",
"255134164306","299357","ATX","EVGA","700 W","1","Black","Floppy Drive,4+4 CPU,20 Pin,6 Pin PCI Express,4 Pin Peripheral,6+2 Pin PCI Express,24 Pin,SATA I,4 Pin 12 V,20+4 Pin,6+6 Pin","Yes","","Power Module","115 V,120 V,240 V,230 V,220 V,110 V","Universal","1 Fan","Surge Protection,AVR (Automatic Voltage Regulation)","20 A","","110-BQ-0700-V1","Universal","EVGA 700 BQ","","","","750W","","","","",
"254614309843","120468","ATX","EVGA","","","Gold","4 Pin Peripheral","Yes","","Cable","","","1 Fan","","","","210GQ0650V1","","","","","Yes","","","","","",
"254607986418","174842","ATX","EVGA","750 W","","Gold","Floppy Drive,4 Pin Peripheral,6+2 Pin PCI Express,24 Pin,SATA I","Yes","","Cable","","","1 Fan","","","","220-G3-0750-X1","","","","","","","","","","",
"254528492662","111815","","evServ","250 W","","Silver","","","","Power Module","110 V","Universal","","","","","","","S1-250","","","","","","","","",
"264662518552","100595","ATX","GPS","200 W","","Silver","20 Pin","","","Power Module","110 V","Universal","","","","","FB-200N25","","GPS FB-200N25 200","","","","","","","","",
"264161283615","111049","ATX","HIPRO","300 W","","Silver","24 Pin","","300 W","Power Module","120 V","Universal","","","","","HP-P3087F3","","E series","","","","","","","","",
"254576307702","156301","","Tripp Lite","","","","","","","Does Not Apply","","","","","","","SK10USB","","","","","","","","","","",
"264692926029","177300","","Tripp Lite","","2","","","","","Does Not Apply","","","","","","Puerto Rico","SK120USB","","","","","","","","","Lifetime","",
