Item Id,SKU,Type,Power Source,Brand,Items included,Maximum Pressure,Features,Product Line,Color,Model,Year Manufactured,Voltage,Material,Cable Length,Item Diameter,Item Height,Country/Region of Manufacture,Horsepower,Engine Type,Soap Tank Capacity,Fuel Tank Capacity,Item Width,Assembly Required,Item Length,Power,Manufacturer Warranty,Engine Size,Item Weight,Style,MPN,Noise Level,Custom Bundle,Bundle Description,California Prop 65 Warning,
"265639642153","ZX9JDNA1030","Lawn & Landscaping","","TePee Supplies","Hose","2000 psi","","","","","2000","","","","","","","","","","","","","","","","","","","TE1578357","","","","",
"255488846061","ZX9EGLE48424","Lawn & Landscaping","","Cuadrado","","2400 psi","","","","","","","","","","","","","","","","","","","","","","","","CU1727193","","","","",
"265639573526","TRVAL61077","Lawn & Landscaping","","A R North America","","","","","","","","","","","","","America","","","","","","","","","","","","","186364","","","","",
"255483856515","JDNA1030","Lawn & Landscaping","","All Power America","Hose","2000 psi","","","","","2000","","","","","","America","","","","","","","","","","","","","APW5006R","","","","",
"265639522483","ALGR218","Lawn & Landscaping","","Allegro","","","","","","","","","","","","","","","","","","","","","","","","","","9101-100B","","","","",
"255488744858","ACHR158296","Lawn & Landscaping","","AR Blue Clean","","","","","Blue","","2000","","","","","","","","","","","","","","","","","","","1024263","","","","",
"255747661473","NRTHAM050","Lawn & Landscaping","","AR North America","","1900 psi","","","Blue","","","","","","","","","","","","","","","","","","","","","AR383","","","","",
"255476900653","ZX9TRVAL61077","Lawn & Landscaping","","New CourtYard","","","","","","","","","","","","","","","","","","","","","","","","","","NE2055678","","","","",
"255483675064","EGLE48424","Lawn & Landscaping","","Dewalt-Black & Decker","","2400 psi","","","","","","","","","","","","","","","","","","","","","","","","DWPW2400","","","","",
"255483788832","BSTWC8584","Cold Water Pressure Washer","Gasoline","Kärcher","","3100 psi","Quick Connect,Auto Stop / Start,Compact","","Gray","Karcher 1.107-389.0","","","","","","4 m","","2.4","Honda GC 190","","0.47 Gallons","25.13in.","","19in.","3100 W","","190 cc","68 lbs","Animal Print","1.107-389.0","","","","",
"255483871717","ORGL95501","Lawn & Landscaping","","Karcher North America","","","","","","","","","","","","","America","","","","","","","","","","","","","1902014","","","","",
"255488673236","PETRA15253","Lawn & Landscaping","","Koblenz","","","","","Red","","","","","","","","","","","","","","","","","","","","","HL-450","","","","",
"265644570564","LBMT49911","Lawn & Landscaping","","Muc-Off","","","","","","","","","","","","","","","","","","","","","","","","","","565799","","","","",
"255488764597","STLP081","Lawn & Landscaping","","Steele Products","","","","","","","","","","","","","","","","","","","","","","","","","","APW5118","","","","",
