Item Id,SKU,Type,Size,Brand,Color,Pattern,Material,Style,Fill Material,Features,Theme,Character,Country/Region of Manufacture,Department,Character Family,Insulation,Shape,Room,GSM (Grams per Square Meter),Closure Type,Personalize,Drop Length,Thread Count,Care Instructions,Item Length,Item Width,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,Labels & Certifications,Model,Product Line,Personalization Instructions,
"255869546208","308471","Quilt Set",,"Unbranded","Beige Black Brown","Cow Print","Microfiber","western style","Microfiber","3 piece set","Cowboys & Western","western home","China","Adults","country western","Warm","Rectangular","Bedroom","85","No Closure","No","","","Machine Wash","102 in","90 in","country-western-bedding-set","","","No","","country-western-bedding-set","bedspreads","",
"255869546208","324990",,"Queen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255869546208","324991",,"King",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255874273609","308471","Bedspread",,"Unbranded","Beige,Brown,","Cow Print","Microfiber","Country,Western,","100% Polyester","Quilted","Cow Print","cowboys","China","Adults","Country Western","Warm","Rectangular","Bedroom","Below 150","No Closure","No","","","Machine Wash","102","90","Cow Print","","","No","","Cow Print Bedspread","3-pc Bedspread cow print","",
"255874273609","324990",,"Queen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255874273609","324991",,"King",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265564149317","308004","Bedspread",,"Unbranded","Brown,Beige,Black,","Aztec","Microfiber","Southwestern","100% Polyester","Quilted","Southwestern","Southwestern","China","Adults","Southwestern","Warm","Rectangular","Bedroom","","","","","","","92 in","92 in","Southwestern Design Bedspread","","","","","","","",
"265564149317","308005",,"Queen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265564149317","308006",,"King",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255395448874","308001","Bedspread",,"Unbranded","Beige","Star","Microfiber","Western","100% Polyester","Quilted","Cowboys & Western","cowboys","","","Western Cowboys","Warm","Rectangular","Bedroom","","","","","","","106","94","","","","","","","","",
"255395448874","308002",,"Queen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255395448874","308003",,"King",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
