Item Id,SKU,Type,Brand,Material,Features,Color,Country/Region of Manufacture,Item Width,Handle Size,Item Length,Item Height,MPN,Manufacturer Warranty,Model,Custom Bundle,California Prop 65 Warning,Bundle Description,Item Weight,
"265639513632","ZX9JNSN25770","Lawn & Landscaping","Piper\'sPit","Steel","","","","","","","","PI82489","","","","","","",
"255483651433","TRVAL52714","Lawn & Landscaping","Ames","","","","","","","","","529273","","","","","","",
"265639517392","ACHR161640","Lawn & Landscaping","Ames True Temper","","","","","","","","","7674286","","","","","","",
"265623544475","QKWY1433","Lawn & Landscaping","Gardenised","","Lightweight","","","","","","","QI003670","","","","","","",
"265634304731","ATH51-RWAO3640","Lawn & Landscaping","Hydrofarm Inc","","","","","","","","","H51 RWAO3640","","","","","","",
"265639659047","ZX9TRVAL52166","Lawn & Landscaping","GardenGear","","","","","","","","","GA137096","","","","","","",
"255479060354","JNSN25770","Lawn & Landscaping","SEYMOUR","Steel","","","","","","","","LF-25","","","","","","",
"265634266585","TRVAL96984","Lawn & Landscaping","THE AMES COMPANIES","","","Green","","","","","","146483","","","","","","",
"265644644081","TRVAL98852","Lawn & Landscaping","THE AMES COMPANIES","Steel","Heavy Duty","Green","","","48 in","","","531517","","The Ames Companies 531517","","","","",
"255483661645","TRVAL52166","Lawn & Landscaping","Young Manufacturing","","","","","","","","","754273","","","","","","",
