Item Id,SKU,Type,Reel Type,Brand,Size,Number of Reels,Color,Handle Compatibility,Country/Region of Manufacture,MPN,Features,California Prop 65 Warning,Item Height,Item Length,Item Width,Maximum Length,Item Weight,
"255464847127","ABSFH1548","Outdoors","","Adamsbuilt Fishing","Extra Large","","","","","AB2TR-XLL","","","","","","","",
"265623466601","ABSFH1542","Outdoors","","Adamsbuilt Fishing","Small","","","","","AB2TR-XS","","","","","","","",
"265623447475","ABSFH1567","Outdoors","","Adamsbuilt Fishing","Large","","","","","ABWTR-LSH","","","","","","","",
"265623471527","ABSFH1565","Outdoors","","Adamsbuilt Fishing","Medium","","","","","ABWTR-M","","","","","","","",
"265623457911","ABSFH1566","Outdoors","","Adamsbuilt Fishing","Medium","","","","","ABWTR-MPL","","","","","","","",
"265623457836","ABSFH1563","Outdoors","","Adamsbuilt Fishing","Small","","","","","ABWTR-SPL","","","","","","","",
"255464844157","ABSFH1570","Outdoors","","Adamsbuilt Fishing","Extra Large","","","","","ABWTR-XL","","","","","","","",
"265623478051","CW66299","Outdoors","","Garmin","","","","","","010-01961-00","","","","","","","",
"255464812416","CW81634","Outdoors","","TRAC Outdoors","","","","","","69003","","","","","","","",
"265623445591","ZX9ABSFH1564","Outdoors","","Olympian Athlete","Medium","","","","","OL1489847","","","","","","","",
