Item Id,SKU,Suitable For,Type,Features,Size,Brand,Material,Shape,Color,Personalized,Room,Country/Region of Manufacture,Pattern,MPN,Item Length,Item Width,Bundle Description,Custom Bundle,California Prop 65 Warning,
"255737793673","ZX9SFVH146654","","Rugs","","","Flowers First","","Square","","","","","","FL1909478","","","","","",
"255518080479","ZX9GTMY8014","","Rugs","","","Micasa","Wool","Round","Beige","","","","","MI2130755","","","","","",
"265730018681","ZX9GTMY10227","","Rugs","","","Micasa","Wool","Rectangle","Green","","","","","MI1538942","","","","","",
"265729905224","ZX9GTMY13152","","Rugs","","","Micasa","","Rectangle","","","","","","MI1550698","","","","","",
"265887710285","ZX9RDCI205","","Rugs","","","Auric","","","","","","Italy","","AU2643492","","","","","",
"265730052453","ZX9RDCI210","","Rugs","","","Auric","","","","","","Italy","","AU839545","","","","","",
"265883833633","ZX9RDCI220","","Rugs","","","Auric","","","Blue","","","Italy","","AU1901718","","","","","",
"265884065377","ZX9RDCI768","","Rugs","","","Auric","","","Black","","","Italy","","AU2643547","","","","","",
"265897199832","ZX9RDCI774","","Rugs","","","Auric","","","","","","Italy","","AU2643548","","","","","",
"255728719292","ZX9RDCI775","","Rugs","","","Auric","","","","","","Italy","","AU2482632","","","","","",
"265887720578","ZX9RDCI777","","Rugs","","","Auric","","","","","","Italy","","AU2643549","","","","","",
"255725342116","ZX9RDCI780","","Rugs","","","Auric","","","Blue","","","Italy","","AU2480030","","","","","",
"255737760843","ZX9RDCI810","","Rugs","","","Auric","","","","","","Italy","","AU2643550","","","","","",
"265884079964","ZX9RDCI818","","Rugs","","","Auric","","","Black","","","Italy","","AU2643552","","","","","",
"255728770601","ZX9RDCI826","","Rugs","","","Auric","","","","","","Italy","","AU2643553","","","","","",
"255737941839","ZX9RDCI834","","Rugs","","","Auric","","","","","","Italy","","AU2643555","","","","","",
"255728577636","ZX9RDCI837","","Rugs","","","Auric","","","","","","Italy","","AU2481336","","","","","",
"265887853365","ZX9RDCI842","","Rugs","","","Auric","","","","","","Italy","","AU2643557","","","","","",
"255728676255","ZX9RDCI843","","Rugs","","","Auric","","","","","","Italy","","AU2481337","","","","","",
"255728930512","ZX9RDCI848","","Rugs","","","Auric","","","Black","","","Italy","","AU2484238","","","","","",
"265897084019","ZX9RDCI860","","Rugs","","","Auric","","","Blue","","","Italy","","AU2643559","","","","","",
"265897185482","ZX9RDCI861","","Rugs","","","Auric","","","Blue","","","Italy","","AU2483158","","","","","",
"255737786487","ZX9RDCI874","","Rugs","","","Auric","","","Black","","","Italy","","AU2643560","","","","","",
"255737682484","ZX9RDCI878","","Rugs","","","Auric","","","","","","Italy","","AU2643561","","","","","",
"265897064055","ZX9RDCI886","","Rugs","","","Auric","","","Blue","","","Italy","","AU2643562","","","","","",
"265883973363","ZX9RDCI003","","Rugs","","","Auric","","","Black","","","Italy","","AU489348","","","","","",
"255728669333","ZX9RDCI008","","Rugs","","","Auric","","","Blue","","","Italy","","AU679274","","","","","",
"255737740751","ZX9RDCI013","","Rugs","","","Auric","","","","","","Italy","","AU489349","","","","","",
"265896963039","ZX9RDCI018","","Rugs","","","Auric","","","Green","","","Italy","","AU490316","","","","","",
"255737684511","ZX9RDCI324","","Rugs","","","Auric","","","Red","","","Italy","","AU478597","","","","","",
"265897082518","ZX9RDCI352","","Rugs","","","Auric","","","Beige","","","Italy","","AU2643514","","","","","",
"255728676792","ZX9RDCI408","","Rugs","","","Auric","","","Beige","","","Italy","","AU821833","","","","","",
