Item Id,SKU,Size,Color,Room,Brand,Pattern,Material,Features,Regional Design,Style,Item Width,Theme,Shape,Pile Height,Country/Region of Manufacture,Type,Weave,Pile Type,Item Length,Personalized,Department,MPN,Model,Bundle Description,California Prop 65 Warning,Custom Bundle,Era,
"255737677368","ZX9OCNTR33201","","","","PalaceDesigns","","","","","","","","","","","Rugs","","","","","","PA2477925","","","","","",
"265896913351","ZX9OCNTR32908","","","","PalaceDesigns","","","","","","","","","","","Rugs","","","","","","PA2479175","","","","","",
"255513362071","ZX9GTMY7712","","","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1542401","","","","","",
"265698053433","ZX9GTMY7683","","","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1554784","","","","","",
"255529066763","ZX9GTMY7677","","Black","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1624617","","","","","",
"265644658746","ZX9GTMY7671","","Blue","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1557122","","","","","",
"265684601984","ZX9GTMY7635","","Gold","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1554780","","","","","",
"265674149159","ZX9GTMY7657","","","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1552402","","","","","",
"265697895637","ZX9GTMY7661","","","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1550726","","","","","",
"265684811613","ZX9GTMY7706","","Red","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI2100164","","","","","",
"255513073946","ZX9GTMY7666","","Red","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1554782","","","","","",
"255524014372","ZX9GTMY7645","","Red","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1557652","","","","","",
"255509651003","ZX9GTMY7651","","","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1779327","","","","","",
"255524112127","ZX9GTMY7688","","","","Micasa","","Silk","","Afghan","Kazak","","","","","","Rugs","","","","","","MI1779328","","","","","",
"265884132820","ZX9OCNTR54461","","Brown","","PalaceDesigns","Abstract","","","","","","","","","","Rugs","","","","","","PA2627773","","","","","",
"255725040492","ZX9OCNTR54464","","White","","PalaceDesigns","Plaid","","","","","","","","","","Rugs","","","","","","PA2627774","","","","","",
"265887511571","ZX9OCNTR54455","","Gray","","PalaceDesigns","","","","","","","","","","","Rugs","","","","","","PA2627772","","","","","",
"255725191122","ZX9OCNTR54447","","Blue","","PalaceDesigns","Abstract","","","","","","","","","","Rugs","","","","","","PA2627771","","","","","",
"265680012785","ATWV150","","","","Artistic Weavers","","","","","","","","","","","Rugs","","","","","","AWAP5003-2312","","","","","",
"255541589625","ATWV911","","","","Artistic Weavers","","","","","","","","","","","Rugs","","","","","","AWHP4016-2310","","","","","",
