Item Id,SKU,Type,Material,Style,Features,Color,Brand,Room,Number of Panels,Theme,Mounting,Country/Region of Manufacture,Pattern,Item Height,Item Length,Orientation,Department,Item Width,Additional Parts Required,MPN,Model,Item Weight,Custom Bundle,Care Instructions,Customized,Product Line,Bundle Description,California Prop 65 Warning,
"255523998560","DRL084","Decor","","","","Black","Dorel","","","","","","","","","","","","","00R530-4","","","","","","","","",
"265684868409","DRL082","Decor","","","","","Dorel","","","","","","","","","","","","","00R531-4","","","","","","","","",
"265697994631","DRL088","Decor","","","","White","Dorel","","","","","","","","","","","","","00R5420","","","","","","","","",
"265690607225","DRL089","Decor","","","","","Dorel","","","","","","","","","","","","","00R5421","","","","","","","","",
"255513200595","DRL083","Decor","","","","","Dorel","","","","","","","","","","","","","00R566-4","","","","","","","","",
"255541853229","ZX9WYBN1125","Decor","","","Hand Painted","","Micasa","","","","","","","","","","","","","MI590618","","","","","","","","",
"265897208243","ZX9SCRNGE2039","Decor","Bamboo","","","","JaggedDesigns","","3","","","","","","","","","","","JA2650320","","","","","","","","",
"265884208171","ZX9SCRNGE2037","Decor","Bamboo","","","","JaggedDesigns","","3","","","","","","","","","","","JA2650318","","","","","","","","",
"265887609673","ZX9OCNTR39295","Decor","Metal","","","Brown","PalaceDesigns","","3","","","","","","","","","","","PA2627348","","","","","","","","",
"255518225681","ZX9SCRNGE1860","Decor","","","","Brown","JaggedDesigns","","3","","","","","","","","","","","JA1624882","","","","","","","","",
"265883806300","ZX9SCRNGE1861","Decor","","","","Green","JaggedDesigns","","3","","","","","","","","","","","JA2650311","","","","","","","","",
"255523968315","ZX9SCRNGEM336","Decor","Rattan","","","","JaggedDesigns","","3","","","","","","","","","","","JA823090","","","","","","","","",
"265887657309","ZX9ORE408","Decor","","Shoji","","Black","ManMade","","3","","","","","","","","","","","MA2629601","","","","","","","","",
"265690549347","ZX9ORE410","Decor","","Shoji","","","ManMade","","3","","","","","","","","","","","MA106136","","","","","","","","",
"255541673284","ZX9ORE409","Decor","","Shoji","","","ManMade","","3","","","","","","","","","","","MA106135","","","","","","","","",
