Item Id,SKU,Material,Brand,Subject,Theme,Type,Style,Color,Size,Shape,Character Family,Character,Room,Country/Region of Manufacture,Mounting,Department,Personalize,Additional Parts Required,Features,Item Width,Item Height,Item Length,Glassmaking Technique,Battery Type,Finish,MPN,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Item Weight,Model,Product Line,Personalization Instructions,
"265887640484","ZX9SPIHM3404","Brass","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2485321","","","","","","","","","",
"265897139311","ZX9TRDX1049","","Plano","","Fantasy","Decor","","","","","Dragon","","","","","","","","","","","","","","","PL2032759","","","","","","","","","",
"265897133625","ZX9SPIHM3553","","Ricki&apos;s Rugs","","","Decor","","","","","","","","","","","","","","","","","","","","RI2486431","","","","","","","","","",
"265896913429","ZX9TRDX770","","Plano","Peacock","Angel","Decor","","","Large","","Angel","","","","","","","","","","","","","","","PL2065349","","","","","","","","","",
"255737958000","ZX9SPIHM3552","","Ricki&apos;s Rugs","Frog","","Decor","","","","","","","","","","","","","","","","","","","","RI2486899","","","","","","","","","",
"265698022624","UTRMST2985","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","17513","","","","","","","","","",
"265690627747","UTRMST2986","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","17514","","","","","","","","","",
"265690677435","UTRMST3256","Silver","212 Main","","","Decor","","Silver","","","","","","","","","","","","","","","","","","17557","","","","","","","","","",
"255534751611","UTRMST3264","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","17566","","","","","","","","","",
"255541595634","UTRMST3577","","212 Main","","","Decor","","Gold","","","","","","","","","","","","","","","","","","17597","","","","","","","","","",
"255541851663","UTRMST3801","Stone","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","17710","","","","","","","","","",
"265695139065","UTRMST4600","Glass","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","17835","","","","","","","","","",
"265695201594","UTRMST4043","","212 Main","","","Decor","Contemporary","","","","","","","","","","","","","","","","","","","17867","","","","","","","","","",
"265695292341","UTRMST4045","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","17869","","","","","","","","","",
"265695295994","UTRMST4050","","212 Main","Peacock","","Decor","","","","","","","","","","","","","","","","","","","","17874","","","","","","","","","",
"265697908871","UTRMST4607","","212 Main","","","Decor","","Black","","","","","","","","","","","","","","","","","","17913","","","","","","","","","",
"265690751896","UTRMST4608","","212 Main","","","Decor","","Black","","","","","","","","","","","","","","","","","","17916","","","","","","","","","",
"255539005424","UTRMST2567","","212 Main","","","Decor","","Gold","","","","","","","","","","","","","","","","","","18576","","","","","","","","","",
"265690572056","UTRMST2571","Silver","212 Main","","","Decor","","Silver","","","","","","","","","","","","","","","","","","18581","","","","","","","","","",
"265695198082","UTRMST1631","","212 Main","","","Decor","","Gold","","","","","","","","","","","","","","","","","","18771","","","","","","","","","",
"265700674272","UTRMST1691","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","18887","","","","","","","","","",
"255534674096","UTRMST1696","Bronze","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","18895","","","","","","","","","",
"255534612352","UTRMST2065","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","18898","","","","","","","","","",
"255541801576","UTRMST3136","","212 Main","","","Decor","","Gold","","","","","","","","","","","","","","","","","","18961","","","","","","","","","",
"265697989641","UTTRMST04415","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","19822","","","","","","","","","",
"265690630142","UTTRMST04450","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","19910","","","","","","","","","",
"265695155910","UTTRMST04587","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","19947","","","","","","","","","",
"255541867327","UTTRMST03806","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","19948","","","","","","","","","",
"255541638365","EXPTM2483","Silver","212 Main","","","Decor","","Silver","","","","","","","","","","","","","","","","","","20088","","","","","","","","","",
"255541675051","EXPTM2486","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","20091","","","","","","","","","",
"265690648580","UTRMST1725","Copper","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","20110","","","","","","","","","",
"255539194282","UTRMST1736","","212 Main","","","Decor","","","","","","","","","","","","","","","","","","","","20134","","","","","","","","","",
