Item Id,SKU,Sensor Type,Type,Lighting Technology,Installation Area,Brand,Power Source,Features,Number of Lights,Power Consumption,Light Color,Voltage,Number of Settings,Color,Material,IP Rating,Smart Home Compatibility,Control Style,Finish,Mounting,Year Manufactured,Energy Star,Bulb Shape Code,Smart Home Protocol,Item Diameter,Amperage,Lumens,Country/Region of Manufacture,Assembly Required,Manufacturer Warranty,LED Chip Code,Labels & Certifications,MPN,EC Range,Model,Custom Bundle,California Prop 65 Warning,Bulb Life Hours,Bundle Description,Item Height,Item Length,Item Weight,Item Width,Required Tools,
"255444502862","ZX9ZLD11527","Light","Outdoor Lighting","","","lighting","","","3","","","","3","","Nickel","","","","Brushed Nickel","","","","","","","","","","","","","","LI1639997","","","","","","","","","","","",
"255444367674","ZX9VXCL3419","Light","Outdoor Lighting","LED","Outdoor","PerfectTwinkle","","","","","","","","","","","","","","","","","","","","","","","","","","","PE1633314","","","","","","","","","","","",
"255444365878","ZX9VXCL3289","","Outdoor Lighting","","","PerfectTwinkle","","","","","","","","","","","","","","","","","","","","","","","","","","","PE1238445","","","","","","","","","","","",
"265603534091","ZX9DAIN1980","","Outdoor Lighting","LED","","StarBright","","","","","Black","","","Black","","","","","","","","","","","","","","","","","","","ST1531112","","","","","","","","","","","",
"255444506978","ZX9DAIN2251","","Outdoor Lighting","LED","","StarBright","","","","","","","","","Chrome","","","","Chrome","","","","","","","","","","","","","","ST1527940","","","","","","","","","","","",
"255444424640","ZX9VXCL2950","","Outdoor Lighting","","","PerfectTwinkle","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","PE141918","","","","","","","","","","","",
"265603593020","ZX9ACSL7637","Light","Outdoor Lighting","LED","","Or","","","","","","","","","Chrome","","","","Chrome","","","","","","","","","","","","","","OR882057","","","","","","","","","","","",
"255444427987","ZX9ACSL8587","","Outdoor Lighting","LED","","Or","","","","","","","","","","","","","","","","","","","","","","","","","","","OR1493000","","","","","","","","","","","",
"265603548580","ZX9ACSL8588","","Outdoor Lighting","LED","","Or","","","","","","","","","","","","","","","","","","","","","","","","","","","OR1495362","","","","","","","","","","","",
"255444469828","ZX9ACSL8582","","Outdoor Lighting","LED","","Or","","","","","","","","","","","","","","","","","","","","","","","","","","","OR1492999","","","","","","","","","","","",
"255444393513","ZX9VXCL3762","Light","Outdoor Lighting","","","GlowFlow","","","6","","Gold","","6","Gold","","","","","","","","","","","","","","","","","","","GL1639475","","","","","","","","","","","",
"265603534814","ZX9DAIN2802","","Outdoor Lighting","LED","","StarBright","","","","","","","","","Chrome","","","","Chrome","","","","","","","","","","","","","","ST1526929","","","","","","","","","","","",
"255444407013","ZX9DAIN936","Light","Outdoor Lighting","","","StarBright","","","3","","Gold","","3","Gold","","","","","","","","","","","","","","","","","","","ST1528563","","","","","","","","","","","",
"255453145496","ZX9DAIN2301","Light","Outdoor Lighting","","","StarBright","","","4","","Silver","","4","Silver","Chrome","","","","Chrome","","","","","","","","","","","","","","ST634617","","","","","","","","","","","",
"265603619601","ZX9DAIN937","Light","Outdoor Lighting","","","StarBright","","","4","","Black","","4","Black","","","","","","","","","","","","","","","","","","","ST269981","","","","","","","","","","","",
"255444455023","ZX9ACSL8277","","Outdoor Lighting","LED","","Or","","","","","","","","","","","","","","","","","","","","","","","","","","","OR705840","","","","","","","","","","","",
"255444460868","ZX9ACSL7845","","Outdoor Lighting","LED","","Or","","","","","","","","","","","","","","","","","","","","","","","","","","","OR709681","","","","","","","","","","","",
"255444469450","ZX9ACSL7697","Light","Outdoor Lighting","","","Or","","","5","","","","5","","Chrome","","","","Chrome","","","","","","","","","","","","","","OR1491528","","","","","","","","","","","",
"255444508343","ZX9VXCL3290","","Outdoor Lighting","","","PerfectTwinkle","","","","","","","","","","","","","","","","","","","","","","","","","","","PE608958","","","","","","","","","","","",
"265603554963","ZX9VXCL3353","Light","Outdoor Lighting","","","PerfectTwinkle","","","6","","","","6","","","","","","","","","","","","","","","","","","","","PE1637639","","","","","","","","","","","",
"265603549459","ZX9ACSL7703","Light","Outdoor Lighting","LED","","Or","","","","","","","","","Chrome","","","","Chrome","","","","","","","","","","","","","","OR1493315","","","","","","","","","","","",
"255444365554","ZX9ACSL7704","Light","Outdoor Lighting","LED","","Or","","","","","","","","","Chrome","","","","Chrome","","","","","","","","","","","","","","OR710323","","","","","","","","","","","",
"255444422634","ACSL5356","","Outdoor Lighting","LED","","AccessLighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","50079LEDD-BRZ/OPL","","","","","","","","","","","",
"255444523846","ACSL5357","","Outdoor Lighting","LED","","AccessLighting","","","","","","","","","","","","","","","","","","","","","","","","","","","50079LEDD-BS/OPL","","","","","","","","","","","",
"255444465924","ACSL5358","","Outdoor Lighting","LED","","AccessLighting","","","","","","","","","Bronze","","","","Bronze","","","","","","","","","","","","","","50080LEDD-BRZ/OPL","","","","","","","","","","","",
"265603571296","ACSL5359","","Outdoor Lighting","LED","","AccessLighting","","","","","","","","","","","","","","","","","","","","","","","","","","","50080LEDD-BS/OPL","","","","","","","","","","","",
"255444362534","ACSL5363","","Outdoor Lighting","","","AccessLighting","","","","","","","","","","","","","","","","D","","","","","","","","","","","50120LEDD-BS/OPL","","","","","","","","","","","",
"255444490565","ACSL5364","","Outdoor Lighting","","","AccessLighting","","","","","","","","","","","","","","","","D","","","","","","","","","","","50121LEDD-BS/OPL","","","","","","","","","","","",
"255444526257","ACSL5365","","Outdoor Lighting","","","AccessLighting","","","","","","","","","","","","","","","","","","","","","","","","","","","50123LEDD-BS/OPL","","","","","","","","","","","",
"265603525188","ACSL5438","","Outdoor Lighting","LED","","AccessLighting","","","","","","","","","","","","","","","","","","","","","","","","","","","70080LEDD-BSL/ACR","","","","","","","","","","","",
"265603585773","ACSL5439","","Outdoor Lighting","LED","","AccessLighting","","","","","","","","","","","","","","","","","","","","","","","","","","","70081LEDD-BSL/ACR","","","","","","","","","","","",
"265603542776","ACSL7845","","Outdoor Lighting","LED","","AccessLighting","","","","","","","","","","","","","","","","","","","","","","","","","","","50939LEDD-BRK/ACR","","","","","","","","","","","",
"255453125683","ZX9DBMRL492","","Outdoor Lighting","","","Intense","","","","","Black","","","Black","Aluminum","","","","","","","","","","","","","","","","","","IN1530599","","","","","","","","","","","",
"265603607925","DBMRL10287","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","White","","","White","","","","","","","","","","","","","","","","","","","DC8600-LED5","","","","","","","","","","","",
"265603578670","DBMRL10288","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","2","","White","","2","White","","","","","","","","","","","","","","","","","","","DC8700-LED5","","","","","","","","","","","",
"255444457421","DBMRL7099","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","G","","","","","","","","","","","DF-LED5964-VG-MC","","","","","","","","","","","",
"265603646908","DBMRL10263","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1086-B","","","","","","","","","","","",
"265603615784","DBMRL10262","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1086-BZ","","","","","","","","","","","",
"255444519597","DBMRL10261","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1086-VG","","","","","","","","","","","",
"255444407191","DBMRL10264","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1086-W","","","","","","","","","","","",
"255444396917","DBMRL10266","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1087-B","","","","","","","","","","","",
"265603574760","DBMRL10265","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","B","G24","","","","","","","","","","DSL1087-BZ","","","","","","","","","","","",
"255444436881","DBMRL10267","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1088-B","","","","","","","","","","","",
"255444470834","DBMRL10268","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1088-BZ","","","","","","","","","","","",
"265603646274","DBMRL10269","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1088-W","","","","","","","","","","","",
"255444512268","DBMRL10270","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","Black","","","Black","","","","","","","","","G24","","","","","","","","","","DSL1089-B","","","","","","","","","","","",
"265600131847","DBMRL10271","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1089-BZ","","","","","","","","","","","",
"255444472459","DBMRL10272","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1089-VG","","","","","","","","","","","",
"255444396068","DBMRL10273","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1091-B","","","","","","","","","","","",
"255444414001","DBMRL10274","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","B","G24","","","","","","","","","","DSL1091-BZ","","","","","","","","","","","",
"255444524045","DBMRL10275","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1091-VG","","","","","","","","","","","",
"265603599939","DBMRL10276","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1091-W","","","","","","","","","","","",
"265603618206","DBMRL10277","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","Black","","","Black","","","","","","","","","G24","","","","","","","","","","DSL1092-B","","","","","","","","","","","",
"255444525110","DBMRL10278","Light","Outdoor Lighting","LED","","Dabmar Lighting","","","","","","","","","","","","","","","","","G24","","","","","","","","","","DSL1092-BZ","","","","","","","","","","","",
"255444507133","DBMRL392","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1214","","","","","","","","","","","",
"265603589066","DBMRL393","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1215","","","","","","","","","","","",
"265612016505","DBMRL394","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1235","","","","","","","","","","","",
"265612015155","DBMRL403","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1235-GRL","","","","","","","","","","","",
"255453114644","DBMRL395","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1250","","","","","","","","","","","",
"255453145330","DBMRL404","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1250-GRL","","","","","","","","","","","",
"265612039859","DBMRL405","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1270-GRL","","","","","","","","","","","",
"255453142881","DBMRL397","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1300","","","","","","","","","","","",
"255453139461","DBMRL406","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1300-GRL","","","","","","","","","","","",
"255453143479","DBMRL407","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1351-GRL","","","","","","","","","","","",
"255453149662","DBMRL399","Light","Outdoor Lighting","","","Dabmar Lighting","","","","","","","","","Stainless Steel","","","","Stainless Steel","","","","","","","","","","","","","","DW1352","","","","","","","","","","","",
"255444397183","DBMRL484","","Outdoor Lighting","","","Dabmar Lighting","","","","","Black","","","Black","Aluminum","","","","","","","","","","","","","","","","","","DW15-B","","","","","","","","","","","",
