Item Id,SKU,Size,Gender,Brand,Color,Industry,Material,Pattern,Country/Region of Manufacture,Personalize,MPN,Modified Item,Modification Description,California Prop 65 Warning,Personalization Instructions,
"265644512140","308124",,"Unisex","Unbranded","Navy Blue","Healthcare","Polyester Blend","Solid","China","","Unisex Scrubs","","","","",
"265644512140","308125","S",,,,,,,,,,,,,,
"265644512140","308126","M",,,,,,,,,,,,,,
"265644512140","308127","L",,,,,,,,,,,,,,
"265644512140","308128","XL",,,,,,,,,,,,,,
"265644512140","308129","2XL",,,,,,,,,,,,,,
"255877216237","308349",,"Unisex","Unbranded","Green","Medical","Polyester","Solid","China","","Does Not Apply","","","","",
"255877216237","308350","S",,,,,,,,,,,,,,
"255877216237","308353","XL",,,,,,,,,,,,,,
"255877216237","308352","L",,,,,,,,,,,,,,
"255877216237","308351","M",,,,,,,,,,,,,,
"255877215777","308344",,"Unisex","Unbranded","Navy Blue","Medical","Polyester","Solid","China","","Does Not Apply","No","","","",
"255877215777","308348","XL",,,,,,,,,,,,,,
"255877215777","308345","S",,,,,,,,,,,,,,
"255877215777","308347","L",,,,,,,,,,,,,,
"255877215777","308346","M",,,,,,,,,,,,,,
"255724926650","308124 Scrubs",,"Women","Unbranded","Navy Blue","Healthcare","Polyester Blend","Solid","China","No","Blue Scrubs","No","","","",
"255724926650","308125","S",,,,,,,,,,,,,,
"255724926650","308126","M",,,,,,,,,,,,,,
"255724926650","308127","L",,,,,,,,,,,,,,
"255724926650","308128","XL",,,,,,,,,,,,,,
"255724926650","308129","2XL",,,,,,,,,,,,,,
