Item Id,SKU,Type,Roof Material,Material,Glazing Material,Floor Material,Brand,Number of Windows,Frame Material,Number of Doors,Number of Pieces,Item Depth,Item Width,Roof Pitch,Item Width (Interior),Features,Item Depth (Interior),Manufacturer Warranty,Roof Shape,Coverage,Color,Roof Thickness,Wall Thickness,Door Type,Base Included,Shape,Style,Door Width,Country/Region of Manufacture,Door Height,Item Height,Fixings Supplied,Model,Assembly Required,Construction,Item Height (Interior),MPN,Item Weight,Custom Bundle,Bundle Description,California Prop 65 Warning,Cladding Type,
"265639713658","ZX9NEOP1069","Furniture & Decor","","","","","New CourtYard","8","","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","NE400894","","","","","",
"255488679152","ZX9SHLTL1780","Furniture & Decor","Steel","Steel","","","Next2Nature","4","Steel","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","NE1413010","","","","","",
"255483889374","SHLTL2003","Furniture & Decor","Steel","Steel","","","Arrow","3","Steel","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","PS43","","","","","",
"255488832774","SHLTL2004","Furniture & Decor","Steel","Steel","","","Arrow","3","Steel","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","PS53","","","","","",
"255483730361","SHLTL1781","Storage Shed","Metal","Steel","","","Arrow","4","Steel","4","4","","","","","Lockable","","","Pent","","Gray","","","Double","","Square","Modern","","","","","","Arrow SBS64","","","","SBS64","","","","","",
"255476901564","SHLTL1780","Furniture & Decor","Steel","Steel","","","Arrow","4","Steel","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","YS47-A","","","","","",
"265634305948","ZX9TRVAL71924","Furniture & Decor","","","","","GrillTown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GR30333","","","","","",
"265644625759","POLYTX298","Furniture & Decor","","","","","Palram","3","","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","HG9603T","","","","","",
"265634251436","NEOP1069","Furniture & Decor","","","","","Shelter-It","8","","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","71010","","","","","",
"265634269687","TRVAL71924","Furniture & Decor","","","","","Suncast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203078","","","","","",
