Item Id,SKU,Type,Size,Material,Brand,Color,Pattern,Features,Thread Count,Character,Theme,Character Family,Style,Country/Region of Manufacture,Department,Room,Shape,Model,Care Instructions,Item Length,Item Width,MPN,Bundle Description,California Prop 65 Warning,Custom Bundle,GSM (Grams per Square Meter),Labels & Certifications,Product Line,
"265751888645","308219","Sheet Set","King","Microfiber","World of Linen Collection","Brown and Tan","Camouflage","Machine Washable,Not Quilted","","hunting","camouflage","","Lodge","","","Bedroom","","","Machine Wash","102","105","","","","","","","",
"265220215960","307652","Sheet Set","Full","Microfiber","S.L. Collection","Ivory","Solid Color","Machine Washable,Not Quilted","90 GSM","Beige","Plain","","","","","Bedroom","","","Machine Wash","96 in","81 in","","","","","","","",
"255025254021","","Sheet Set",,"Microfiber","Egyptian Comfort",,"Solid","Tumble Dry","90 GSM","bed sheet set","Solid","Bedsheets Set","Contemporary","China","Kids,Teens,Adults","Bedroom","Rectangular","2200 Series Egyptian Comfort","Machine washable in cold water, tumble dry on low.","90","102","Egyptian Comfort 2200","","","No","Below 150","","Bedsheets Set",
"255025254021","307266",,"Full",,,"Burgundy",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307270",,"Full",,,"Lavender",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307274",,"Full",,,"Pink",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307277",,"Full",,,"Taupe",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307281",,"Full",,,"Blue",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307267",,"Queen",,,"Burgundy",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307271",,"Queen",,,"Lavender",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307275",,"Queen",,,"Pink",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307278",,"Queen",,,"Taupe",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307282",,"Queen",,,"Blue",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307268",,"King",,,"Burgundy",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307272",,"King",,,"Lavender",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","",,"King",,,"Pink",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307279",,"King",,,"Taupe",,,,,,,,,,,,,,,,,,,,,,,
"255025254021","307283",,"King",,,"Blue",,,,,,,,,,,,,,,,,,,,,,,
"265265240185","307652","Sheet Set","Full","Microfiber","S.L. Collection","Beige","Solid Color","Machine Washable,Not Quilted","90 GSM","Beige","Plain","","","","","Bedroom","","","Machine Wash","96 in","81 in","","","","","","","",
"255068413636","307652","Sheet Set","Full","Microfiber","S.L. Collection","Ivory","Solid Color","Machine Washable","90 GSM","Beige","Plain","","","","","Bedroom","","","Machine Wash","96 in","81 in","","","","","","","",
"255602005952","308221","Sheet Set","Twin","Microfiber","Egyptian Comfort",,"Solid","Tumble Dry","90 GSM","bed sheet set","Solid","Bedsheets Set","College Dorm","China","Adults","Dorm Room","Rectangular","2200 Series Egyptian Comfort","Machine washable in cold water, tumble dry on low.","96","66","Egyptian Comfort 2200","","","No","Below 90","","Bedsheets Set",
"255602005952","308222",,,,,"Gold",,,,,,,,,,,,,,,,,,,,,,,
"255602005952","308223",,,,,"Blue",,,,,,,,,,,,,,,,,,,,,,,
"255602005952","308224",,,,,"Green",,,,,,,,,,,,,,,,,,,,,,,
"255602005952","308225",,,,,"Beige",,,,,,,,,,,,,,,,,,,,,,,
"255602005952","308226",,,,,"Camo",,,,,,,,,,,,,,,,,,,,,,,
