Item Id,SKU,Brand,Size,Style,Size Type,Occasion,Theme,Color,Material,Waist Size,Department,Fabric Type,Pattern,Features,Fit,Character,Fabric Wash,Front Type,Accents,Inseam,Closure,Country/Region of Manufacture,Vintage,Distressed,Personalize,Season,Pocket Type,Handmade,Rise,Garment Care,Suspender Buttons/Belt Loops,Model,California Prop 65 Warning,MPN,Personalization Instructions,
"255022783624","307641","Unbranded","One Size","Sports","Regular","Casual","Sports",,"Polyester","30 - 40","Men","Jersey","Solid","Adjustable Waist,Drawstring,Elastic Waist,Lightweight","Athletic","Men's Plain Shorts","Light","Pleated","Solid","","Drawstring","Pakistan","No","","","Spring,Summer","","","","","","","","","",
"255022783624","307643",,,,,,,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255022783624","307642",,,,,,,"Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255022783624","307644",,,,,,,"White",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255022783624","307645",,,,,,,"Maroon",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255022783624","307646",,,,,,,"Sky Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255022783624","307647",,,,,,,"Bright Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255022783624","307648",,,,,,,"Dark-Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307630","Unbranded","One Size","Athletic","Regular","Casual","Sports",,"Polyester","28 - 40","Teens","Jersey","Solid","Adjustable Waist,Elastic Waist","Athletic","Men's Plain Shorts","Light","Pleated","Solid","","","Pakistan","No","","","","","","","","","","","","",
"255110357649","307631",,,,,,,"Yellow + Dark Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307632",,,,,,,"Yellow + Light Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307633",,,,,,,"Red + Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307634",,,,,,,"Black + Light Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307635",,,,,,,"Red + Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307636",,,,,,,"Dark Blue + Light Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307637",,,,,,,"Light Blue + Dark Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307638",,,,,,,"Light Blue + Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307639",,,,,,,"Light Blue + Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"255110357649","307640",,,,,,,"Light Blue + Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,
