Item Id,SKU,Brand,Style,Type,Size,Sock Length,Color,Performance/Activity,Theme,Features,Material,Department,Personalize,Character,Country/Region of Manufacture,Handmade,Number in Pack,Character Family,Pattern,Season,Occasion,Size Type,Toe Style,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"265589246759","308014","Powersox","Athletic Socks","Socks",,"Knee High","White","Baseball","","","Cotton Blend","Men","","","China","","1 Pair","","Striped","Fall,Spring,Summer,Winter","Casual","Regular","Full Toe","","","","",
"265589246759","308015",,,,"M",,,,,,,,,,,,,,,,,,,,,,,
"265589246759","308016",,,,"L",,,,,,,,,,,,,,,,,,,,,,,
"265589246759","",,,,"XL",,,,,,,,,,,,,,,,,,,,,,,
"265600263119","308033","Unbranded","Tube Socks","Socks","23","Knee High","White,Blue,","Baseball","Athletic","All Seasons","Cotton Blend","Men","","Blue","Pakistan","","4 Pairs","","Striped","Fall,Spring,Summer,Winter","Casual","Regular","Toeless","","","","",
"265597597993","308030","Unbranded","Tube Socks","Socks","23","Knee High","Orange","Baseball","Athletic","All Seasons","Cotton Blend","Men","","","Pakistan","","4 Pairs","","Striped","Fall,Spring,Summer,Winter","Casual","Regular","Toeless","","","","",
"265600221066","308031","Unbranded","Tube Socks","Socks","23","Knee High","White, Red","Baseball","Athletic","All Seasons","Cotton Blend","Men","","","Pakistan","","4 Pairs","","Striped","Fall,Spring,Summer,Winter","Casual","Regular","Toeless","","","","",
"265404030653","307867","Unbranded","Crew Socks","Socks","10-13","Mid Calf","Black,Gray,","Work Wear,Diabetic Socks,Dress Socks","Work Socks","Cushioned","Cotton Blend","Men","","Diabetic Socks","Pakistan","","3 Pairs","Diabetic Socks","","Fall,Spring,Summer,Winter","","Regular","","","","","",
"264852667025","301991","Generic","Dress Socks","Socks","XL","Mid Calf","Black","dress socks","dress socks","All Seasons","Cotton","Men","","Black Crew Socks","Pakistan","No","","","","all season","","Regular","","","","Cotton-Crew-Socks---Black","",
"264852700342","301992","Generic","High Quality Thermal Boot Socks","Thermal Boot Socks","XL, 2XL","Over the Calf",,"Baseball,Bodybuilding,CrossFit,Cross Training,Cycling,Football,Golf,Gym & Training,Hiking","Thermal Boot Socks","All Seasons,Thermal","Acrylic,Cotton Blend,Polyester","Men","","Thermal Boot Socks","Pakistan","No","3 Pairs","Thermal Boot Socks","","Fall,Spring,Winter","","Regular","","","","High-Quality-Thermal-Boot-Socks","",
"264852700342","301995",,,,,,"Black & Gray",,,,,,,,,,,,,,,,,,,,,
"264852700342","301994",,,,,,"Blue & Gray",,,,,,,,,,,,,,,,,,,,,
"264852700342","301993",,,,,,"Red & Gray",,,,,,,,,,,,,,,,,,,,,
"264851420623","301986","Generic","Sports Socks","Socks","9-11","Low Cut","White,Blue,","Bodybuilding,CrossFit,Cross Training,Cycling,Dance,Football,Golf,Gym & Training","Sports","All Seasons","Cotton","Men","","Blue","Pakistan","No","","","","Fall,Spring,Summer,Winter","Business,Casual,Formal,Workwear","Regular","Full Toe","","","Two-Tone-Ankle-Socks---Cotton","",
"264852665324","301990","Generic","Dress Socks","Socks","XL","Mid Calf","White","Everyday use","Dress Socks","All Seasons","Cotton","Men","","Cotton Crew Socks","Pakistan","No","","","","all-season","","Regular","","","","Cotton-Crew-Socks---White","",
"255226667492","307865","Unbranded","Crew Socks","Socks","9-11","","Gray","all day socks","diabetic socks","All Seasons,Breathable","Cotton","Men","","Boots","Pakistan","","3 Pairs","","","","","","","","","","",
"255019568605","307488","Unbranded","Dress Socks","Socks","10-13","Mid Calf","Multicolor","Work Socks","Colorful","All Seasons","Cotton","Men","","Dress Socks","Pakistan","","6 Pairs","Pattern","Multiple Patterns and Colors","Fall,Spring,Summer,Winter","Business,Casual,Formal,Workwear","Regular","","","","","",
"265604027499","308042","Unbranded","Diabetic Socks","Socks","9-11","Low Cut","Black","Daily Use","Diabetic Comfort","All Seasons","Cotton","Men","","","","","3 Pairs","","","","","","","","","","",
"255438188998","308029","Unbranded","Diabetic Socks","Socks","9-11","Low Cut","Black","Daily Use","Diabetic Comfort","All Seasons","Cotton","Men","","","","","3 Pairs","","","","","","","","","","",
"265603999698","308040","Unbranded","Diabetic Socks","Socks","9-11","Low Cut","Gray","Daily Use","Diabetic Comfort","All Seasons","Cotton","Men","","","","","3 Pairs","","","","","","","","","","",
"265597475875","308027","Unbranded","Diabetic Socks","Socks","9-11","Low Cut","Gray","Daily Use","Diabetic Comfort","All Seasons","Cotton","Men","","","","","3 Pairs","","","","","","","","","","",
"265603978275","308038","Unbranded","Diabetic Socks","Socks","9-11","Low Cut","White","Daily Use","Diabetic Comfort","All Seasons","Cotton","Men","","","","","3 Pairs","","","","","","","","","","",
"265597364475","308025","Unbranded","Diabetic Socks","Socks","9-11","Low Cut","White","Daily Use","Diabetic Comfort","All Seasons","Cotton","Men","","","","","3 Pairs","","","","","","","","","","",
"265404039493","307866","Unbranded","Crew Socks","Woolen Socks","10-13","Mid Calf","Gray","Work Wear","Work Socks","All Seasons","Wool","Men","","Woolen Socks","Pakistan","","3 Pairs","Merino Wool Socks","","Fall,Spring,Winter","Business,Casual,Formal,Workwear","Regular","","","","Marino Wool Socks","",
"254707261727","301987","Generic","Crew Socks","Socks",,"Mid Calf","Gray","Dress Socks,two tone socks","Sports","All Seasons","Cotton","Men","","Crew Socks,daily use","Pakistan","No","","","","all-season","","Regular","","","","Cotton-Crew-Socks---Two-Tone","",
"254707261727","301989",,,,"XL",,,,,,,,,,,,,,,,,,,,,,,
"254707261727","301988",,,,"L",,,,,,,,,,,,,,,,,,,,,,,
