Item Id,SKU,Style,Brand,Type,Sock Length,Size,Theme,Color,Department,Material,Personalize,Pattern,Character,Handmade,Features,Performance/Activity,Character Family,Opacity,Season,Number in Pack,Toe Style,Occasion,Country/Region of Manufacture,Garment Care,MPN,California Prop 65 Warning,Personalization Instructions,
"265414692455","307490","Ankle Socks","Unbranded","Socks","Low Cut","5-11","no show socks","Multicolor","Women","Acrylic Blend","No","Solid","low cut ankle socks","No","no show socks","Bodybuilding,Dance,Golf,Gym & Training","trainer socks","Opaque","All Seasons","3 Pairs","Full Toe","Activewear,Business,Casual,Clubwear,Everyday,Formal,Travel,Workwear","","","","","",
"265600243440","308032","tube socks","Unbranded","Socks","Knee High","One Size","Baseball","White, Pink","Women","80% Cotton, 20% Polyester","","Solid","Athletic","","striped","Baseball,Basketball","","Opaque","All Seasons","4 Pairs","Toeless","Activewear","Pakistan","","","","",
"255872537941","308287","Christmas Socks","Unbranded","Socks","Over the Calf","One Size","Christmas","Multicolor","Women","Cotton Blend","No","Christmas","Christmas","No","Colorful","Holidays","Christmas","Opaque","Winter","3 Pairs","Full Toe","Business,Casual,Clubwear,Party/Cocktail","China","Machine Washable","Christmas-Socks","","",
"254782930087","306866","White Diabetic Crew Socks","Generic","Diabetic Socks","Over the Calf","5-9","Diabetic Socks","White","Women","Cotton Blend","","Solid","Plain White Socks","No","Diabetic Socks","Everyday use","Plain White","Opaque","All Seasons","3 Pairs","","","","","Women's-White-Diabetic-Crew-Socks","","",
"265404075421","307864","Diabetic","Unbranded","Socks","Mid Calf","9-11","Crew Socks","Gray","Women","Cotton Blend","","Solid","Diabetic Socks","","Breathable,Cushioned","All Day Wear","Diabetic Socks","","All Seasons","3 Pairs","","Activewear,Business,Casual,Everyday,Formal,Travel","Pakistan","","","","",
"255444908123","308041","Diabetic","Unbranded","Socks","Low Cut","9-11","Diabetic","Black","Women","Cotton","","Solid","","","","Daily Use","","Opaque","All Seasons","3 Pairs","Full Toe","Everyday","Pakistan","","","","",
"255438180948","308028","Diabetic","Unbranded","Socks","Low Cut","9-11","Diabetic","Black","Women","Cotton","","Solid","","","","Daily Use","","Opaque","All Seasons","3 Pairs","Full Toe","Everyday","Pakistan","","","","",
"265603994790","308039","Diabetic","Unbranded","Socks","Low Cut","9-11","Diabetic","Gray","Women","Cotton","","Solid","","","","Daily Use","","Opaque","All Seasons","3 Pairs","Full Toe","Everyday","Pakistan","","","","",
"265597467076","308026","Diabetic","Unbranded","Socks","Low Cut","9-11","Diabetic","Gray","Women","Cotton","","Solid","","","","Daily Use","","Opaque","All Seasons","3 Pairs","Full Toe","Everyday","Pakistan","","","","",
"254675658760","299040","Athletic Socks","Unbranded","Socks","Low Cut","5-9","Colorful","Multicolor","Women","Polyester","","Solid","Low cut","","Lightweight","Baseball,Basketball,Bodybuilding,CrossFit,Cross Training,Dance,Football,Gym & Training","","","All Seasons","6 Pairs","","","","","Women's-No-Show-Low-Cut-Socks","","",
"255438024948","308024","Diabetic","Unbranded","Socks","Low Cut","9-11","Diabetic","White","Women","Cotton","","Solid","","","","Daily Use","","Opaque","All Seasons","3 Pairs","Full Toe","Everyday","Pakistan","","","","",
"265603975679","308037","Diabetic","Unbranded","Socks","Low Cut","9-11","Diabetic","White","Women","Cotton","","Solid","","","","Daily Use","","Opaque","All Seasons","3 Pairs","Full Toe","Everyday","Pakistan","","","","",
