Item Id,SKU,Type,Compatible Plant Type,Material Basis,PH Value,Brand,Indoor/Outdoor,Volume,Country/Region of Manufacture,Form,Packaging,Organic,Application,Features,MPN,Custom Bundle,California Prop 65 Warning,Bundle Description,Expiration Date,Item Height,Item Length,Item Weight,Item Width,
"265644618310","ZX9ARTSLRL3376","Lawn & Landscaping","","","","Foro","","","","","","","","","FO1689551","","","","","","","","",
"265644544230","ZX9PRNC5158","Lawn & Landscaping","Grass","","","Patio Trasero","","","","","","","","","PA1859396","","","","","","","","",
"265644483361","PRNC7356","Lawn & Landscaping","","","","Americas","","","","","","","","","144286","","","","","","","","",
"265639750242","PRNC5077","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","002752","","","","","","","","",
"255476932417","PRNC5081","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","002791","","","","","","","","",
"265639812943","PRNC5083","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","002793","","","","","","","","",
"255488716829","PRNC5690","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","050017","","","","","","","","",
"255483926887","PRNC5692","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","050040","","","","","","","","",
"255488730472","PRNC5693","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","050050","","","","","","","","",
"265644506826","PRNC5696","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","050113","","","","","","","","",
"255488765552","PRNC5030","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","100053","","","","","","","","",
"255483909289","PRNC7075","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","100072","","","","","","","","",
"265639691312","PRNC5070","Lawn & Landscaping","","","6","AMERICAS FAVORITE","","","","","","","","","102001","","","","","","","","",
"255476954624","PRNC5098","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144203","","","","","","","","",
"255488797537","PRNC5100","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144252","","","","","","","","",
"255488657257","PRNC5102","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144281","","","","","","","","",
"255483771749","PRNC5104","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144300","","","","","","","","",
"255483820299","PRNC5107","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144409","","","","","","","","",
"255488706901","PRNC5108","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144412","","","","","","","","",
"265644487419","PRNC5111","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144427","","","","","","","","",
"265634287650","PRNC5112","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","144459","","","","","","","","",
"265644618653","PRNC5114","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","144509","","","","","","","","",
"255483673435","PRNC5115","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","144553","","","","","","","","",
"255488844922","PRNC5991","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","861284","","","","","","","","",
"265623516971","PRNC5992","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","861285","","","","","","","","",
"255483923522","PRNC5995","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","861300","","","","","","","","",
"265639682295","PRNC5996","Lawn & Landscaping","","","","AMERICAS FAVORITE","","","","","","","","","861331","","","","","","","","",
"265634304111","PRNC5158","Lawn & Landscaping","Grass","","","AMERICAS FAVORITE","","","","","","","","","861332","","","","","","","","",
"255483791278","TRVAL62103","Lawn & Landscaping","","","","BARENBRUG","","","","","","","","","124760","","","","","","","","",
"255483791145","TRVAL62114","Lawn & Landscaping","","","","BARENBRUG","","","","","","","","","491164","","","","","","","","",
"255464903920","ACHW43797","Lawn & Landscaping","Grass","","","Barenbrug USA","","","","","","","","","11625","","","","","","","","",
"265634255402","TRVAL97801","Lawn & Landscaping","","","","Barenbrug USA","","","","","","","","","212644","","","","","","","","",
"265623553937","TRVAL97941","Lawn & Landscaping","","","","Barenbrug USA","","","","","","","","","212647","","","","","","","","",
"255464904538","TRVAL101343","Lawn & Landscaping","","","","Barenbrug USA","","","","","","","","","212648","","","","","","","","",
"255464861306","TRVAL106374","Lawn & Landscaping","Grass","","","Barenbrug USA","","","","","","","","","212654","","","","","","","","",
"255476939050","PRNC6692","Lawn & Landscaping","","","","FERTILOME","","","","","","","","","410529","","","","","","","","",
"265623530546","PRNC6725","Lawn & Landscaping","","","","FERTILOME","","","","","","","","","411723","","","","","","","","",
"265641045192","BCI1514756","Lawn & Landscaping","Grass","","","GreenView","","","","","","","","","28-29308","","","","","","","","",
"255488678001","ATG19G671025","Lawn & Landscaping","","","","Griffin Greenhouse","","","","","","","","","G19G671025","","","","","","","","",
"255464882662","PRNC6735","Lawn & Landscaping","","","","Hi-Yield","","","","","","","","","431083","","","","","","","","",
"265644587661","PRNC6739","Lawn & Landscaping","","","","Hi-Yield","","","","","","","","","431333","","","","","","","","",
"255483747793","PRNC5238","Lawn & Landscaping","","","","Hi-Yield","","","","","","","","","433697","","","","","","","","",
"265623500930","TRVAL66357","Lawn & Landscaping","","","","Hydrofarm","","","","","","","","","182206","","","","","","","","",
"255483725350","TRVAL56124","Lawn & Landscaping","","","","Hydrofarm","","","","","","","","","181132","","","","","","","","",
"255464903875","ATJ2012006","Lawn & Landscaping","Grass","","","Jonathan Green","","","","","","","","","J2012006","","","","","","","","",
"265623538178","TRVAL125199","Lawn & Landscaping","Grass","","","Lebanon Seaboard","","","Lebanon","","","","","","263829","","","","","","","","",
"265623538956","ARTSLRL3290","Lawn & Landscaping","Grass","","","Lebanon Seaboard","","","Lebanon","","","","","","G81 2829276","","","","","","","","",
"255488770351","OCST027","Lawn & Landscaping","","","4","Neptunes Harvest","","","","","","","","","CS 612","","","","","","","","",
"265639505603","OCST019","Lawn & Landscaping","","","4","Neptunes Harvest","","","","","","","","","TF 191","","","","","","","","",
"255488820673","OCST010","Lawn & Landscaping","","","","Neptunes Harvest","","","","","","","","","FS 136","","","","","","","","",
"255483677673","OCST016","Lawn & Landscaping","Rose","","","Neptunes Harvest","","","","","","","","","RF 136","","","","","","","","",
"255483879162","OCST013","Lawn & Landscaping","Tomato","","","Neptunes Harvest","","","","","","","","","TV 136","","","","","","","","",
"255483741821","JNSN78161","Lawn & Landscaping","","","5","Neptunes Harvest","","","","","","","","","LS150","","","","","","","","",
"255476983374","JNSN78166","Lawn & Landscaping","","","5","Neptunes Harvest","","","","","","","","","TF150","","","","","","","","",
"255483910810","JNSN78169","Lawn & Landscaping","Tomato","","","Neptunes Harvest","","","","","","","","","TV191","","","","","","","","",
"255476938707","OCST1034","Lawn & Landscaping","","","","Ocean Crest Seafoods","","","","Liquid","","","","","LCL118","","","","","","","","",
"255476986651","OCST1035","Lawn & Landscaping","","","","Ocean Crest Seafoods","","","","Liquid","","","","","LCL136","","","","","","","","",
"265644513986","OCST1037","Lawn & Landscaping","","","5","Ocean Crest Seafoods","","","","Liquid","","","","","LCL150","","","","","","","","",
"265639565417","OCST1036","Lawn & Landscaping","","","","Ocean Crest Seafoods","","","","Liquid","","","","","LCL191","","","","","","","","",
"265644500549","JNSN60283","Lawn & Landscaping","","","","Parker Mccrory","","","","","","","","","FM3","","","","","","","","",
"265639626871","JNSN60286","Lawn & Landscaping","","","8","Parker Mccrory","","","","","","","","","MARK8","","","","","","","","",
"265639795263","JNSN60287","Lawn & Landscaping","","","","Parker Mccrory","","","","","","","","","SE5","","","","","","","","",
"255483880689","ARTSLRL3376","Lawn & Landscaping","","","","Reln","","","","","","","","","T62 000027","","","","","","","","",
"255464874340","TRVAL128095","Lawn & Landscaping","","","5","SBM Science Life","","","","","","","","","273271","","","","","","","","",
"255811029530","TRVAL101200","Lawn & Landscaping","","","","SCOTTS GROWING MEDIA","","","","","","","","","155929","","","","","","","","",
"265960229845","TRVAL96685","Lawn & Landscaping","","","","SCOTTS GROWING MEDIA","","","","","","","","","155931","","","","","","","","",
"255464876521","JNSN77721","Lawn & Landscaping","","","8","Soil Moist","","","","","","","","","JCD-05CMP","","","","","","","","",
"255464905504","WLLCH16036","Lawn & Landscaping","","Sulfur","5","Southern Agricultural","","","","","","","","","825","","","","","","","","",
"255464878735","TRVAL113030","Lawn & Landscaping","","","","TINGLEY RUBBER","","","","","","","","","233714","","","","","","","","",
"255464872671","ZX9TRVAL101343","Lawn & Landscaping","","","","OpenSkies","","","","","","","","","OP572062","","","","","","","","",
