Item Id,SKU,Stapler Type,Brand,Features,MPN,Model,Custom Bundle,Bundle Description,Modified Item,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"255581226350","ZX9SPRCH26903","","RoomFactory","","RO1646423","","","","","","","",
"255580999363","ORSNO246738","","Arrow Fastener","","091-506IP","","","","","","","",
"265597112901","ORGL58261","","Arrow Fastener Co","","4242327","","","","","","","",
"265735807677","BAZC3850","","Bazic Products","","619","","","","","","","",
"265735927243","ZX9ORGL78920","","CoolCrafts","","CO445142","","","","","","","",
"265735674293","SPRCH27481","Electric","General Binding Corporation","","GBC7704280","","","","","","","",
"265735874029","ZX9JNSN44985","","Teacher\'s Aid","","TE906049","","","","","","","",
"265735868491","JNSN44985","","Prime Source","","34HGPNS","","","","","","","",
"265735698516","ORGL174960","","Senco","Heavy Duty","2037786","","","","","","","",
"265735825019","ACHR137844","","Senco","","2609394","","","","","","","",
"265735601800","ACHR137845","","Senco","","2609519","","","","","","","",
"255581001957","ORGL170273","","Senco","","7129943","","","","","","","",
"255581193664","ORGL78920","","Stanley-Bostitch","","9427238","","","","","","","",
