Item Id,SKU,Type,Brand,Compatible Product,Compatible Brand,Number in Pack,Color,Capacity,Material,Compatible Model,Engine Type,Power Source,Model,Year Manufactured,Country/Region of Manufacture,Item Length,Item Diameter,Item Height,Item Width,Assembly Required,Voltage,Engine Size,Power,Horsepower,Style,Manufacturer Warranty,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,
"265639687546","ZX9ACHR149451","Lawn & Landscaping","OpenSkies","String Trimmer","","","","","","","","","","","","","","","","","","","","","","","OP1678281","","","","",
"255483951450","ZX9TRVAL125722","Lawn & Landscaping","GardenControl","String Trimmer","","2","","","","","","","","","","","","","","","","","","","","","GA2179027","","","","",
"265639641847","ZX9SNRS121","Lawn & Landscaping","GrillGear","","","","","","","","","","","","","","","","","","","","","","","","GR516143","","","","",
"265634290765","ORGL176772","Lawn & Landscaping","Black & Decker","","","","Black","","","","","","","","","","","","","","","","","","","","2309904","","","","",
"255483835195","ZX9ORGL176772","Lawn & Landscaping","GreenGrass","","","","","","","","","","","","","","","","","","","","","","","","GR1857166","","","","",
"265644477881","TRVAL125722","Lawn & Landscaping","Mtd Southwest","String Trimmer","","2","","","","","","","","","","","","","","","","","","","","","236760","","","","",
"265639672921","ACHR149451","Lawn & Landscaping","Troy-bilt","String Trimmer","","","","","","","","","","","","","","","","","","","","","","","7006431","","","","",
"255483834614","ACHR147105","Lawn & Landscaping","Troy-bilt","Brush Cutter","","","","","","","","Gasoline","","","","","","","","","","","","","","","7638265","","","","",
"265639583755","ZNPT1179","Lawn & Landscaping","Zenport","","","","","","","","","Battery","","","","","","","","","","","","","","","EP108","","","","",
"255464878770","ZNPT364","Lawn & Landscaping","Zenport","","","10","","","","","","","","","","","","","","","","","","","","","H350L-10PK","","","","",
"265623493004","ZNPT365","Lawn & Landscaping","Zenport","","","10","","","","","","","","","","","","","","","","","","","","","H350LC-10PK","","","","",
"265623551734","ZNPT379","Lawn & Landscaping","Zenport","","","10","","","","","","","","","","","","","","","","","","","","","H358L-10PK","","","","",
"265623540692","ZNPT380","Lawn & Landscaping","Zenport","","","10","","","","","","","","","","","","","","","","","","","","","H358S-10PK","","","","",
"255476964691","ZNPT422","Lawn & Landscaping","Zenport","","","12","","","","","","","","","","","","","","","","","","","","","K118-HOE-12PK","","","","",
