Item Id,SKU,Size,Style,Brand,Size Type,Type,Color,Material,Neckline,Theme,Sleeve Length,Features,Sleeve Type,Pattern,Fabric Type,Accents,Department,Character,Knit Style,Character Family,Season,Vintage,Country/Region of Manufacture,Occasion,Fit,Personalize,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"255798061911","308459","variants","Cardigan","Gigio","Regular","Cardigan","Brown Cream Tan","Polyester","V-Neck","Aztec","Long Sleeve","Graphic Print","Kimono Sleeve","Animal Print","Flannel","Fringe","Women","Animal Print Duster","Cable-Knit","Long Cardigan Dusters","Fall,Spring,Winter","No","","Casual","Classic","No","Machine Washable","","aztec zebra leopard","",
"255797948063","308455","S,M,L,","Vest","gigio","Regular","Sweater","Beige","Polyester","V-Neck","leopard print","Sleeveless","sleeveless sweater","sleeveless","leopard print","Knit","leopard print","Women","leopard print","Tight-Knit","animal print vest","Fall,Spring,Winter","No","Unknown","Business,Casual,Travel,Workwear","Regular","No","Machine Washable","","sweater vest","",
"255760248387","304821","One Size","Poncho","Unbranded","Regular","Poncho","Red Black","Acrylic","V-Neck","Plaid Buffalo","Sleeveless","Poncho","","Plaid","Knitted","Tasseled","Women","Winter Shawl","Cable-Knit","Winter Scarfs","Fall,Spring,Winter","No","","Business,Casual,Formal,Travel","Regular","No","Hand Wash Only","","Plaid Buffalo Poncho","",
"255853654161","308615","variants","Cardigan","Unbranded","Plus","Sweater","Rose","Polyester Blend","V-Neck","Modern","Long Sleeve","thumbholes","Regular","Ribbed","Knit","Button","Women","Tall Women","Open-Knit","Cardigans","Fall,Spring,Winter","No","Unknown","Business,Casual,Formal,Party/Cocktail,Travel","Relaxed","No","Machine Washable","","","",
"254729332020","302052",,"Drapey Open Front Long Sleeve Cardigan","Unbranded","Plus","Sweater","Denim Blue","Rayon","V-Neck","Classic","Long Sleeve","Open","long sleeve","Solid","Knit","Button","Women","Blue","Tight-Knit","Plus Size Cardigan","Fall,Spring,Winter","No","","Business,Casual,Formal,Travel,Workwear","Classic","No","Machine Washable","","Plus-Size-Long-Sleeve-Cardigan","",
"254729332020","302055","3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254729332020","302054","2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254729332020","302053","1XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265919236232","304843","S M L XL 2XL","Pullover","Unbranded","Regular","Sweater","Red White","Acrylic","Crew Neck","Christmas","Long Sleeve","Lightweight","Regular Sleeve","Christmas","knitted","Christmas","Women","Christmas Sweater","Cable-Knit","Christmas","Winter","No","China","Christmas","Regular","No","Hand Wash Only","","Red-White-Christmas-Sweater","",
"255796856024","308444","One Size","Poncho","Contempo","Regular","Poncho","Brown Black","Polyester","Collared","leopard print","Short Sleeve","Poncho","Asymmetrical Sleeve","Animal Print","Knitted","Button","Women","Winter Shawl","Cable-Knit","Winter Scarfs","Fall,Spring,Winter","No","China","Business,Casual,Formal,Travel","Regular","No","Hand Wash Only","","leopard-print-poncho-brown","",
"254731932599","304472",,"Duster Cardigan","Generic","Regular","Cardigan","Mauve","Polyester Rayon Blend","Open Front","Classic","Long Sleeve","Pockets","Asymmetrical Sleeve","Solid","Knit","","Women","Duster","","","","No","","","Classic","","","","Women's-Long-Sleeve-Open-Cardigan","",
"254731932599","304476","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254731932599","304475","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254731932599","304474","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254731932599","304473","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
