Item Id,SKU,Type,Size,Brand,Theme,Material,Swim Bottom Style,Size Type,Features,Swim Top Style,Color,Character Family,Character,Pattern,Department,Accents,Strap Type,Cup Size,Number of Pieces,Vintage,Country/Region of Manufacture,Personalize,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"265626819259","308075","Cover Up","One Size","Beach dress","BOHO","Polyester","Swim Dress","Regular","Full Length Sleeves","Swim Shirt","Black","BOHO","Bohemian","Mesh","Women","Crochet","","","","","","","","","","",
"264746653096","271327","Bikini Cover Up","One Size","BOHO Beach dress","Beach","Polyester","BOHO","Regular","Above-the-Knee","BOHO Beach Dress","Multicolor","One Piece","Blue","Floral","Women","Tasseled","","","","","","","","","","",
"255457857442","308048","Bikini",,"Unbranded","Beach","Polyester","Bikini",,"Breathable","Bikini Top","Tan / Khaki","BOHO Swimwear","BOHO Cheeky Bikini","Knit","Women","Sea Shell","Halter","","2 Piece","No","","","","","","",
"255457857442","308049",,"S",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"255457857442","308050",,"M",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"255457857442","308051",,"L",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"255457857442","308052",,"XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"255460358011","308048","Bikini",,"Unbranded","Beach","Polyester","Cheeky",,"Breathable","Bikini Top","Tan","BOHO Swimwear","BOHO Bikini Set","Knit","Women","Sea Shell","Halter","","2 Piece","No","","","","","","",
"255460358011","308049",,"S",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"255460358011","308050",,"M",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"255460358011","308051",,"L",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"255460358011","308052",,"XL",,,,,"Regular",,,,,,,,,,,,,,,,,,,
"265218461102","272366","Swimdress","One Size","Swim Shirt","Beach","Chiffon","Swim Dres","Regular","Bikini Coverup","Swim Shirt","Blue","Bikini Cover up","BOHO","Solid","Women","Tasseled","Strapless","","","No","","","","","","",
"265080095357","307188","Bikini","XS","Gianni Bini","beach","Polyamide","Bikini","Regular","Removeable Straps","Bikini Top","Yellow","solid","bikini top","Solid","Women","Bow,Strap","","","","No","","","","","","",
"254892386435","307187","Bikini","XS","Gibson Latimer","Beach","74% Nylon, 16% Elastane","Bikini","Regular","Removeable Straps","Bikini Top","Green","Twist Bandeau","bikini top","Solid","Women","Strap","string","","","No","","","","","","",
"264746653171","271360","Cover Up","M","Beach dress","Beach","Polyester","Swim Dress","Regular","Full Length Sleeves","Swim Shirt","Blue","Bikin Coverup","Swim Shirt","Mesh","Women","Crochet","","","","No","","","","","","",
"254611293646","272366","Cover Up","L","Beach dress","Beach","Chiffon","Bikini","Regular","Bikini Coverup","Bikini Top","Light Blue","Bikini Cover up","BOHO","Solid","Women","Tasseled","","","","No","","","","","","",
"254611293010","270288","Cover Up","One Size","Beach dress","Beach","Polyester","Bikini","Regular","Above-the-Knee","","Beige","One Piece","Bikini Coverup","Floral","Women","Crochet","","","","","","","","","","",
"254611281410","256255","Bikini","One Size","Beach skirt","Beach","Polyester","Bikini","Regular","Comfortable Fit","Swim Shirt","Multicolor","bikini coverup","sexy beachwear","Geometric","Women","Crochet","","","","","","","","","","",
"254611292726","258032","Bikini","One Size","Beach dress","Beach","Polyester","Bikini","Regular","Sheer","Wrap","Yellow","","","","Women","Lace","","","","","","","","","","",
"254611292851","259070","Bikini","One Size","Beach dress","","Polyester","Bikini","Regular","Lightweight","","White","","","Floral","Women","Crochet","","","","","","","","","","",
"264746652866","270443","Cover Up","One Size","Beach dress","Beach","Polyester","Bikini","Regular","Quick Dry","Swim Shirt","Black","One Piece","","Solid","Women","Tasseled","","","","No","","","","","","",
"254611292611","257285","Cover Up","M","Beach dress","Beach","Polyester","Bikini","Regular","cold shoulder","","White","Beach Dress","Beach Robe","Floral","Women","summer dress","","","","No","","","","","","",
"265213706736","307294","Cover Up","One Size","Unbranded","Beach","Polyester","Bikini","Regular","3/4 Sleeve","Swim Shirt","White","One Piece","Beachwear","Solid","Women","Lace","","","","No","","","","","","",
"255035677222","307293","Swimdress","One Size","Unbranded","Beach Dress","Polyester","Bikini","Regular","Strapless","Swim Shirt","Brown","Bikini Coverup","Bikini Cover Up Robe","Lattice","Women","Crochet","Strapless","","","No","","","","","","",
"255035636967","258847","Cover Up","One Size","Unbranded","Bohemian","Polyester","Bikini","Regular","3/4 Sleeve","Swim Shirt","White","One Piece","BOHO swimwear","Solid","Women","Lace","","","","No","","","","","","",
