Item Id,SKU,Size,Style,Brand,Size Type,Sleeve Type,Neckline,Sleeve Length,Pattern,Material,Type,Accents,Color,Theme,Features,Fabric Type,Occasion,Department,Closure,Character,Strap Type,Season,Fit,Personalize,Country/Region of Manufacture,Vintage,Handmade,Garment Care,California Prop 65 Warning,MPN,Personalization Instructions,
"264858423229","302008",,"Basic","Generic","Regular","Short Sleeve","Crew Neck","Short Sleeve","Solid","Cotton","T-Shirt","Short Sleeve Top","White, Blue, Red","Ladies T-Shirts","Lightweight","Knit","Casual","Women","","3-Pack","","","Regular","","","No","","","","Ladies-Set-of-3-T-Shirts","",
"264858423229","302012","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264858423229","302011","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264858423229","302010","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264858423229","302009","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254698015081","301940","Fits 90lb - 160lb Women. 32A to 38C bra size","Cropped","Generic","Regular","sleeveless","Off the Shoulder","Sleeveless","Solid","Nylon","Bandeau","stretch bandeau","Black","Modern","Seamless,Stretch","Knit","Casual,Party/Cocktail,Travel","Women","","Black Bandeau","Strapless","","Regular","","","No","","","","Tube-Top-Bra-Seamless-Bandeau","",
"265703795616","308152",,"Camisole","Unbranded","Regular","","Scoop Neck","Sleeveless","Check","Polyester,Polyester Blend","Women's Top","Side Slit","Mint Ivory","Summer","Collarless","","Casual","Women","","Women's Tops","","Spring,Summer","Regular","","","No","","","","","",
"265703795616","308155","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265703795616","308154","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265703795616","308153","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265703795616","308156","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265664256095","308131","One Size","Duster","Unbranded","Regular","","","Sleeveless","Cow Print","Viscose","Duster","Cow Print","Brown","Animal Print","","","Casual","Women","","","","Fall,Spring,Summer","Relaxed","","","","","","","","",
"264842121352","301945","Fits 90lb - 160lb Women. 32A to 38C bra size","Cropped","Interloper","One Size","strapless","Off the Shoulder","Sleeveless","Solid","Nylon","Strapless Bandeau","cropped tube top","Mustard","Modern","All Seasons,Collarless,Stretch","","","Women","","Strapless Bandeau","Strapless","","Slim","","","","","","","Tight-Fitting-Sexy-Strapless-Bandeau","",
"254698017423","301941","Fits 90lb - 160lb Women. 32A to 38C bra size","Cropped","Interloper","One Size","Sleevelsss","Off the Shoulder","Sleeveless","Solid","Nylon","Crop Top","Solid","Denim Blue","crop top","Stretch","Nylon","Casual,Party/Cocktail,Travel","Women","","Sexy crop top","Strapless","","Slim","","","","","","","Tight-Fitting-Sexy-Strapless-Bandeau","",
"254729331761","302047",,"Button Down Shirt","Unbranded","Regular","Roll Tab Sleeve","Collared","3/4 Sleeve","Solid","100% Cotton,Cotton","Button-Up","Button","Purple","Classic","All Seasons","Knit","Formal","Women","Button","Dress Shirt","","","Classic","","","No","","","","Women's-Classic-Dress-Shirt","",
"254729331761","302051","XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254729331761","302050","L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254729331761","302049","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254729331761","302048","S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
