Item Id,SKU,Brand,Size,Type,Set Includes,Size Type,Color,Fabric Type,Department,Style,Performance/Activity,Number of Pieces,Theme,Features,Material,Fit,Pattern,Closure,Sleeve Length,Occasion,Season,Country/Region of Manufacture,Inseam,Neckline,Personalize,Garment Care,Handmade,Vintage,Sleeve Type,MPN,California Prop 65 Warning,Personalization Instructions,
"254789929508","304871","Interloper",,"Tracksuit","Activewear,Hoodie,Sweatshirt,Track Pants","Regular","Gray","Fleece","Women","Hoodie with Matching Pants","Casual","2 Piece","Sports","Croptop Hoodie","Cotton+Polyester Blend","Regular","Solid","","Long Sleeve","Activewear,Casual,Travel,Workwear","Fall,Spring,Summer,Winter","","","Cowl Neck","","","","No","Raglan Sleeve","Crop Top Hoodie + Pants","","",
"254789929508","304872",,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254789929508","304873",,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254789929508","304874",,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254789929508","304875",,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264982549738","304867","Athleisure",,"Tracksuit","Activewear,Bra,Jacket,Pants","Regular","Gray","Blended Fabric","Women","3 piece tracksuit set","Baseball,Basketball,Cheerleading,CrossFit,Cross Training,Cycling,Dance,Driving,Yoga","3 Piece","Fitness","1/4 Zip,Adjustable Waist,All Seasons","Polyester Blend","Athletic","Striped","Zip","","Activewear,Casual,Party/Cocktail,Travel","Fall,Spring,Summer,Winter","","","","","","","No","","Yoga Outfit Set","","",
"264982549738","304870",,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264982549738","304868",,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264982549738","304869",,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254756010629","304867","Unbranded",,"Tracksuit Set","zippered top jacket","Regular","Gray","Blended Fabric","Women","3 piece tracksuit set","Baseball,Basketball,Bodybuilding,Cheerleading,CrossFit,Cross Training,Cycling,Dance,Driving,Yoga","3 Piece","gym wear","sports bra","Polyamide Blend","Regular","Striped","Zip","","Activewear,Casual,Party/Cocktail,Travel","","","","","","","","No","","","","",
"254756010629","304870",,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254756010629","304868",,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254756010629","304869",,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265124549769","304490","Young Women Street Style",,"Tracksuit","Sweatshirt & Pants","Regular","Black","Fleece","Women","Tracksuit Set","Baseball,Basketball,CrossFit,Cross Training,Cycling,Driving","2 Piece","Casual","Adjustable Waist,All Seasons,Pockets","Polyester Cotton Blend","Athletic","Solid","Drawstring","Full Sleeve","Activewear,Casual,Travel,Workwear","Fall,Spring,Summer,Winter","","","Collared","No","Machine Washable","No","No","","","","",
"265124549769","304496",,"3XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265124549769","304495",,"2XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265124549769","304494",,"XL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265124549769","304493",,"L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265124549769","304492",,"M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265124549769","304491",,"S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"254755988454","304871","Unbranded",,"Tracksuit","Activewear,Hoodie,Pants","Regular","Gray","Blended Fabric","Women","Tracksuit Set","Cycling,Dance,Driving","2 Piece","Young Ladies","Crop Top Hoodie","Polyester Blend","Regular","Solid","Drawstring","Long Sleeve","Activewear,Casual,Christening,Party/Cocktail,Travel","Fall,Spring,Summer,Winter","","","","No","Machine Washable","No","No","","","","",
