Item Id,SKU,Connector A,Type,Cable Length,Brand,Connector B,Features,Connection Split/Duplication,Color,Compatible Brand,Compatible Model,Country/Region of Manufacture,Output Voltage,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Height,Item Length,Item Width,Manufacturer Warranty,
"254093289135","106176","USB","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264653290968","106522","USB","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161256856","105960","USB","Does Not Apply","","Generic","","","","","","","","","Style-1","","","","","","","",
"264161258767","106375","USB","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"254093286671","104792","USB","Does Not Apply","","Generic","","","","","","","","","Does Not Apply","","","","","","","",
"264161285905","111571","USB 2.0","Adapter","","StarTech","","","","","","","","","7-Port-USB-2.0-Card-PCI","","","","","","","",
"254093295051","107405","USB","Does Not Apply","","Asus","","","","","","","","","Does Not Apply","","","","","","","",
"255027024901","117464","USB 3.0","All-Purpose","","Startech","","","","","","","","","USB3SEXTAA6","","","","","","","",
"264161232641","100718","USB","Does Not Apply","","Generic","","","","","","","","","USB-A-F-to-A-F","","","","","","","",
"264161232670","100719","USB","Does Not Apply","","Generic","","","","","","","","","Gender-Changer","","","","","","","",
"264695277564","181305","USB 3.0","USB Cable","","VCOM","","","","","","","","","CU311-6FEET","","","","","","","",
