Item Id,SKU,Type,Canopy Width,Color,Pole Color,Brand,Item Height,Style,Canopy Shape,Pole Material,Features,Canopy Material,Stand Included,Pattern,Country/Region of Manufacture,Opening Mechanism,Pole Diameter,Manufacturer Warranty,MPN,Custom Bundle,Bundle Description,California Prop 65 Warning,Item Weight,
"265639716046","HHLD02568","Furniture & Decor","","Blue","Blue","Heininger Holdings","","","","","","Acrylic","","","","","","","1320","","","","",
"265639643251","HHLD02569","Furniture & Decor","","Blue","Blue","Heininger Holdings","","","","","","Acrylic","","","","","","","1321","","","","",
"265634284594","HHLD02570","Furniture & Decor","","Blue","Blue","Heininger Holdings","","","","","","Acrylic","","","","","","","1322","","","","",
"265639718038","HHLD02571","Furniture & Decor","","Red","Red","Heininger Holdings","","","","","","Acrylic","","","","","","","1323","","","","",
"265644605572","HHLD02572","Furniture & Decor","","Red","Red","Heininger Holdings","","","","","","Acrylic","","","","","","","1324","","","","",
"265634308432","HHLD02573","Furniture & Decor","","Red","Red","Heininger Holdings","","","","","","Acrylic","","","","","","","1325","","","","",
"255488705854","HHLD02574","Furniture & Decor","","White","White","Heininger Holdings","","","","","","Acrylic","","","","","","","1326","","","","",
"255488729150","HHLD02575","Furniture & Decor","","White","White","Heininger Holdings","","","","","","Acrylic","","","","","","","1327","","","","",
"265644490063","HHLD02576","Furniture & Decor","","White","White","Heininger Holdings","","","","","","Acrylic","","","","","","","1328","","","","",
"265644616106","HHLD02577","Furniture & Decor","","Pink","Pink","Heininger Holdings","","","","","","Acrylic","","","","","","","1329","","","","",
"255488762105","HHLD02578","Furniture & Decor","","Pink","Pink","Heininger Holdings","","","","","","Acrylic","","","","","","","1330","","","","",
"255488743098","HHLD02579","Furniture & Decor","","Pink","Pink","Heininger Holdings","","","","","","Acrylic","","","","","","","1331","","","","",
"255483969945","HHLD02580","Furniture & Decor","","Orange","Orange","Heininger Holdings","","","","","","Acrylic","","","","","","","1335","","","","",
"265639767683","HHLD02581","Furniture & Decor","","Orange","Orange","Heininger Holdings","","","","","","Acrylic","","","","","","","1336","","","","",
"265644628713","HHLD02582","Furniture & Decor","","Orange","Orange","Heininger Holdings","","","","","","Acrylic","","","","","","","1337","","","","",
"255488817765","HHLD02584","Furniture & Decor","","Black","Black","Heininger Holdings","","","","","","Acrylic","","","","","","","1342","","","","",
"265639563706","HHLD02585","Furniture & Decor","","Black","Black","Heininger Holdings","","","","","","Acrylic","","","","","","","1343","","","","",
"255488791826","HHLD02646","Furniture & Decor","","","","Heininger Holdings","","","","","","","","","","","","","1377","","","","",
"265688026695","HHLD02589","Furniture & Decor","","","","Heininger Holdings","","","","","","Acrylic","","","","","","","1387","","","","",
"265820641814","HHLD02590","Furniture & Decor","","","","Heininger Holdings","","","","","","Acrylic","","","","","","","1388","","","","",
"255483962870","HHLD02592","Furniture & Decor","","Green","Green","Heininger Holdings","","","","","","Acrylic","","","","","","","1390","","","","",
"265634265155","HHLD02593","Furniture & Decor","","Green","Green","Heininger Holdings","","","","","","Acrylic","","","","","","","1391","","","","",
"265644580460","HHLD02594","Furniture & Decor","","Green","Green","Heininger Holdings","","","","","","Acrylic","","","","","","","1392","","","","",
"255488725499","HHLD02598","Furniture & Decor","","White","White","Heininger Holdings","","","","","","Acrylic","","","","","","","1396","","","","",
"255483842657","HHLD02599","Furniture & Decor","","White","White","Heininger Holdings","","","","","","Acrylic","","","","","","","1397","","","","",
"265639643311","HHLD02600","Furniture & Decor","","White","White","Heininger Holdings","","","","","","Acrylic","","","","","","","1398","","","","",
"255483727733","HHLD02601","Furniture & Decor","","White","White","Heininger Holdings","","","","","","Acrylic","","","","","","","1399","","","","",
"255483857086","ZX9HHLD02584","Furniture & Decor","","Black","Black","Gan Eden","","","","","","Acrylic","","","","","","","GA74882","","","","",
"265644574092","ZX9HHLD02569","Furniture & Decor","","Blue","Blue","Gan Eden","","","","","","Acrylic","","","","","","","GA12242","","","","",
"255488643207","ZX9HHLD02568","Furniture & Decor","","Blue","Blue","Gan Eden","","","","","","Acrylic","","","","","","","GA74879","","","","",
"255483855930","ZX9HHLD02593","Furniture & Decor","","Green","Green","Gan Eden","","","","","","Acrylic","","","","","","","GA643891","","","","",
"255488787663","ZX9HHLD02592","Furniture & Decor","","Green","Green","Gan Eden","","","","","","Acrylic","","","","","","","GA896861","","","","",
"265644511242","ZX9HHLD02601","Furniture & Decor","","White","White","Gan Eden","","","","","","Acrylic","","","","","","","GA307224","","","","",
"265639677266","ZX9HHLD02600","Furniture & Decor","","White","White","Gan Eden","","","","","","Acrylic","","","","","","","GA307223","","","","",
"265644593855","ZX9HHLD02577","Furniture & Decor","","Pink","Pink","Gan Eden","","","","","","Acrylic","","","","","","","GA74881","","","","",
"265634276384","ZX9HHLD02572","Furniture & Decor","","Red","Red","Gan Eden","","","","","","Acrylic","","","","","","","GA74880","","","","",
"255483673817","ZX9HHLD02571","Furniture & Decor","","Red","Red","Gan Eden","","","","","","Acrylic","","","","","","","GA12243","","","","",
"255667680273","ZX9HHLD02590","Furniture & Decor","","White","White","Gan Eden","","","","","","Acrylic","","","","","","","GA74884","","","","",
"265639771052","JECO3439","Furniture & Decor","","Black","Black","Jeco","","","","Aluminum","","","","","","","","","OF-UB100","","","","",
"265639559953","JECO3440","Furniture & Decor","","Black","Black","Jeco","","","","Aluminum","","","","","","","","","OF-UB101","","","","",
"265639542966","JECO3441","Furniture & Decor","","Black","Black","Jeco","","","","Aluminum","","","","","","","","","OF-UB102","","","","",
"265639536152","JECO3442","Furniture & Decor","","Black","Black","Jeco","","","","Aluminum","","","","","","","","","OF-UB103","","","","",
"265771438934","JECO3443","Furniture & Decor","","Black","Black","Jeco","","","","Aluminum","","","","","","","","","OF-UB104","","","","",
"265639540761","JECO3444","Furniture & Decor","","Brown","Brown","Jeco","","","","Aluminum","","","","","","","","","OF-UB105","","","","",
"265639620587","JECO3446","Furniture & Decor","","Brown","Brown","Jeco","","","","Aluminum","","","","","","","","","OF-UB107","","","","",
"255488802827","JECO3448","Furniture & Decor","","Brown","Brown","Jeco","","","","Aluminum","","","","","","","","","OF-UB109","","","","",
"265644512246","ZX9ALMO8546","Furniture & Decor","","Blue","Blue","GardenGear","","","","","","","","","","","","","GA716151","","","","",
"255483925972","ACHR152885","Furniture & Decor","","Brown","Brown","Living Accents","","","","","Tiltable","","","","","","","","8048173","","","","",
"265639670294","ACHR152890","Furniture & Decor","","Brown","Brown","Living Accents","","","","","Tiltable","","","","","","","","8049076","","","","",
"255483892802","ACHR12257","Furniture & Decor","","Black","Black","Rainbrella","","","","","","","","","","","","","9304288","","","","",
"255476906690","ZNPT842","Furniture & Decor","","","","Zenport","","","","","","","","","","","","","AGU330T-10PK","","","","",
