Item Id,SKU,Brand,Pattern,Style,Age,California Prop 65 Warning,Composition,
"255728622133","ZX9QKWY1813","Colocar","","","","","",
"265887604714","ZX9QKWY1454","Colocar","","","","","",
"265669442950","ZX9ORE2469","ComfyCushions","","","","","",
"265695109494","UTRMST3131","212 Main","","Mid-Century Modern","","","",
"255544735648","UTRMST3578","212 Main","","","","","",
"255534674648","UTRMST3802","212 Main","","","","","",
"255534514049","UTRMST3804","212 Main","","","","","",
"265690583295","UTRMST3821","212 Main","","","","","",
"265695090923","UTRMST3829","212 Main","","","","","",
"255539050365","UTRMST1687","212 Main","","","","","",
"255539195396","UTTRMST4880","212 Main","","","","","",
"255541674104","UTTERMST03782","212 Main","","","","","",
"265690604316","UTRMST107","212 Main","","","","","",
"255541624444","UTRMST128","212 Main","","","","","",
"265884200663","ZX9QKWY2280","Colocar","Bamboo","","","","",
"265897177644","ZX9QKWY2117","Colocar","","","","","",
"265887849615","ZX9QKWY1716","Colocar","Bamboo","","","","",
"255725105012","ZX9QKWY2024","Colocar","Bamboo","","","","",
"265884032098","ZX9QKWY1300","Colocar","","","","","",
"255725011121","ZX9QKWY2245","Colocar","","","","","",
"255728834556","ZX9QKWY1305","Colocar","","","","","",
"265887747998","ZX9QKWY1522","Colocar","","","","","",
"265887530823","ZX9QKWY1680","Colocar","","","","","",
"265887748114","ZX9QKWY1569","Colocar","","","","","",
"265897004170","ZX9QKWY1280","Colocar","","","","","",
"265884023181","ZX9OCNTR32224","PalaceDesigns","","","","","",
"255737677462","ZX9OCNTR32225","PalaceDesigns","","","","","",
"265884005258","ZX9OCNTR32255","PalaceDesigns","","","","","",
"265896870290","ZX9WLMX586","Vaser Designs","","","","","",
"265669132961","RTN17043","AFD Home","","","","","",
"265698071894","RTN19265","AFD Home","","","","","",
"265669113644","RTN19266","AFD Home","","","","","",
"265665355766","RTN19450","AFD Home","","","","","",
"265674061731","RTN19729","AFD Home","Rose","","","","",
"255541836082","RTN20423","AFD Home","","","","","",
"255524263895","RTN20436","AFD Home","","","","","",
"255528818559","RTN20439","AFD Home","Medici","","","","",
"265680165394","RTN28416","AFD Home","","","","","",
"255724914968","ZX9RTN20436","StandAlone","","","","","",
"255489108653","ZX9RTN19450","StandAlone","","","","","",
"265644712461","ZX9RTN20423","StandAlone","","","","","",
"265883879646","OCNTR32255","HomeRoots","","","","","",
"255725234511","OCNTR32225","HomeRoots","","","","","",
"255737912418","OCNTR32224","HomeRoots","","","","","",
"255725210465","OCNTR35436","HomeRoots","","","","","",
"265887720191","OCNTR35438","HomeRoots","","","","","",
"255737901569","OCNTR31464","HomeRoots","","","","","",
"265897132032","OCNTR45591","HomeRoots","","","","","",
"265897175441","OCNTR45588","HomeRoots","","","","","",
"265896900353","OCNTR42155","HomeRoots","","","","","",
"265897105868","OCNTR42136","HomeRoots","","","","","",
"265887514267","OCNTR42090","HomeRoots","","","","","",
"265887766095","OCNTR48209","HomeRoots","","","","","",
"265884200755","OCNTR47636","HomeRoots","","Art Deco","","","",
"265644779957","ZX9RTN20439","StandAlone","Medici","","","","",
"255728577125","ZX9OCNTR45588","PalaceDesigns","","","","","",
"255488965154","MSHMCL5729","Moes Home Collection","","","","","",
"265644714634","MSHMCL5730","Moes Home Collection","","","","","",
"255737776890","MSHMCL5802","Moes Home Collection","","","","","",
"255725285565","MSHMCL5091","Moes Home Collection","","","","","",
"255539100547","ORE2469","Ore Furniture","","","","","",
"255728918290","CMIFPC027","Premium","","","","","",
"255488989916","R162428","R16 HOME","","","","","",
"255539183975","R162429","R16 HOME","","","","","",
"265684678223","R162430","R16 HOME","","","","","",
"255509742732","R162431","R16 HOME","","","","","",
"265897190179","ZX9MDAC360","H2H","","","","","",
"265897233403","ZX9MDAC359","H2H","","","","","",
"265887655220","ZX9RTN19729","StandAlone","Rose","","","","",
"255534667138","ZX9RTN17043","StandAlone","","","","","",
