Item Id,SKU,Material,Type,Brand,Shape,Theme,Color,Style,Features,Pattern,Country/Region of Manufacture,Glassmaking Technique,Room,Character,Mounting,Origin,Item Length,Vintage,Character Family,Item Height,Department,Item Width,Personalize,Additional Parts Required,Finish,Product Line,Item Weight,MPN,Bundle Description,California Prop 65 Warning,Care Instructions,Custom Bundle,Customized,Model,Personalization Instructions,
"265697858809","UTRMST2602","","Vases & Bowls","212 Main","","","Blue","","","","","","","","","","","","","","","","","","","","","18633","","","","","","","",
"265695250598","UTRMST3003","Bronze","Vases & Bowls","212 Main","","","","","","","","","","","","","","","","","","","","","","","","18965","","","","","","","",
"255737673609","ZX9QKWY1599","Bamboo","Vases & Bowls","Colocar","","","White","Modern","","","","","","","","","","","","","","","","","","","","CO2641749","","","","","","","",
"265884118332","RTN25713","Ceramic","Vases & Bowls","AFD Home","","","Green","","","","","","","","","","","","","","","","","","","","","12005605","","","","","","","",
"265896947046","RTN25714","Ceramic","Vases & Bowls","AFD Home","","","Green","","","","","","","","","","","","","","","","","","","","","12005606","","","","","","","",
"255737698712","RTN26049","","Vases & Bowls","AFD Home","","","Green","","","","","","","","","","","","","","","","","","","","","12005607","","","","","","","",
"265887588036","RTN25715","Ceramic","Vases & Bowls","AFD Home","","","Red","","","","","","","","","","","","","","","","","","","","","12005608","","","","","","","",
"265896877533","RTN26050","","Vases & Bowls","AFD Home","","","Red","","","","","","","","","","","","","","","","","","","","","12005610","","","","","","","",
"265897196437","RTN28250","Crystal","Vases & Bowls","AFD Home","","","","","","","","","","","","","","","","","","","","","","","","12013510","","","","","","","",
"265669235612","RTN30322","","Vases & Bowls","AFD Home","","","Gold","","","","","","","","","","","","","","","","","","","","","12019321","","","","","","","",
"265897180661","ZX9WNSMH2056","Metal","Vases & Bowls","Plano","","","","","","","","","","","","","","","","","","","","","","","","PL2684110","","","","","","","",
"255513310133","TWSCM1196","","Vases & Bowls","Tozai Home","","","White","Decorative","Decorative","","","","","","","","","","","","","","","","","","","NOI103","","","","","","","",
"265887578283","TWSCM1063","","Vases & Bowls","Tozai Home","","","Blue","","","Circles","","","","","","","","","","","","","","","","","","OMT151-S2","","","","","","","",
"255725169079","ZX9TWSCM1196","","Vases & Bowls","Vecindario","","","White","Decorative","Decorative","","","","","","","","","","","","","","","","","","","VE2673766","","","","","","","",
"255728785146","ZX9QKWY1791","Bamboo","Vases & Bowls","Colocar","","","White","","","","","","","","","","","","","","","","","","","","","CO2641819","","","","","","","",
"255728632486","ZX9QKWY1741","Bamboo","Vases & Bowls","Colocar","","","Gold","Modern","","","","","","","","","","","","","","","","","","","","CO2641793","","","","","","","",
"255728723833","ZX9QKWY1742","Bamboo","Vases & Bowls","Colocar","Trumpet","","White","","","","","","","","","","","","","","","","","","","","","CO2641794","","","","","","","",
"265680089724","QKWY1741","Bamboo","Vases & Bowls","Uniquewise","","","Gold","Modern","","","","","","","","","","","","","","","","","","","","QI003354G.L","","","","","","","",
"255534599142","QKWY1742","Bamboo","Vases & Bowls","Uniquewise","Trumpet","","White","","","","","","","","","","","","","","","","","","","","","QI003356W.L","","","","","","","",
"255513458427","QKWY2304","Bamboo","Vases & Bowls","Uniquewise","","","White","","","","","","","","","","","","","","","","","","","","","QI003357W.2","","","","","","","",
"255534610771","QKWY1791","Bamboo","Vases & Bowls","Uniquewise","","","White","","","","","","","","","","","","","","","","","","","","","QI003455WN.2","","","","","","","",
"255550955361","QKWY1599","Bamboo","Vases & Bowls","Uniquewise","","","White","Modern","","","","","","","","","","","","","","","","","","","","QI003713","","","","","","","",
