Item Id,SKU,Sensor Type,Style,Installation Area,Type,Brand,Color,Power Source,Number of Lights,Light Color,Lighting Technology,Features,Finish,Character,Number of Settings,Material,Mounting,Room,Size,Theme,Energy Star,Control Style,Item Diameter,Country/Region of Manufacture,Voltage,IP Rating,Year Manufactured,Bulb Shape Code,LED Chip Code,Character Family,Power Consumption,Smart Home Compatibility,Manufacturer Warranty,Assembly Required,Amperage,Color Temperature,MPN,EC Range,Model,California Prop 65 Warning,Bundle Description,Custom Bundle,Bulb Life Hours,Item Height,Item Length,Item Weight,Item Width,Labels & Certifications,Lumens,Product Line,Required Tools,Smart Home Protocol,
"265603594449","ZX9VXCL3121","","","Outdoor","Outdoor Lighting","PerfectTwinkle","","","","","","","Bronze","","","Bronze","","","","","","","","","","","","","","","","","","","","","PE879849","","","","","","","","","","","","","","","",
"265603610598","ZX9DBMRL9536","Light","","","Outdoor Lighting","Intense","Black","","","Black","","","","","","","","","","","","","","","","","","","","","","","","","","","IN1725674","","","","","","","","","","","","","","","",
"265603532399","DBMRL4237","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DF6728-BZ","","","","","","","","","","","","","","","",
"255444501879","DBMRL4239","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DF6729-BZ","","","","","","","","","","","","","","","",
"265600139068","DBMRL4240","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DF6729-W","","","","","","","","","","","","","","","",
"265603522037","DBMRL4292","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DF6755-BZ","","","","","","","","","","","","","","","",
"255444457782","DBMRL4222","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DF-LED6721-W","","","","","","","","","","","","","","","",
"265603547148","DBMRL4223","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DF-LED6722-W","","","","","","","","","","","","","","","",
"255444496693","DBMRL9355","Light","","","Outdoor Lighting","Dabmar Lighting","Green","","","Green","","","","","","","","","","","","","","","","","","","","","","","","","","","DSL1018-VG","","","","","","","","","","","","","","","",
"265600138902","DBMRL9364","Light","","","Outdoor Lighting","Dabmar Lighting","Green","","","Green","","","","","","","","","","","","","","","","","","","","","","","","","","","DSL1019-VG","","","","","","","","","","","","","","","",
"255444470660","DBMRL9062","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","Recessed","","","","","","","","","","","","","","","","","","","","DSL1039-SS","","","","","","","","","","","","","","","",
"265603573325","DBMRL8848","","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","Stainless Steel","","","Stainless Steel","","","","","","","","","","","","G24","","","","","","","","","DSL1087-SS","","","","","","","","","","","","","","","",
"255440709810","DBMRL8850","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1087-VG","","","","","","","","","","","","","","","",
"265603534310","DBMRL8849","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1087-W","","","","","","","","","","","","","","","",
"265603532730","DBMRL8862","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1088-VG","","","","","","","","","","","","","","","",
"265603611116","DBMRL8852","Light","","","Outdoor Lighting","Dabmar Lighting","White","","","White","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1089-W","","","","","","","","","","","","","","","",
"265603504072","DBMRL8853","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1090-B","","","","","","","","","","","","","","","",
"255444445292","DBMRL8851","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1090-BZ","","","","","","","","","","","","","","","",
"255444385705","DBMRL8860","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1090-VG","","","","","","","","","","","","","","","",
"265603567045","DBMRL8861","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1090-W","","","","","","","","","","","","","","","",
"255444413828","DBMRL8854","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1092-SS","","","","","","","","","","","","","","","",
"255444478101","DBMRL8855","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1092-VG","","","","","","","","","","","","","","","",
"255440700882","DBMRL8856","Light","","","Outdoor Lighting","Dabmar Lighting","White","","","White","","","","","","","","","","","","","","","","","","G24","","","","","","","","","DSL1092-W","","","","","","","","","","","","","","","",
"255453133150","DBMRL9401","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","","","","","","","","","Large","","","","","","","","","","","","","","","","","","DSL1112-B","","","","","","","","","","","","","","","",
"255453122666","DBMRL9402","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","Large","","","","","","","","","","","","","","","","","","DSL1112-VG","","","","","","","","","","","","","","","",
"255453139528","DBMRL9403","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","","","","","","","","","Large","","","","","","","","","","","","","","","","","","DSL1113-B","","","","","","","","","","","","","","","",
"265612018688","DBMRL9404","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","Large","","","","","","","","","","","","","","","","","","DSL1113-VG","","","","","","","","","","","","","","","",
"255453133843","DBMRL2974","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","Recessed","","Large","","","","","","","","","","","","","","","","","","DSL1115-B","","","","","","","","","","","","","","","",
"255453149435","DBMRL9405","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Large","","","","","","","","","G24","","","","","","","","","DSL1115-LED-B","","","","","","","","","","","","","","","",
"255453134912","DBMRL9407","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Large","","","","","","","","","G24","","","","","","","","","DSL1115-LED-BZ","","","","","","","","","","","","","","","",
"255453121584","DBMRL2976","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","Recessed","","Large","","","","","","","","","","","","","","","","","","DSL1115-VG","","","","","","","","","","","","","","","",
"255453137989","DBMRL2977","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","Recessed","","Large","","","","","","","","","","","","","","","","","","DSL1116-B","","","","","","","","","","","","","","","",
"265612013734","DBMRL9408","Light","","","Outdoor Lighting","Dabmar Lighting","Black","","","Black","","","","","","","","","Large","","","","","","","","","","","","","","","","","","DSL1117-B","","","","","","","","","","","","","","","",
"265612017822","DBMRL9409","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","","","Bronze","","","Bronze","","","Large","","","","","","","","","","","","","","","","","","DSL1117-BZ","","","","","","","","","","","","","","","",
"255453121460","DBMRL9412","Light","","","Outdoor Lighting","Dabmar Lighting","Green","","","Green","","","","","","","","","Large","","","","","","","","","","","","","","","","","","DSL1117-VG","","","","","","","","","","","","","","","",
"255453148660","DBMRL9411","","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Large","","","","","","","","","G24","","","","","","","","","DSL-LED1111-B","","","","","","","","","","","","","","","",
"255453137068","DBMRL9410","","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","Large","","","","","","","","","G24","","","","","","","","","DSL-LED1111-VG","","","","","","","","","","","","","","","",
"265603593364","DBMRL4302","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DW1110-B","","","","","","","","","","","","","","","",
"255444522575","DBMRL4303","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DW1111-B","","","","","","","","","","","","","","","",
"255444403221","DBMRL4304","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DW1112-B","","","","","","","","","","","","","","","",
"255444468960","DBMRL4305","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DW1113-B","","","","","","","","","","","","","","","",
"265603565691","DBMRL4306","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DW1114-B","","","","","","","","","","","","","","","",
"265603615543","DBMRL4307","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DW1115-B","","","","","","","","","","","","","","","",
"265603566283","DBMRL4308","","","","Outdoor Lighting","Dabmar Lighting","","","","","","","","","","","","","","","","","","","120 V","","","","","","","","","","","","DW1116-B","","","","","","","","","","","","","","","",
"265612018495","DBMRL9415","Light","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","DW3650-LED20-BZ","","","","","","","","","","","","","","","",
"265612025650","DBMRL9423","","","","Outdoor Lighting","Dabmar Lighting","","","2","","LED","","","","2","","","","","","","","","","","","","","","","","","","","","","DW3755-LED18-BZ","","","","","","","","","","","","","","","",
"265612035493","DBMRL9421","","","","Outdoor Lighting","Dabmar Lighting","","","2","","LED","","","","2","","","","","","","","","","","","","","","","","","","","","","DW3755-LED18-W","","","","","","","","","","","","","","","",
"265612031745","DBMRL9420","","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","DW3756-LED18-B","","","","","","","","","","","","","","","",
"255453122930","DBMRL9425","","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","DW3756-LED18-VG","","","","","","","","","","","","","","","",
"255453144232","DBMRL9430","","","","Outdoor Lighting","Dabmar Lighting","","","","","LED","","","","","","","","","","","","","","","","","","","","","","","","","","DW3756-LED18-W","","","","","","","","","","","","","","","",
"265603529670","DBMRL2705","","","","Outdoor Lighting","Dabmar Lighting","","","1","","","","Bronze","","1","Bronze","","","Medium","","","","","","","","","","","","","","","","","","DW-LED1690","","","","","","","","","","","","","","","",
